delta_y,velocity,frame,velocity_rolling_mean,delta_velocity
21,25,232,22,2.0
28,36,233,25,3.0
8,10,234,23,-2.0
5,6,235,20,-3.0
-55,-194,236,-23,-43.0
-109,-145,237,-57,-34.0
-54,-63,238,-77,-20.0
-49,-57,239,-91,-14.0
-37,-47,240,-101,-10.0
-33,-42,241,-71,30.0
-29,-37,242,-49,22.0
-25,-31,243,-43,6.0
-19,-24,244,-36,7.0
-10,-12,245,-29,7.0
-12,-21,246,-25,4.0
-10,-13,247,-20,5.0
-7,-18,248,-18,2.0
-4,-11,249,-15,3.0
-2,-11,250,-15,0.0
-2,-11,251,-13,2.0
1,9,252,-8,5.0
1,8,253,-3,5.0
2,9,254,1,4.0
3,8,255,5,4.0
-3,-7,256,5,0.0
-23,-24,257,-1,-6.0
-18,-18,258,-6,-5.0
-15,-16,259,-11,-5.0
-7,-7,260,-14,-3.0
-14,-14,261,-16,-2.0
-8,-10,262,-13,3.0
-10,-11,263,-12,1.0
-3,-3,264,-9,3.0
16,20,265,-4,5.0
15,19,266,3,7.0
14,17,267,8,5.0
12,15,268,14,6.0
11,14,269,17,3.0
9,12,270,15,-2.0
8,9,271,13,-2.0
4,5,272,11,-2.0
18,21,273,12,1.0
22,23,274,14,2.0
22,24,275,16,2.0
43,45,276,24,8.0
37,39,277,30,6.0
29,31,278,32,2.0
16,17,279,31,-1.0
29,30,280,32,1.0
39,42,281,32,0.0
34,36,282,31,-1.0
26,28,283,31,0.0
15,16,284,30,-1.0
4,8,285,26,-4.0
4,12,286,20,-6.0
10,13,287,15,-5.0
10,16,288,13,-2.0
15,17,289,13,0.0
15,19,290,15,2.0
21,24,291,18,3.0
23,26,292,20,2.0
24,26,293,22,2.0
31,34,294,26,4.0
-44,-45,295,13,-13.0
-24,-25,296,3,-10.0
-63,-63,297,-15,-18.0
-64,-64,298,-33,-18.0
-58,-58,299,-51,-18.0
-40,-40,300,-50,1.0
-44,-44,301,-54,-4.0
-36,-36,302,-48,6.0
-28,-28,303,-41,7.0
-15,-15,304,-33,8.0
-16,-16,305,-28,5.0
-18,-18,306,-23,5.0
-9,-9,307,-17,6.0
-11,-11,308,-14,3.0
-7,-7,309,-12,2.0
-4,-4,310,-10,2.0
-4,-5,311,-7,3.0
0,2,312,-5,2.0
0,0,313,-3,2.0
1,2,314,-1,2.0
3,3,315,0,1.0
5,5,316,2,2.0
9,9,317,4,2.0
0,1,318,4,0.0
-18,-18,319,0,-4.0
-22,-22,320,-5,-5.0
-11,-11,321,-8,-3.0
-16,-16,322,-13,-5.0
-10,-10,323,-15,-2.0
-12,-12,324,-14,1.0
-12,-12,325,-12,2.0
-6,-6,326,-11,1.0
-6,-6,327,-9,2.0
524,615,328,116,125.0
-144,-161,329,86,-30.0
-126,-141,330,60,-26.0
-107,-120,331,37,-23.0
-82,-92,332,20,-17.0
-45,-51,333,-113,-133.0
9,16,334,-78,35.0
14,23,335,-45,33.0
10,18,336,-17,28.0
13,19,337,5,22.0
24,35,338,22,17.0
14,19,339,23,1.0
19,26,340,23,0.0
17,22,341,24,1.0
41,51,342,31,7.0
36,44,343,32,1.0
31,38,344,36,4.0
24,29,345,37,1.0
13,15,346,35,-2.0
33,40,347,33,-2.0
37,43,348,33,0.0
29,36,349,33,0.0
4,19,350,31,-2.0
3,19,351,31,0.0
4,21,352,28,-3.0
8,18,353,23,-5.0
15,33,354,22,-1.0
9,17,355,22,0.0
14,25,356,23,1.0
14,25,357,24,1.0
19,29,358,26,2.0
34,46,359,28,2.0
31,41,360,33,5.0
26,34,361,35,2.0
20,26,362,35,0.0
12,15,363,32,-3.0
-72,-99,364,3,-29.0
-39,-54,365,-16,-19.0
-40,-55,366,-33,-17.0
-48,-67,367,-52,-19.0
-28,-38,368,-63,-11.0
-34,-48,369,-52,11.0
-27,-38,370,-49,3.0
-26,-37,371,-46,3.0
-21,-33,372,-39,7.0
-20,-32,373,-38,1.0
-18,-30,374,-34,4.0
-17,-27,375,-32,2.0
-16,-25,376,-29,3.0
-14,-23,377,-27,2.0
-12,-20,378,-25,2.0
-11,-17,379,-22,3.0
-8,-13,380,-20,2.0
-4,-7,381,-16,4.0
-4,-13,382,-14,2.0
-3,-11,383,-12,2.0
-5,-9,384,-11,1.0
-1,-11,385,-10,1.0
-1,-9,386,-11,-1.0
-1,-9,387,-10,1.0
0,10,388,-6,4.0
2,6,389,-3,3.0
2,8,390,1,4.0
3,7,391,4,3.0
