frame,near_player_position,far_player_position
352,"{1: [584, 707, 689, 962]}","{2: [1113, 158, 1155, 269]}"
353,"{1: [577, 707, 683, 962]}","{2: [1104, 159, 1155, 269]}"
354,"{1: [570, 706, 676, 962]}","{2: [1094, 161, 1155, 269]}"
355,"{1: [563, 706, 670, 963]}","{2: [1086, 163, 1155, 269]}"
356,"{1: [555, 705, 664, 962]}","{2: [1081, 162, 1155, 271]}"
357,"{1: [546, 703, 659, 961]}","{2: [1077, 162, 1155, 272]}"
358,"{1: [536, 706, 656, 960]}","{2: [1076, 161, 1153, 272]}"
359,"{1: [527, 705, 655, 958]}","{2: [1075, 160, 1149, 272]}"
360,"{1: [515, 710, 653, 957]}","{2: [1075, 158, 1140, 273]}"
361,"{1: [516, 714, 651, 954]}","{2: [1072, 157, 1130, 273]}"
362,"{1: [526, 716, 649, 950]}","{2: [1068, 156, 1120, 273]}"
363,"{1: [538, 719, 645, 945]}","{2: [1065, 155, 1109, 274]}"
364,"{1: [538, 721, 640, 938]}","{2: [1060, 155, 1101, 274]}"
365,"{1: [536, 722, 649, 929]}","{2: [1057, 155, 1096, 274]}"
366,"{1: [536, 721, 659, 923]}","{2: [1047, 156, 1092, 275]}"
367,"{1: [537, 720, 669, 917]}","{2: [1034, 159, 1087, 276]}"
368,"{1: [542, 712, 676, 912]}","{2: [1023, 162, 1083, 278]}"
369,"{1: [542, 704, 682, 907]}","{2: [1014, 167, 1082, 279]}"
370,"{1: [531, 700, 687, 905]}","{2: [1010, 172, 1082, 279]}"
371,"{1: [520, 696, 692, 903]}","{2: [1009, 176, 1082, 280]}"
372,"{1: [513, 692, 695, 905]}","{2: [1008, 179, 1080, 279]}"
373,"{1: [511, 688, 696, 907]}","{2: [1009, 179, 1078, 280]}"
374,"{1: [515, 685, 704, 909]}","{2: [1009, 178, 1077, 280]}"
375,"{1: [529, 683, 711, 910]}","{2: [1009, 177, 1077, 280]}"
376,"{1: [547, 682, 715, 909]}","{2: [1010, 174, 1078, 280]}"
377,"{1: [557, 682, 719, 909]}","{2: [1013, 173, 1079, 280]}"
378,"{1: [560, 681, 724, 909]}","{2: [1018, 171, 1081, 280]}"
379,"{1: [561, 680, 728, 910]}","{2: [1024, 171, 1084, 282]}"
380,"{1: [562, 677, 734, 911]}","{2: [1031, 170, 1086, 284]}"
381,"{1: [562, 674, 740, 911]}","{2: [1037, 170, 1088, 285]}"
382,"{1: [561, 671, 746, 911]}","{2: [1039, 171, 1090, 285]}"
383,"{1: [565, 668, 751, 912]}","{2: [1039, 172, 1091, 285]}"
384,"{1: [577, 665, 753, 913]}","{2: [1040, 174, 1094, 285]}"
385,"{1: [599, 662, 755, 913]}","{2: [1040, 175, 1098, 285]}"
386,"{1: [627, 660, 757, 913]}","{2: [1040, 177, 1101, 286]}"
387,"{1: [646, 657, 757, 914]}","{2: [1043, 178, 1104, 286]}"
388,"{1: [657, 657, 757, 918]}","{2: [1045, 179, 1107, 286]}"
389,"{1: [668, 658, 760, 923]}","{2: [1048, 181, 1108, 287]}"
390,"{1: [677, 660, 776, 928]}","{2: [1051, 183, 1111, 287]}"
391,"{1: [685, 662, 792, 931]}","{2: [1054, 184, 1115, 288]}"
392,"{1: [692, 663, 801, 932]}","{2: [1056, 186, 1116, 289]}"
393,"{1: [700, 662, 805, 931]}","{2: [1058, 187, 1117, 291]}"
394,"{1: [708, 661, 808, 928]}","{2: [1059, 186, 1119, 291]}"
395,"{1: [716, 660, 816, 925]}","{2: [1061, 186, 1120, 293]}"
396,"{1: [725, 660, 828, 924]}","{2: [1063, 183, 1121, 296]}"
397,"{1: [733, 661, 853, 925]}","{2: [1064, 183, 1122, 299]}"
398,"{1: [736, 663, 870, 928]}","{2: [1065, 184, 1125, 301]}"
399,"{1: [737, 665, 878, 931]}","{2: [1066, 186, 1127, 301]}"
400,"{1: [737, 666, 881, 930]}","{2: [1068, 199, 1129, 301]}"
401,"{1: [739, 664, 882, 928]}","{2: [1068, 206, 1132, 301]}"
402,"{1: [742, 661, 883, 925]}","{2: [1069, 211, 1127, 301]}"
403,"{1: [755, 658, 885, 919]}","{2: [1068, 214, 1121, 301]}"
404,"{1: [770, 657, 894, 915]}","{2: [1068, 215, 1119, 301]}"
405,"{1: [784, 657, 911, 911]}","{2: [1064, 216, 1118, 300]}"
406,"{1: [797, 659, 934, 909]}","{2: [1066, 214, 1118, 300]}"
407,"{1: [803, 664, 951, 908]}","{2: [1067, 210, 1118, 300]}"
408,"{1: [805, 669, 961, 908]}","{2: [1046, 206, 1121, 301]}"
409,"{1: [806, 677, 967, 910]}","{2: [1039, 202, 1123, 302]}"
410,"{1: [808, 684, 969, 910]}","{2: [1035, 196, 1125, 302]}"
411,"{1: [809, 689, 969, 910]}","{2: [1032, 190, 1127, 302]}"
412,"{1: [809, 689, 969, 909]}","{2: [1030, 187, 1127, 301]}"
413,"{1: [808, 688, 967, 907]}","{2: [1028, 185, 1125, 300]}"
414,"{1: [807, 686, 964, 906]}","{2: [1025, 184, 1121, 299]}"
415,"{1: [808, 684, 954, 906]}","{2: [1023, 183, 1116, 298]}"
416,"{1: [807, 684, 940, 907]}","{2: [1021, 181, 1109, 298]}"
417,"{1: [800, 685, 923, 909]}","{2: [1021, 179, 1104, 298]}"
418,"{1: [792, 686, 919, 912]}","{2: [1021, 178, 1097, 298]}"
419,"{1: [788, 689, 917, 915]}","{2: [1021, 176, 1093, 298]}"
420,"{1: [786, 691, 915, 919]}","{2: [1021, 174, 1089, 298]}"
421,"{1: [785, 693, 915, 924]}","{2: [1021, 173, 1085, 298]}"
422,"{1: [784, 694, 915, 930]}","{2: [1018, 173, 1084, 298]}"
423,"{1: [784, 694, 915, 935]}","{2: [1016, 173, 1083, 297]}"
424,"{1: [784, 694, 912, 938]}","{2: [1015, 173, 1082, 296]}"
425,"{1: [783, 694, 906, 940]}","{2: [1012, 172, 1080, 294]}"
426,"{1: [781, 692, 899, 940]}","{2: [1010, 170, 1078, 293]}"
427,"{1: [777, 691, 888, 940]}","{2: [1009, 168, 1072, 292]}"
428,"{1: [771, 689, 876, 940]}","{2: [1008, 165, 1067, 292]}"
429,"{1: [765, 687, 869, 941]}","{2: [1007, 163, 1060, 291]}"
430,"{1: [760, 687, 864, 943]}","{2: [1005, 162, 1054, 291]}"
431,"{1: [755, 687, 859, 944]}","{2: [1004, 162, 1049, 291]}"
432,"{1: [753, 686, 856, 945]}","{2: [1003, 163, 1046, 290]}"
433,"{1: [751, 685, 851, 945]}","{2: [1002, 164, 1043, 290]}"
434,"{1: [748, 685, 848, 945]}","{2: [1000, 166, 1041, 290]}"
435,"{1: [746, 685, 844, 945]}","{2: [999, 167, 1039, 289]}"
436,"{1: [746, 684, 841, 944]}","{2: [998, 168, 1037, 290]}"
437,"{1: [743, 682, 837, 945]}","{2: [998, 169, 1036, 290]}"
438,"{1: [740, 683, 835, 945]}","{2: [997, 170, 1035, 289]}"
439,"{1: [735, 683, 832, 944]}","{2: [996, 171, 1033, 288]}"
440,"{1: [729, 686, 830, 943]}","{2: [993, 171, 1031, 285]}"
441,"{1: [722, 687, 828, 943]}","{2: [987, 169, 1029, 285]}"
442,"{1: [715, 689, 828, 942]}","{2: [982, 167, 1028, 283]}"
443,"{1: [711, 691, 827, 940]}","{2: [976, 165, 1025, 282]}"
444,"{1: [720, 692, 828, 937]}","{2: [969, 164, 1024, 281]}"
445,"{1: [731, 693, 828, 931]}","{2: [963, 164, 1022, 281]}"
446,"{1: [734, 693, 830, 925]}","{2: [957, 164, 1022, 280]}"
447,"{1: [735, 692, 849, 921]}","{2: [951, 166, 1022, 282]}"
448,"{1: [737, 689, 864, 917]}","{2: [945, 169, 1022, 284]}"
449,"{1: [743, 670, 880, 913]}","{2: [941, 173, 1022, 284]}"
450,"{1: [749, 655, 885, 910]}","{2: [938, 177, 1022, 285]}"
451,"{1: [752, 645, 885, 910]}","{2: [936, 180, 1022, 285]}"
452,"{1: [749, 636, 887, 910]}","{2: [936, 182, 1022, 285]}"
453,"{1: [741, 632, 888, 911]}","{2: [935, 181, 1022, 285]}"
454,"{1: [734, 633, 892, 912]}","{2: [934, 180, 1022, 286]}"
455,"{1: [734, 638, 894, 913]}","{2: [928, 179, 1013, 285]}"
456,"{1: [744, 642, 897, 914]}","{2: [921, 178, 1000, 285]}"
457,"{1: [759, 643, 900, 914]}","{2: [915, 178, 983, 286]}"
458,"{1: [774, 648, 902, 914]}","{2: [907, 177, 966, 286]}"
459,"{1: [782, 652, 906, 914]}","{2: [900, 177, 951, 288]}"
460,"{1: [788, 657, 910, 913]}","{2: [893, 177, 942, 290]}"
461,"{1: [798, 662, 915, 915]}","{2: [886, 178, 936, 291]}"
462,"{1: [805, 666, 924, 920]}","{2: [876, 177, 935, 291]}"
463,"{1: [809, 671, 939, 923]}","{2: [865, 177, 934, 291]}"
464,"{1: [810, 675, 954, 925]}","{2: [858, 177, 933, 291]}"
465,"{1: [810, 678, 963, 927]}","{2: [853, 176, 928, 291]}"
466,"{1: [809, 679, 969, 928]}","{2: [846, 174, 920, 288]}"
467,"{1: [811, 678, 970, 931]}","{2: [838, 174, 907, 286]}"
468,"{1: [819, 675, 971, 932]}","{2: [830, 173, 891, 285]}"
469,"{1: [838, 672, 971, 930]}","{2: [823, 172, 879, 285]}"
470,"{1: [861, 670, 974, 928]}","{2: [815, 172, 870, 284]}"
471,"{1: [882, 669, 981, 928]}","{2: [807, 173, 862, 285]}"
472,"{1: [895, 669, 996, 932]}","{2: [799, 175, 855, 285]}"
473,"{1: [904, 671, 1018, 936]}","{2: [790, 178, 848, 285]}"
474,"{1: [912, 675, 1039, 939]}","{2: [781, 181, 841, 284]}"
475,"{1: [917, 680, 1059, 941]}","{2: [774, 183, 835, 282]}"
476,"{1: [919, 685, 1071, 942]}","{2: [768, 186, 829, 284]}"
477,"{1: [919, 688, 1081, 945]}","{2: [760, 188, 825, 283]}"
478,"{1: [919, 690, 1084, 949]}","{2: [754, 189, 819, 284]}"
479,"{1: [920, 691, 1085, 951]}","{2: [750, 190, 814, 284]}"
480,"{1: [921, 690, 1085, 952]}","{2: [746, 191, 809, 285]}"
481,"{1: [929, 687, 1084, 949]}","{2: [743, 192, 805, 288]}"
482,"{1: [943, 683, 1085, 947]}","{2: [741, 191, 802, 290]}"
483,"{1: [958, 680, 1089, 944]}","{2: [738, 190, 799, 290]}"
484,"{1: [970, 680, 1098, 941]}","{2: [732, 189, 797, 291]}"
485,"{1: [978, 680, 1113, 941]}","{2: [736, 188, 794, 291]}"
486,"{1: [985, 682, 1133, 946]}","{2: [737, 187, 791, 291]}"
487,"{1: [988, 687, 1150, 950]}","{2: [736, 184, 787, 291]}"
488,"{1: [988, 694, 1160, 953]}","{2: [734, 182, 783, 292]}"
489,"{1: [989, 705, 1168, 956]}","{2: [732, 181, 777, 292]}"
490,"{1: [990, 715, 1173, 958]}","{2: [728, 180, 773, 291]}"
491,"{1: [987, 724, 1174, 957]}","{2: [718, 179, 768, 292]}"
492,"{1: [990, 730, 1174, 957]}","{2: [709, 178, 766, 292]}"
493,"{1: [998, 734, 1174, 956]}","{2: [705, 177, 765, 292]}"
494,"{1: [994, 733, 1173, 956]}","{2: [703, 176, 765, 292]}"
495,"{1: [985, 731, 1170, 955]}","{2: [703, 176, 764, 291]}"
496,"{1: [971, 730, 1164, 955]}","{2: [703, 175, 764, 290]}"
497,"{1: [956, 732, 1147, 955]}","{2: [703, 173, 764, 289]}"
498,"{1: [939, 733, 1122, 955]}","{2: [704, 171, 764, 287]}"
499,"{1: [921, 733, 1087, 954]}","{2: [704, 170, 766, 286]}"
500,"{1: [902, 734, 1061, 954]}","{2: [705, 170, 768, 286]}"
501,"{1: [883, 734, 1049, 954]}","{2: [707, 172, 771, 285]}"
502,"{1: [868, 733, 1041, 954]}","{2: [707, 175, 774, 284]}"
503,"{1: [848, 733, 1027, 949]}","{2: [707, 176, 776, 284]}"
504,"{1: [822, 734, 1007, 952]}","{2: [707, 178, 779, 284]}"
505,"{1: [794, 738, 967, 953]}","{2: [706, 178, 781, 284]}"
506,"{1: [764, 742, 917, 953]}","{2: [706, 177, 787, 284]}"
507,"{1: [739, 746, 892, 963]}","{2: [708, 177, 792, 284]}"
508,"{1: [718, 751, 882, 970]}","{2: [716, 176, 798, 284]}"
509,"{1: [687, 753, 874, 973]}","{2: [728, 177, 803, 283]}"
510,"{1: [639, 757, 865, 975]}","{2: [743, 175, 809, 283]}"
511,"{1: [594, 763, 852, 980]}","{2: [755, 173, 815, 282]}"
512,"{1: [556, 768, 833, 994]}","{2: [761, 171, 822, 283]}"
513,"{1: [523, 775, 808, 1008]}","{2: [767, 170, 828, 284]}"
514,"{1: [501, 784, 780, 1014]}","{2: [775, 169, 834, 284]}"
515,"{1: [475, 794, 755, 1020]}","{2: [785, 169, 841, 285]}"
516,"{1: [455, 804, 736, 1024]}","{2: [801, 169, 847, 285]}"
517,"{1: [438, 815, 717, 1028]}","{2: [810, 168, 854, 285]}"
518,"{1: [429, 817, 700, 1030]}","{2: [814, 167, 864, 285]}"
519,"{1: [425, 829, 685, 1031]}","{2: [817, 167, 875, 284]}"
520,"{1: [424, 833, 673, 1031]}","{2: [824, 167, 891, 283]}"
521,"{1: [424, 835, 663, 1030]}","{2: [838, 168, 907, 284]}"
522,"{1: [425, 837, 655, 1030]}","{2: [850, 171, 923, 285]}"
523,"{1: [426, 834, 648, 1030]}","{2: [861, 175, 935, 287]}"
524,"{1: [427, 828, 643, 1029]}","{2: [869, 180, 945, 287]}"
525,"{1: [428, 821, 638, 1029]}","{2: [876, 185, 950, 287]}"
526,"{1: [429, 813, 632, 1029]}","{2: [881, 189, 952, 288]}"
527,"{1: [429, 805, 628, 1029]}","{2: [886, 192, 952, 288]}"
528,"{1: [430, 798, 620, 1028]}","{2: [890, 192, 952, 288]}"
529,"{1: [430, 790, 611, 1028]}","{2: [892, 192, 952, 288]}"
530,"{1: [431, 781, 612, 1027]}","{2: [892, 190, 952, 288]}"
531,"{1: [432, 774, 623, 1024]}","{2: [891, 187, 951, 288]}"
532,"{1: [437, 768, 638, 1018]}","{2: [889, 184, 951, 288]}"
533,"{1: [448, 763, 652, 1013]}","{2: [886, 182, 950, 288]}"
534,"{1: [470, 758, 664, 1008]}","{2: [883, 180, 950, 289]}"
535,"{1: [500, 752, 673, 1006]}","{2: [880, 179, 949, 288]}"
536,"{1: [535, 746, 683, 1005]}","{2: [877, 179, 948, 290]}"
537,"{1: [566, 741, 694, 1004]}","{2: [874, 179, 949, 290]}"
538,"{1: [583, 737, 705, 1002]}","{2: [872, 180, 949, 291]}"
539,"{1: [600, 734, 716, 999]}","{2: [870, 182, 949, 291]}"
540,"{1: [631, 734, 728, 996]}","{2: [867, 184, 949, 291]}"
541,"{1: [653, 735, 740, 991]}","{2: [865, 186, 949, 291]}"
542,"{1: [669, 737, 755, 985]}","{2: [860, 187, 949, 291]}"
543,"{1: [679, 738, 790, 978]}","{2: [854, 188, 949, 291]}"
544,"{1: [684, 738, 823, 976]}","{2: [851, 188, 949, 291]}"
545,"{1: [685, 736, 854, 976]}","{2: [848, 188, 949, 291]}"
546,"{1: [685, 733, 871, 976]}","{2: [852, 188, 950, 291]}"
547,"{1: [693, 732, 875, 978]}","{2: [862, 187, 950, 291]}"
548,"{1: [708, 729, 876, 979]}","{2: [868, 185, 949, 291]}"
549,"{1: [734, 725, 876, 979]}","{2: [870, 183, 949, 291]}"
550,"{1: [764, 722, 879, 979]}","{2: [866, 180, 948, 291]}"
551,"{1: [789, 720, 890, 982]}","{2: [860, 179, 947, 291]}"
552,"{1: [805, 720, 910, 986]}","{2: [865, 177, 947, 292]}"
553,"{1: [818, 723, 936, 992]}","{2: [869, 176, 946, 291]}"
554,"{1: [829, 729, 966, 1000]}","{2: [871, 176, 943, 291]}"
555,"{1: [838, 737, 993, 1006]}","{2: [871, 175, 941, 290]}"
556,"{1: [845, 747, 1019, 1010]}","{2: [872, 176, 940, 290]}"
557,"{1: [852, 759, 1039, 1014]}","{2: [871, 177, 940, 290]}"
558,"{1: [862, 772, 1058, 1018]}","{2: [871, 178, 941, 290]}"
559,"{1: [871, 787, 1076, 1023]}","{2: [872, 179, 943, 290]}"
560,"{1: [876, 802, 1092, 1026]}","{2: [873, 181, 944, 290]}"
561,"{1: [879, 819, 1106, 1027]}","{2: [876, 184, 943, 290]}"
562,"{1: [877, 838, 1120, 1028]}","{2: [879, 186, 943, 292]}"
563,"{1: [875, 859, 1131, 1029]}","{2: [885, 187, 944, 295]}"
564,"{1: [872, 875, 1139, 1030]}","{2: [892, 188, 944, 300]}"
565,"{1: [871, 883, 1143, 1034]}","{2: [895, 188, 942, 301]}"
566,"{1: [868, 886, 1138, 1044]}","{2: [896, 188, 941, 302]}"
567,"{1: [869, 889, 1135, 1050]}","{2: [896, 188, 940, 302]}"
568,"{1: [868, 891, 1133, 1054]}","{2: [896, 188, 943, 302]}"
569,"{1: [869, 895, 1128, 1055]}","{2: [896, 187, 945, 302]}"
570,"{1: [868, 901, 1127, 1061]}","{2: [896, 187, 947, 302]}"
571,"{1: [868, 909, 1129, 1069]}","{2: [896, 186, 948, 302]}"
572,"{1: [868, 916, 1128, 1070]}","{2: [896, 185, 948, 303]}"
573,"{1: [867, 924, 1124, 1069]}","{2: [897, 184, 948, 303]}"
574,"{1: [866, 930, 1122, 1069]}","{2: [897, 184, 953, 305]}"
575,"{1: [864, 935, 1121, 1067]}","{2: [897, 185, 955, 307]}"
576,"{1: [858, 938, 1123, 1064]}","{2: [898, 186, 955, 309]}"
577,"{1: [854, 942, 1125, 1057]}","{2: [900, 188, 956, 311]}"
578,"{1: [851, 944, 1130, 1054]}","{2: [902, 190, 957, 312]}"
579,"{1: [846, 943, 1134, 1052]}","{2: [904, 191, 958, 312]}"
580,"{1: [843, 941, 1135, 1052]}","{2: [908, 191, 960, 312]}"
581,"{1: [844, 941, 1135, 1052]}","{2: [913, 190, 961, 312]}"
582,"{1: [846, 942, 1134, 1052]}","{2: [920, 189, 963, 313]}"
583,"{1: [847, 945, 1131, 1050]}","{2: [924, 187, 964, 315]}"
584,"{1: [848, 948, 1128, 1052]}","{2: [926, 186, 966, 316]}"
585,"{1: [848, 950, 1126, 1056]}","{2: [926, 185, 968, 315]}"
586,"{1: [848, 951, 1126, 1058]}","{2: [927, 185, 970, 315]}"
587,"{1: [848, 950, 1127, 1058]}","{2: [927, 186, 972, 319]}"
588,"{1: [848, 950, 1128, 1059]}","{2: [927, 187, 979, 321]}"
589,"{1: [848, 950, 1128, 1059]}","{2: [927, 188, 982, 322]}"
590,"{1: [848, 950, 1128, 1059]}","{2: [928, 189, 984, 322]}"
