frame_number,near_player_original_box,near_player_reference_point,near_player_action,near_player_net_clearance,far_player_original_box,far_player_reference_point,far_player_action,far_player_net_clearance,ball_original_box,ball_reference_point,ball_height,ball_horizontal_velocity,ball_vertical_velocity,ball_action
33,"[422, 637, 596, 871]","(114, 732)",0,0.0,"[959, 200, 1018, 309]","(213, 131)",0,0.0,"[507, 574, 533, 601]","(89, 644)",1.02,19.19,4.28,4
34,"[418, 628, 595, 871]","(113, 732)",0,0.0,"[959, 199, 1021, 309]","(214, 131)",0,0.0,"[489, 581, 507, 602]","(84, 662)",1.18,18.87,3.88,4
35,"[417, 620, 592, 871]","(113, 732)",0,0.0,"[958, 196, 1022, 309]","(214, 131)",0,0.0,"[462, 590, 477, 606]","(78, 681)",1.32,18.56,3.47,4
36,"[420, 611, 584, 870]","(113, 731)",0,0.0,"[959, 193, 1022, 309]","(214, 131)",0,0.0,"[434, 596, 452, 617]","(72, 699)",1.44,18.26,3.07,4
37,"[436, 604, 572, 867]","(113, 730)",1,0.96,"[959, 190, 1023, 308]","(214, 129)",0,0.0,"[414, 610, 428, 627]","(67, 716)",1.62,28.44,1.56,2
38,"[452, 597, 559, 863]","(113, 728)",0,0.0,"[964, 188, 1023, 306]","(215, 124)",0,0.0,"[487, 566, 505, 587]","(79, 689)",1.67,27.74,1.17,4
39,"[459, 592, 546, 858]","(112, 725)",0,0.0,"[966, 187, 1027, 305]","(216, 122)",0,0.0,"[554, 529, 572, 550]","(90, 664)",1.7,27.08,0.77,4
40,"[461, 585, 555, 853]","(112, 723)",0,0.0,"[970, 185, 1034, 304]","(219, 120)",0,0.0,"[605, 500, 627, 525]","(102, 639)",1.71,26.45,0.38,4
41,"[462, 575, 560, 844]","(112, 718)",0,0.0,"[973, 185, 1042, 302]","(221, 115)",0,0.0,"[646, 478, 676, 509]","(113, 614)",1.71,25.85,-0.01,4
42,"[462, 576, 561, 833]","(111, 712)",0,0.0,"[976, 186, 1051, 301]","(223, 113)",0,0.0,"[692, 467, 716, 492]","(124, 591)",1.7,25.27,-0.4,4
43,"[462, 586, 557, 828]","(111, 709)",0,0.0,"[978, 187, 1057, 300]","(225, 111)",0,0.0,"[734, 454, 758, 480]","(135, 567)",1.66,24.72,-0.8,4
44,"[460, 590, 552, 830]","(110, 710)",0,0.0,"[979, 189, 1063, 299]","(227, 108)",0,0.0,"[775, 442, 800, 467]","(146, 545)",1.62,24.19,-1.19,4
45,"[455, 601, 550, 831]","(109, 711)",0,0.0,"[979, 190, 1065, 298]","(227, 106)",0,0.0,"[816, 430, 840, 455]","(156, 522)",1.55,23.69,-1.58,4
46,"[450, 608, 552, 832]","(109, 711)",0,0.0,"[979, 191, 1062, 298]","(226, 106)",0,0.0,"[854, 418, 879, 444]","(166, 500)",1.47,23.2,-1.97,4
47,"[444, 610, 554, 831]","(109, 711)",0,0.0,"[979, 189, 1059, 298]","(226, 106)",0,0.0,"[892, 407, 916, 433]","(176, 479)",1.38,22.74,-2.36,4
48,"[447, 611, 553, 831]","(109, 711)",0,0.0,"[979, 188, 1061, 298]","(226, 106)",0,0.0,"[927, 396, 952, 422]","(186, 458)",1.27,22.29,-2.74,4
49,"[451, 614, 547, 830]","(109, 710)",0,0.0,"[985, 187, 1067, 298]","(229, 106)",0,0.0,"[960, 387, 985, 412]","(195, 437)",1.15,21.86,-3.13,4
50,"[449, 619, 545, 830]","(108, 710)",0,0.0,"[994, 187, 1075, 297]","(232, 104)",0,0.0,"[990, 378, 1015, 403]","(205, 417)",1.01,21.44,-3.51,4
51,"[448, 624, 546, 832]","(109, 711)",0,0.0,"[1009, 187, 1082, 296]","(236, 101)",0,0.0,"[1017, 374, 1036, 394]","(214, 397)",0.85,21.05,-3.89,4
52,"[448, 629, 559, 833]","(110, 712)",0,0.0,"[1023, 187, 1091, 296]","(241, 101)",0,0.0,"[1042, 376, 1060, 396]","(223, 378)",0.68,20.66,-4.27,4
53,"[448, 632, 571, 833]","(111, 712)",0,0.0,"[1030, 186, 1100, 295]","(245, 99)",0,0.0,"[1062, 378, 1080, 398]","(232, 359)",0.49,20.29,-4.65,4
54,"[446, 633, 580, 838]","(112, 714)",0,0.0,"[1035, 185, 1107, 295]","(247, 99)",0,0.0,"[1083, 377, 1099, 395]","(241, 340)",0.29,19.94,-5.02,4
55,"[443, 632, 585, 841]","(113, 716)",0,0.0,"[1041, 183, 1117, 294]","(250, 96)",0,0.0,"[1102, 375, 1118, 393]","(249, 322)",0.08,19.59,-5.39,4
56,"[449, 630, 588, 842]","(114, 717)",0,0.0,"[1050, 182, 1126, 292]","(254, 91)",0,0.0,"[1118, 391, 1138, 411]","(258, 304)",0.0,11.24,4.01,3
57,"[460, 627, 595, 843]","(115, 717)",0,0.0,"[1063, 183, 1137, 292]","(259, 91)",0,0.0,"[1134, 374, 1149, 390]","(262, 293)",0.14,11.13,3.6,4
58,"[480, 625, 601, 843]","(118, 717)",0,0.0,"[1082, 185, 1149, 292]","(265, 91)",0,0.0,"[1142, 349, 1167, 375]","(266, 282)",0.27,11.02,3.2,4
59,"[505, 623, 606, 843]","(121, 717)",0,0.0,"[1101, 187, 1159, 292]","(271, 91)",0,0.0,"[1154, 334, 1177, 358]","(271, 272)",0.38,10.92,2.8,4
