frame_number,near_player_original_box,near_player_reference_point,near_player_action,near_player_net_clearance,far_player_original_box,far_player_reference_point,far_player_action,far_player_net_clearance,ball_original_box,ball_reference_point,ball_height,ball_horizontal_velocity,ball_vertical_velocity,ball_action
144,"[659, 631, 795, 872]","(156, 732)",0,0.0,"[828, 161, 901, 271]","(161, 42)",1,1.0,"[778, 201, 806, 229]","(122, 59)",0.78,31.57,3.19,0
145,"[691, 628, 808, 871]","(160, 732)",0,0.0,"[817, 160, 885, 270]","(156, 39)",0,0.0,"[789, 206, 814, 231]","(128, 90)",0.89,30.71,2.79,4
146,"[727, 627, 823, 871]","(165, 732)",0,0.0,"[812, 160, 875, 270]","(152, 39)",0,0.0,"[798, 210, 824, 235]","(134, 120)",0.99,29.9,2.39,4
147,"[750, 627, 837, 874]","(168, 734)",0,0.0,"[807, 160, 868, 268]","(150, 34)",0,0.0,"[808, 214, 833, 239]","(141, 150)",1.07,29.14,1.99,4
148,"[769, 629, 849, 878]","(171, 736)",0,0.0,"[793, 159, 861, 268]","(145, 34)",0,0.0,"[816, 218, 842, 243]","(147, 179)",1.13,28.41,1.6,4
149,"[786, 634, 873, 886]","(175, 740)",0,0.0,"[778, 161, 852, 268]","(140, 34)",0,0.0,"[824, 221, 849, 246]","(153, 207)",1.18,27.71,1.2,4
150,"[802, 639, 906, 893]","(180, 743)",0,0.0,"[767, 164, 842, 267]","(135, 32)",0,0.0,"[832, 226, 855, 248]","(158, 235)",1.21,27.05,0.81,4
151,"[815, 646, 940, 898]","(184, 746)",0,0.0,"[758, 166, 832, 267]","(132, 32)",0,0.0,"[846, 237, 866, 260]","(164, 262)",1.23,26.42,0.42,4
152,"[819, 653, 972, 901]","(188, 747)",0,0.0,"[751, 167, 825, 267]","(129, 32)",0,0.0,"[860, 253, 879, 272]","(170, 288)",1.23,25.82,0.03,4
153,"[822, 659, 994, 906]","(190, 750)",0,0.0,"[747, 168, 821, 267]","(127, 32)",0,0.0,"[874, 270, 897, 294]","(175, 313)",1.21,25.24,-0.37,4
154,"[827, 664, 1007, 913]","(192, 753)",0,0.0,"[744, 167, 817, 267]","(125, 32)",0,0.0,"[889, 289, 912, 312]","(180, 339)",1.18,24.69,-0.76,4
155,"[840, 669, 1011, 917]","(193, 755)",0,0.0,"[742, 168, 813, 266]","(124, 29)",0,0.0,"[900, 301, 926, 329]","(185, 363)",1.14,24.17,-1.15,4
156,"[864, 672, 1012, 918]","(196, 755)",0,0.0,"[741, 168, 811, 266]","(123, 29)",0,0.0,"[920, 330, 938, 348]","(190, 387)",1.08,23.66,-1.54,4
157,"[896, 672, 1014, 918]","(199, 755)",0,0.0,"[741, 167, 809, 265]","(123, 27)",0,0.0,"[930, 348, 952, 368]","(195, 411)",1.0,23.18,-1.93,4
158,"[929, 671, 1025, 917]","(203, 755)",0,0.0,"[740, 166, 808, 264]","(122, 24)",0,0.0,"[949, 383, 973, 406]","(200, 434)",0.91,22.71,-2.32,4
159,"[949, 669, 1040, 915]","(206, 754)",0,0.0,"[740, 166, 810, 264]","(123, 24)",0,0.0,"[968, 418, 992, 442]","(205, 456)",0.8,22.27,-2.71,4
160,"[962, 669, 1056, 911]","(209, 752)",0,0.0,"[740, 165, 818, 264]","(124, 24)",0,0.0,"[987, 451, 1011, 475]","(210, 479)",0.67,21.84,-3.09,4
161,"[975, 668, 1070, 909]","(211, 751)",0,0.0,"[740, 164, 823, 264]","(125, 24)",0,0.0,"[1003, 481, 1027, 504]","(214, 500)",0.54,21.42,-3.48,4
162,"[987, 670, 1086, 907]","(214, 750)",0,0.0,"[742, 164, 826, 264]","(126, 24)",0,0.0,"[1015, 503, 1041, 530]","(219, 522)",0.38,21.03,-3.86,4
163,"[998, 671, 1100, 904]","(216, 749)",0,0.0,"[747, 163, 827, 264]","(128, 24)",0,0.0,"[1038, 549, 1061, 573]","(223, 543)",0.21,20.64,-4.24,4
164,"[1008, 673, 1124, 904]","(220, 749)",0,0.0,"[755, 162, 828, 264]","(129, 24)",0,0.0,"[1060, 594, 1076, 611]","(227, 563)",0.03,20.28,-4.61,4
165,"[1018, 674, 1146, 903]","(223, 748)",0,0.0,"[764, 160, 830, 264]","(132, 24)",0,0.0,"[1083, 636, 1098, 652]","(232, 584)",0.0,17.87,3.99,1
166,"[1027, 675, 1164, 903]","(225, 748)",0,0.0,"[774, 158, 832, 264]","(135, 24)",0,0.0,"[1096, 634, 1117, 657]","(235, 601)",0.14,17.59,3.58,4
167,"[1031, 676, 1176, 905]","(226, 749)",0,0.0,"[779, 156, 835, 264]","(136, 24)",0,0.0,"[1113, 640, 1133, 660]","(239, 619)",0.27,17.32,3.18,4
168,"[1033, 678, 1185, 906]","(227, 750)",0,0.0,"[783, 154, 837, 265]","(138, 27)",0,0.0,"[1131, 645, 1151, 667]","(243, 636)",0.38,17.06,2.78,4
169,"[1035, 677, 1188, 906]","(228, 750)",0,0.0,"[787, 153, 840, 267]","(139, 32)",0,0.0,"[1153, 657, 1168, 674]","(247, 653)",0.48,16.81,2.38,4
170,"[1041, 676, 1189, 905]","(229, 749)",0,0.0,"[795, 153, 843, 268]","(142, 34)",0,0.0,"[1167, 666, 1191, 691]","(250, 670)",0.56,16.56,1.98,4
171,"[1051, 673, 1189, 905]","(230, 749)",0,0.0,"[806, 154, 847, 268]","(145, 34)",0,0.0,"[1190, 680, 1212, 702]","(254, 686)",0.62,16.33,1.59,4
172,"[1067, 670, 1197, 905]","(232, 749)",0,0.0,"[814, 154, 850, 268]","(147, 34)",0,0.0,"[1208, 697, 1237, 724]","(258, 703)",0.67,16.09,1.19,4
173,"[1081, 666, 1208, 904]","(234, 749)",0,0.0,"[818, 154, 855, 268]","(149, 34)",0,0.0,"[1230, 718, 1252, 742]","(261, 719)",0.7,15.87,0.8,4
174,"[1087, 664, 1226, 902]","(236, 748)",1,1.18,"[823, 154, 861, 268]","(152, 34)",0,0.0,"[1253, 741, 1272, 764]","(265, 732)",0.79,35.89,3.18,2
175,"[1092, 664, 1221, 899]","(236, 746)",0,0.0,"[826, 154, 873, 268]","(155, 34)",0,0.0,"[1213, 674, 1232, 696]","(257, 696)",0.9,34.79,2.78,4
176,"[1099, 664, 1215, 895]","(237, 744)",0,0.0,"[830, 154, 885, 268]","(158, 34)",0,0.0,"[1178, 614, 1197, 636]","(250, 661)",1.0,33.75,2.38,4
177,"[1110, 666, 1231, 889]","(239, 741)",0,0.0,"[834, 154, 896, 268]","(162, 34)",0,0.0,"[1151, 569, 1171, 589]","(243, 628)",1.08,32.78,1.98,4
178,"[1122, 666, 1252, 884]","(243, 739)",0,0.0,"[838, 157, 907, 271]","(165, 42)",0,0.0,"[1105, 500, 1126, 524]","(237, 595)",1.14,31.86,1.59,4
179,"[1135, 668, 1270, 881]","(246, 737)",0,0.0,"[842, 160, 915, 272]","(167, 44)",0,0.0,"[1074, 462, 1095, 485]","(230, 564)",1.19,30.98,1.19,4
180,"[1145, 669, 1287, 878]","(249, 736)",0,0.0,"[846, 163, 920, 272]","(169, 44)",0,0.0,"[1045, 426, 1066, 449]","(224, 533)",1.22,30.16,0.8,4
181,"[1147, 672, 1298, 876]","(250, 735)",0,0.0,"[847, 167, 923, 272]","(170, 44)",0,0.0,"[1020, 394, 1041, 417]","(218, 503)",1.24,29.38,0.41,4
182,"[1143, 674, 1305, 876]","(250, 735)",0,0.0,"[848, 170, 924, 272]","(171, 44)",0,0.0,"[1001, 371, 1022, 392]","(212, 474)",1.24,28.64,0.02,4
183,"[1139, 675, 1308, 876]","(250, 735)",0,0.0,"[849, 172, 925, 272]","(171, 44)",0,0.0,"[974, 346, 998, 370]","(206, 445)",1.22,27.93,-0.38,4
184,"[1139, 676, 1307, 877]","(250, 735)",0,0.0,"[849, 171, 925, 272]","(171, 44)",0,0.0,"[957, 332, 977, 354]","(201, 417)",1.19,27.26,-0.77,4
185,"[1140, 677, 1308, 880]","(250, 737)",0,0.0,"[847, 169, 923, 272]","(170, 44)",0,0.0,"[943, 322, 957, 338]","(195, 390)",1.14,26.62,-1.16,4
186,"[1144, 676, 1308, 886]","(250, 740)",0,0.0,"[843, 167, 920, 272]","(169, 44)",0,0.0,"[920, 308, 941, 331]","(190, 364)",1.08,26.01,-1.55,4
187,"[1144, 674, 1307, 891]","(250, 742)",0,0.0,"[839, 165, 914, 272]","(167, 44)",0,0.0,"[905, 301, 926, 322]","(185, 338)",1.0,25.42,-1.94,4
188,"[1142, 672, 1302, 893]","(249, 743)",0,0.0,"[836, 164, 905, 272]","(164, 44)",0,0.0,"[894, 298, 908, 316]","(180, 313)",0.91,24.87,-2.33,4
189,"[1139, 668, 1294, 893]","(248, 743)",0,0.0,"[831, 163, 896, 273]","(161, 47)",0,0.0,"[876, 296, 896, 317]","(175, 288)",0.8,24.33,-2.72,4
190,"[1136, 664, 1282, 894]","(247, 744)",0,0.0,"[827, 163, 889, 274]","(159, 49)",0,0.0,"[862, 296, 883, 317]","(170, 264)",0.68,23.82,-3.1,4
191,"[1133, 661, 1266, 894]","(245, 744)",0,0.0,"[822, 165, 886, 275]","(157, 52)",0,0.0,"[850, 295, 870, 316]","(165, 240)",0.54,23.33,-3.49,4
192,"[1131, 658, 1247, 894]","(243, 744)",0,0.0,"[820, 166, 885, 275]","(157, 52)",0,0.0,"[838, 295, 859, 316]","(160, 217)",0.38,22.86,-3.87,4
193,"[1128, 657, 1225, 894]","(240, 744)",0,0.0,"[814, 168, 884, 275]","(155, 52)",0,0.0,"[827, 294, 854, 318]","(155, 194)",0.21,22.41,-4.25,4
194,"[1124, 657, 1208, 896]","(238, 745)",0,0.0,"[809, 169, 884, 275]","(154, 52)",0,0.0,"[821, 305, 835, 320]","(151, 171)",0.03,21.97,-4.62,4
195,"[1115, 660, 1202, 902]","(237, 748)",0,0.0,"[803, 170, 884, 275]","(153, 52)",0,0.0,"[808, 305, 830, 329]","(147, 150)",0.0,10.13,4.3,3
196,"[1102, 664, 1198, 909]","(235, 751)",0,0.0,"[798, 172, 884, 275]","(152, 52)",0,0.0,"[797, 295, 829, 332]","(142, 140)",0.16,10.04,3.89,4
197,"[1082, 669, 1194, 918]","(232, 755)",0,0.0,"[796, 172, 884, 276]","(152, 54)",0,0.0,"[791, 278, 819, 309]","(138, 130)",0.3,9.95,3.49,4
198,"[1066, 672, 1191, 926]","(230, 759)",0,0.0,"[797, 172, 883, 276]","(152, 54)",0,0.0,"[785, 260, 813, 291]","(135, 121)",0.42,9.87,3.08,4
199,"[1059, 675, 1187, 930]","(229, 761)",0,0.0,"[800, 172, 882, 276]","(152, 54)",0,0.0,"[782, 251, 806, 276]","(131, 112)",0.53,9.78,2.68,4
200,"[1056, 676, 1183, 934]","(229, 763)",0,0.0,"[802, 171, 881, 276]","(152, 54)",0,0.0,"[774, 237, 798, 262]","(127, 103)",0.62,9.7,2.28,4
201,"[1055, 676, 1179, 935]","(228, 763)",0,0.0,"[802, 168, 879, 276]","(152, 54)",0,0.0,"[775, 230, 788, 244]","(123, 93)",0.69,9.61,1.89,4
202,"[1054, 675, 1177, 935]","(228, 763)",0,0.0,"[796, 166, 877, 276]","(150, 55)",0,0.0,"[766, 216, 784, 236]","(119, 84)",0.75,9.53,1.49,4
203,"[1054, 674, 1179, 935]","(228, 763)",0,0.0,"[791, 164, 872, 276]","(148, 55)",0,0.0,"[761, 206, 784, 232]","(115, 75)",0.8,9.45,1.1,4
204,"[1055, 674, 1182, 934]","(228, 763)",0,0.0,"[791, 163, 865, 276]","(147, 55)",1,0.91,"[761, 203, 783, 226]","(112, 71)",0.9,33.58,2.54,0
205,"[1051, 677, 1186, 936]","(228, 764)",0,0.0,"[792, 163, 858, 276]","(145, 55)",0,0.0,"[774, 211, 789, 228]","(118, 104)",0.99,32.61,2.14,4
206,"[1046, 681, 1191, 939]","(228, 765)",0,0.0,"[787, 163, 856, 277]","(144, 57)",0,0.0,"[787, 224, 804, 243]","(125, 136)",1.06,31.7,1.75,4
207,"[1040, 687, 1196, 946]","(228, 768)",0,0.0,"[783, 162, 856, 277]","(143, 57)",0,0.0,"[802, 238, 819, 257]","(132, 168)",1.11,30.84,1.35,4
208,"[1037, 694, 1201, 952]","(228, 771)",0,0.0,"[780, 163, 855, 278]","(142, 60)",0,0.0,"[816, 252, 833, 271]","(138, 198)",1.15,30.02,0.96,4
209,"[1035, 704, 1208, 960]","(228, 775)",0,0.0,"[777, 166, 855, 278]","(142, 60)",0,0.0,"[829, 265, 846, 284]","(145, 228)",1.17,29.25,0.57,4
210,"[1034, 713, 1212, 963]","(229, 776)",0,0.0,"[776, 168, 856, 278]","(142, 60)",0,0.0,"[841, 277, 858, 296]","(151, 257)",1.18,28.51,0.17,4
211,"[1033, 720, 1214, 970]","(228, 779)",0,0.0,"[776, 168, 857, 277]","(142, 57)",0,0.0,"[852, 288, 869, 307]","(157, 285)",1.17,27.81,-0.22,4
212,"[1034, 724, 1217, 975]","(229, 781)",0,0.0,"[776, 168, 855, 276]","(141, 55)",0,0.0,"[861, 296, 880, 317]","(162, 313)",1.14,27.15,-0.61,4
213,"[1035, 726, 1218, 976]","(229, 782)",0,0.0,"[776, 167, 853, 276]","(141, 55)",0,0.0,"[872, 310, 897, 336]","(168, 340)",1.1,26.51,-1.0,4
214,"[1040, 726, 1218, 977]","(229, 782)",0,0.0,"[776, 166, 853, 276]","(141, 55)",0,0.0,"[890, 333, 910, 356]","(174, 366)",1.05,25.9,-1.39,4
215,"[1047, 725, 1219, 977]","(230, 782)",0,0.0,"[777, 164, 854, 276]","(141, 55)",0,0.0,"[901, 353, 926, 380]","(179, 392)",0.98,25.33,-1.78,4
216,"[1055, 722, 1219, 976]","(231, 782)",0,0.0,"[779, 164, 859, 277]","(143, 57)",0,0.0,"[919, 391, 941, 414]","(184, 417)",0.89,24.77,-2.17,4
217,"[1063, 718, 1220, 976]","(231, 782)",0,0.0,"[783, 164, 864, 276]","(145, 55)",0,0.0,"[936, 426, 958, 450]","(190, 442)",0.79,24.24,-2.56,4
218,"[1068, 714, 1222, 976]","(232, 782)",0,0.0,"[790, 163, 867, 275]","(147, 52)",0,0.0,"[951, 459, 974, 483]","(195, 466)",0.67,23.73,-2.95,4
219,"[1069, 711, 1226, 973]","(232, 780)",0,0.0,"[800, 162, 869, 274]","(149, 49)",0,0.0,"[965, 489, 988, 512]","(200, 490)",0.54,23.25,-3.33,4
220,"[1068, 708, 1228, 969]","(233, 779)",0,0.0,"[812, 159, 873, 274]","(152, 49)",0,0.0,"[978, 514, 998, 534]","(204, 513)",0.39,22.78,-3.71,4
221,"[1066, 708, 1230, 965]","(233, 777)",0,0.0,"[823, 157, 877, 274]","(156, 49)",0,0.0,"[992, 549, 1018, 577]","(209, 535)",0.22,22.33,-4.09,4
222,"[1061, 710, 1231, 964]","(233, 776)",0,0.0,"[831, 156, 879, 274]","(158, 49)",0,0.0,"[1011, 596, 1029, 616]","(214, 558)",0.05,21.9,-4.47,4
223,"[1057, 712, 1224, 963]","(232, 776)",0,0.0,"[839, 155, 881, 274]","(160, 49)",0,0.0,"[1026, 629, 1048, 652]","(219, 580)",0.0,15.81,4.46,1
224,"[1054, 714, 1219, 963]","(231, 776)",0,0.0,"[846, 155, 884, 276]","(162, 54)",0,0.0,"[1039, 627, 1069, 654]","(222, 595)",0.16,15.59,4.05,4
225,"[1053, 717, 1215, 963]","(230, 776)",0,0.0,"[850, 156, 887, 276]","(163, 54)",0,0.0,"[1062, 634, 1076, 651]","(225, 611)",0.31,15.38,3.64,4
226,"[1052, 720, 1221, 963]","(231, 776)",0,0.0,"[854, 157, 897, 277]","(166, 57)",0,0.0,"[1072, 635, 1093, 658]","(228, 626)",0.44,15.17,3.24,4
227,"[1054, 721, 1228, 963]","(232, 776)",0,0.0,"[858, 159, 908, 277]","(170, 57)",0,0.0,"[1088, 644, 1109, 667]","(230, 642)",0.55,14.97,2.84,4
228,"[1055, 722, 1228, 963]","(232, 776)",0,0.0,"[861, 161, 920, 278]","(173, 59)",0,0.0,"[1099, 647, 1131, 684]","(233, 657)",0.65,14.78,2.44,4
229,"[1056, 722, 1215, 963]","(231, 776)",0,0.0,"[865, 162, 926, 278]","(175, 59)",0,0.0,"[1118, 664, 1142, 690]","(236, 671)",0.73,14.59,2.04,4
230,"[1055, 720, 1196, 962]","(229, 775)",0,0.0,"[869, 162, 929, 278]","(177, 59)",0,0.0,"[1138, 682, 1157, 700]","(239, 686)",0.8,14.4,1.65,4
231,"[1055, 715, 1188, 961]","(228, 775)",0,0.0,"[871, 161, 930, 277]","(177, 56)",0,0.0,"[1150, 694, 1178, 724]","(242, 701)",0.85,14.22,1.25,4
232,"[1054, 711, 1181, 960]","(228, 775)",0,0.0,"[872, 160, 931, 277]","(177, 56)",0,0.0,"[1166, 717, 1191, 743]","(244, 715)",0.88,14.05,0.86,4
233,"[1045, 706, 1176, 958]","(226, 774)",0,0.0,"[873, 158, 931, 276]","(178, 54)",0,0.0,"[1188, 744, 1215, 771]","(247, 729)",0.9,13.87,0.47,4
234,"[1034, 701, 1176, 953]","(226, 771)",0,0.0,"[873, 157, 932, 275]","(178, 51)",0,0.0,"[1195, 752, 1218, 776]","(250, 743)",0.9,13.71,0.07,4
235,"[1026, 696, 1147, 950]","(222, 770)",1,1.18,"[875, 157, 935, 274]","(179, 49)",0,0.0,"[1203, 760, 1221, 781]","(253, 757)",0.99,38.99,2.68,2
236,"[1019, 691, 1135, 947]","(221, 769)",0,0.0,"[877, 157, 943, 274]","(181, 49)",0,0.0,"[1155, 676, 1173, 696]","(246, 718)",1.08,37.69,2.28,4
237,"[1012, 663, 1122, 941]","(219, 766)",0,0.0,"[878, 159, 951, 274]","(183, 49)",0,0.0,"[1112, 601, 1130, 621]","(239, 680)",1.16,36.48,1.89,4
238,"[1009, 655, 1114, 938]","(218, 765)",0,0.0,"[880, 161, 957, 274]","(184, 49)",0,0.0,"[1079, 544, 1097, 563]","(233, 644)",1.22,35.34,1.49,4
239,"[1008, 665, 1108, 935]","(218, 763)",0,0.0,"[881, 164, 962, 274]","(186, 49)",0,0.0,"[1046, 491, 1069, 517]","(227, 608)",1.26,34.27,1.1,4
240,"[1009, 680, 1104, 935]","(217, 763)",0,0.0,"[882, 168, 964, 273]","(186, 46)",0,0.0,"[1021, 461, 1045, 486]","(221, 574)",1.29,33.27,0.7,4
241,"[1007, 693, 1104, 935]","(217, 763)",0,0.0,"[882, 172, 965, 274]","(186, 49)",0,0.0,"[998, 432, 1022, 457]","(216, 541)",1.3,32.32,0.31,4
242,"[1007, 701, 1104, 935]","(217, 763)",0,0.0,"[881, 175, 965, 273]","(186, 46)",0,0.0,"[976, 405, 1000, 430]","(210, 509)",1.3,31.42,-0.08,4
243,"[1007, 704, 1103, 934]","(217, 763)",0,0.0,"[881, 177, 965, 273]","(186, 46)",0,0.0,"[956, 379, 980, 404]","(205, 477)",1.28,30.58,-0.47,4
244,"[1001, 704, 1104, 933]","(216, 762)",0,0.0,"[881, 178, 965, 273]","(186, 46)",0,0.0,"[938, 356, 962, 381]","(199, 447)",1.24,29.77,-0.87,4
245,"[998, 700, 1104, 931]","(216, 761)",0,0.0,"[880, 176, 965, 274]","(186, 49)",0,0.0,"[924, 339, 949, 363]","(194, 417)",1.19,29.01,-1.26,4
246,"[1000, 698, 1106, 930]","(217, 761)",0,0.0,"[877, 173, 964, 274]","(185, 49)",0,0.0,"[909, 329, 928, 348]","(189, 388)",1.13,28.29,-1.65,4
247,"[997, 696, 1110, 929]","(217, 760)",0,0.0,"[873, 170, 961, 274]","(184, 49)",0,0.0,"[893, 314, 924, 345]","(185, 360)",1.05,27.6,-2.04,4
248,"[988, 696, 1113, 930]","(216, 761)",0,0.0,"[866, 167, 952, 274]","(181, 49)",0,0.0,"[881, 309, 904, 335]","(180, 332)",0.95,26.94,-2.43,4
249,"[985, 697, 1117, 933]","(216, 762)",0,0.0,"[859, 166, 940, 274]","(176, 49)",0,0.0,"[871, 307, 891, 328]","(175, 305)",0.84,26.32,-2.81,4
250,"[982, 697, 1120, 939]","(216, 765)",0,0.0,"[854, 164, 926, 275]","(173, 52)",0,0.0,"[860, 306, 880, 326]","(171, 279)",0.71,25.72,-3.2,4
251,"[983, 701, 1121, 946]","(216, 768)",0,0.0,"[850, 164, 912, 275]","(169, 52)",0,0.0,"[849, 304, 869, 324]","(166, 253)",0.57,25.15,-3.58,4
252,"[984, 702, 1122, 951]","(216, 771)",0,0.0,"[846, 166, 904, 277]","(166, 57)",0,0.0,"[842, 307, 857, 324]","(162, 228)",0.41,24.6,-3.96,4
253,"[984, 702, 1122, 955]","(216, 772)",0,0.0,"[841, 166, 899, 278]","(164, 59)",0,0.0,"[830, 303, 854, 329]","(158, 203)",0.23,24.08,-4.34,4
254,"[984, 700, 1121, 955]","(216, 772)",0,0.0,"[834, 168, 896, 278]","(162, 59)",0,0.0,"[823, 308, 843, 329]","(154, 179)",0.05,23.58,-4.71,4
255,"[984, 698, 1119, 954]","(216, 772)",0,0.0,"[827, 170, 893, 278]","(160, 59)",0,0.0,"[814, 309, 836, 332]","(150, 156)",0.0,10.1,4.16,3
256,"[984, 697, 1118, 954]","(216, 772)",0,0.0,"[821, 171, 892, 278]","(159, 59)",0,0.0,"[805, 305, 830, 332]","(146, 146)",0.15,10.01,3.75,4
257,"[979, 697, 1119, 955]","(216, 772)",0,0.0,"[816, 172, 892, 278]","(158, 59)",0,0.0,"[798, 286, 822, 312]","(142, 136)",0.28,9.92,3.35,4
258,"[971, 697, 1122, 959]","(215, 774)",0,0.0,"[813, 173, 892, 278]","(157, 59)",0,0.0,"[792, 268, 816, 294]","(139, 127)",0.4,9.84,2.95,4
259,"[967, 700, 1123, 965]","(215, 777)",0,0.0,"[813, 174, 891, 278]","(157, 59)",0,0.0,"[786, 253, 811, 279]","(135, 117)",0.5,9.75,2.55,4
260,"[966, 703, 1125, 968]","(215, 778)",0,0.0,"[813, 173, 890, 278]","(156, 59)",0,0.0,"[783, 242, 807, 267]","(131, 108)",0.59,9.67,2.15,4
261,"[965, 704, 1126, 970]","(215, 779)",0,0.0,"[813, 173, 887, 278]","(156, 59)",0,0.0,"[780, 227, 805, 255]","(128, 99)",0.66,9.59,1.75,4
262,"[965, 703, 1126, 970]","(215, 779)",0,0.0,"[808, 171, 883, 278]","(154, 59)",0,0.0,"[777, 224, 796, 243]","(124, 90)",0.71,9.51,1.36,4
263,"[965, 701, 1126, 969]","(215, 779)",0,0.0,"[803, 170, 877, 279]","(152, 62)",0,0.0,"[772, 212, 792, 234]","(121, 81)",0.75,9.43,0.96,4
264,"[968, 700, 1128, 966]","(215, 777)",0,0.0,"[805, 169, 869, 278]","(151, 60)",1,0.89,"[774, 211, 791, 230]","(118, 75)",0.85,32.95,2.6,0
265,"[971, 700, 1134, 967]","(216, 778)",0,0.0,"[805, 170, 865, 279]","(150, 62)",0,0.0,"[784, 224, 800, 241]","(123, 107)",0.94,32.02,2.2,4
266,"[973, 703, 1142, 970]","(217, 779)",0,0.0,"[796, 171, 863, 279]","(147, 62)",0,0.0,"[795, 237, 810, 254]","(129, 139)",1.01,31.14,1.81,4
267,"[976, 707, 1148, 974]","(218, 781)",0,0.0,"[786, 171, 862, 280]","(145, 65)",0,0.0,"[805, 249, 820, 266]","(134, 171)",1.07,30.31,1.41,4
268,"[977, 714, 1153, 978]","(218, 782)",0,0.0,"[780, 171, 863, 280]","(144, 65)",0,0.0,"[814, 261, 830, 278]","(139, 201)",1.11,29.52,1.02,4
269,"[977, 723, 1159, 984]","(218, 785)",0,0.0,"[777, 174, 862, 280]","(143, 65)",0,0.0,"[824, 272, 839, 289]","(144, 230)",1.13,28.77,0.62,4
270,"[976, 731, 1164, 986]","(219, 786)",0,0.0,"[775, 174, 862, 280]","(143, 65)",0,0.0,"[832, 282, 848, 299]","(149, 259)",1.14,28.06,0.23,4
271,"[976, 738, 1167, 990]","(219, 788)",0,0.0,"[774, 174, 862, 280]","(143, 65)",0,0.0,"[840, 292, 855, 309]","(154, 287)",1.14,27.38,-0.16,4
272,"[977, 744, 1168, 992]","(219, 788)",0,0.0,"[774, 173, 862, 279]","(143, 62)",0,0.0,"[847, 301, 861, 316]","(158, 315)",1.11,26.73,-0.55,4
273,"[978, 746, 1169, 992]","(219, 788)",0,0.0,"[774, 172, 859, 279]","(142, 62)",0,0.0,"[854, 315, 877, 339]","(163, 341)",1.08,26.12,-0.94,4
274,"[980, 747, 1171, 993]","(220, 789)",0,0.0,"[774, 171, 856, 279]","(142, 62)",0,0.0,"[860, 334, 887, 364]","(167, 368)",1.02,25.53,-1.34,4
275,"[982, 745, 1172, 992]","(220, 788)",0,0.0,"[774, 170, 855, 279]","(141, 62)",0,0.0,"[871, 358, 897, 385]","(172, 393)",0.95,24.97,-1.73,4
276,"[983, 742, 1172, 992]","(220, 788)",0,0.0,"[775, 168, 855, 279]","(142, 62)",0,0.0,"[885, 395, 908, 419]","(176, 418)",0.87,24.43,-2.11,4
277,"[982, 738, 1172, 991]","(220, 788)",0,0.0,"[778, 167, 859, 278]","(143, 60)",0,0.0,"[898, 429, 921, 453]","(180, 443)",0.77,23.91,-2.5,4
278,"[981, 735, 1170, 988]","(220, 787)",0,0.0,"[782, 167, 862, 278]","(144, 60)",0,0.0,"[909, 459, 932, 483]","(184, 467)",0.65,23.42,-2.89,4
279,"[981, 732, 1160, 986]","(219, 786)",0,0.0,"[789, 166, 865, 277]","(146, 57)",0,0.0,"[920, 485, 940, 506]","(188, 490)",0.52,22.94,-3.27,4
280,"[981, 729, 1142, 986]","(217, 786)",0,0.0,"[799, 164, 869, 276]","(149, 55)",0,0.0,"[926, 514, 949, 537]","(192, 513)",0.38,22.49,-3.66,4
281,"[980, 725, 1124, 983]","(216, 785)",0,0.0,"[809, 163, 873, 276]","(152, 54)",0,0.0,"[937, 545, 963, 570]","(196, 536)",0.21,22.05,-4.04,4
282,"[972, 723, 1119, 980]","(215, 783)",0,0.0,"[820, 161, 878, 276]","(155, 54)",0,0.0,"[949, 576, 975, 601]","(200, 558)",0.04,21.63,-4.41,4
283,"[962, 721, 1110, 975]","(213, 781)",0,0.0,"[827, 159, 880, 277]","(157, 57)",0,0.0,"[963, 629, 983, 649]","(204, 580)",0.0,15.77,3.61,1
284,"[952, 721, 1105, 969]","(212, 779)",0,0.0,"[833, 158, 883, 278]","(159, 59)",0,0.0,"[969, 625, 998, 652]","(206, 595)",0.13,15.55,3.21,4
285,"[944, 722, 1097, 967]","(210, 778)",0,0.0,"[840, 157, 886, 278]","(161, 59)",0,0.0,"[984, 634, 1000, 652]","(208, 611)",0.24,15.34,2.81,4
286,"[937, 723, 1097, 966]","(210, 777)",0,0.0,"[850, 158, 890, 278]","(164, 59)",0,0.0,"[994, 637, 1014, 656]","(210, 627)",0.34,15.14,2.41,4
287,"[933, 725, 1096, 966]","(209, 777)",0,0.0,"[855, 160, 894, 278]","(166, 59)",0,0.0,"[1002, 645, 1024, 669]","(213, 642)",0.42,14.94,2.01,4
288,"[935, 726, 1109, 965]","(211, 777)",0,0.0,"[860, 161, 902, 278]","(169, 59)",0,0.0,"[1017, 659, 1035, 676]","(215, 657)",0.48,14.74,1.61,4
289,"[936, 727, 1102, 965]","(210, 777)",0,0.0,"[865, 163, 916, 278]","(173, 59)",0,0.0,"[1023, 668, 1048, 695]","(217, 672)",0.53,14.55,1.22,4
290,"[936, 724, 1093, 964]","(209, 776)",0,0.0,"[869, 163, 925, 279]","(176, 61)",0,0.0,"[1039, 688, 1056, 707]","(219, 687)",0.56,14.37,0.83,4
291,"[935, 722, 1076, 963]","(208, 776)",0,0.0,"[872, 163, 931, 278]","(177, 59)",0,0.0,"[1049, 707, 1070, 728]","(221, 701)",0.58,14.19,0.43,4
