Frame,velocity,acceleration,x1,y1,x2,y2,xc,yc,deltaY
68,-5,0,1180.500741683543,260.6841026452997,1202.1468383319059,283.734437555536,1191,272,-5
69,-5,0,1180.1244096580592,255.7917863140095,1201.770506306422,278.84212122424583,1190,267,-5
70,-5,0,1179.7709217949678,251.19644409382235,1201.4170184433306,274.2467790040587,1190,262,-5
71,-4,1,1179.441862739886,246.9186763777574,1201.0879593882487,269.96901128799374,1190,258,-4
72,-4,0,1179.139202124468,242.98408837732373,1200.7852987728309,266.03442328756006,1189,254,-4
73,-4,0,1178.8654820484776,239.4257273894501,1200.5115786968404,262.4760622996864,1189,250,-4
74,-3,1,1178.6241652713186,236.28860928638127,1200.2702619196814,259.3389441966176,1189,247,-3
75,-2,1,1178.4203839235986,233.63945176602277,1200.0664805719614,256.68978667625913,1189,245,-2
76,-2,0,1178.263017972401,231.59369440045285,1199.9091146207638,254.6440293106892,1189,243,-2
77,-1,1,1181.281982421875,233.670654296875,1196.88037109375,251.5431671142578,1189,242,-1
78,-21,-20,1178.2880859375,211.6127471923828,1196.6260986328125,231.49044799804688,1187,221,-21
79,-8,12,1182.3768310546875,205.50146484375,1197.0447998046875,222.09732055664062,1189,213,-8
80,62,70,1178.2490234375,261.94970703125,1203.6822509765625,289.27142333984375,1190,275,62
81,12,-49,1166.717529296875,266.80224609375,1190.787841796875,291.9910888671875,1178,279,4
82,13,0,1158.034912109375,272.1459045410156,1173.5174560546875,291.69635009765625,1165,281,2
83,22,9,1133.49857579328,277.5358943296003,1155.1446724416428,300.5862292398366,1144,289,8
84,18,-3,1116.0366017208216,284.34310456123654,1137.6826983691844,307.39343947147285,1126,295,6
85,14,-4,1102.5519516758186,289.59983254488185,1124.1980483241814,312.65016745511815,1113,301,6
86,7,-6,1093.9210205078125,291.8810119628906,1119.387451171875,317.334228515625,1106,304,3
87,15,8,1084.903564453125,303.3598937988281,1099.470947265625,319.4285888671875,1092,311,7
88,15,0,1064.0120849609375,301.5384826660156,1093.4503173828125,334.52337646484375,1078,318,7
89,19,4,1051.209716796875,317.7834167480469,1071.320556640625,339.42950439453125,1061,328,10
90,18,-1,1037.8192138671875,330.8410949707031,1054.4666748046875,348.4848937988281,1046,339,11
91,17,0,1018.9396362304688,337.89361572265625,1045.8927001953125,364.0016174316406,1032,350,11
92,21,3,1007.514404296875,354.4521789550781,1025.965576171875,373.8776550292969,1016,364,14
93,22,0,992.726806640625,370.497802734375,1007.0152587890625,386.99432373046875,999,378,14
94,35,13,965.4459002355281,393.9913684989178,987.0919968838907,417.0417034091541,976,405,27
95,32,-2,944.8884018012413,418.87676134042283,966.5344984496039,441.92709625065913,955,430,25
96,28,-4,926.7645237821797,440.8161926266554,948.4106204305423,463.8665275368917,937,452,22
97,23,-4,911.4597102001569,459.3430722259462,933.1058068485195,482.3934071361825,922,470,18
98,19,-4,899.6408829414966,473.6500736443245,921.2869795898591,496.7004085545608,910,485,15
99,10,-9,893.4640502929688,480.5640563964844,915.509765625,505.9098815917969,904,493,8
100,30,20,872.407470703125,504.25323486328125,901.559326171875,532.9078369140625,886,518,25
101,32,1,856.1906127929688,533.2882690429688,878.0856323242188,556.0523071289062,867,544,26
102,33,0,844.0969848632812,565.0794677734375,858.4297485351562,581.156494140625,851,573,29
103,36,2,822.1029052734375,594.362060546875,840.32958984375,613.4758911132812,831,603,30
104,47,11,796.9048737371766,632.8474155469123,818.5509703855391,655.8977504571487,807,644,41
105,25,-21,783.42626953125,655.14990234375,807.2435302734375,680.4398803710938,795,667,23
106,40,14,767.98828125,693.2539672851562,787.5089721679688,714.5512084960938,777,703,36
107,14,-25,755.1105346679688,702.1937255859375,777.7035522460938,724.4917602539062,766,713,10
108,-13,-27,741.0211791992188,694.8792724609375,767.4091186523438,723.1038208007812,754,708,-5
109,-10,2,731.2337036132812,691.4714965820312,758.4010620117188,721.4918212890625,744,706,-2
110,-12,-1,722.5723266601562,693.547119140625,741.6090698242188,714.716796875,732,704,-2
111,10,22,709.7681274414062,692.0513305664062,734.9465942382812,718.97900390625,722,705,1
112,11,0,699.8578491210938,694.428466796875,723.7882690429688,719.4384155273438,711,706,1
113,13,2,686.46484375,694.82177734375,715.1961059570312,734.0843505859375,700,714,8
114,8,-5,676.1500244140625,699.0422973632812,708.9052124023438,733.7759399414062,692,716,2
115,17,9,669.0000610351562,716.5950317382812,688.9464721679688,738.0608520507812,678,727,11
116,11,-6,656.513427734375,722.4183349609375,684.6948852539062,749.5443115234375,670,735,8
117,17,6,650.191162109375,739.72412109375,666.0234375,756.3585205078125,658,748,13
118,-83,-101,661.91845703125,652.9783325195312,688.1221313476562,680.7880249023438,675,666,-82
119,-62,20,679.6188354492188,593.712158203125,701.9379272460938,617.4158935546875,690,605,-61
120,-60,2,697.2696533203125,537.5934448242188,715.04736328125,556.624755859375,706,547,-58
121,-51,8,707.0553588867188,484.499755859375,733.318359375,510.5431213378906,720,497,-50
122,-44,7,721.0933038793155,442.716156991158,742.7394005276781,465.7664919013943,731,454,-43
123,-37,7,731.1561363956474,406.60834619726126,752.80223304401,429.65868110749756,741,418,-36
124,-29,8,738.9269516758187,378.72483254488185,760.5730483241813,401.77516745511815,749,390,-28
125,-15,13,743.5281982421875,363.4905700683594,765.2598876953125,387.7366638183594,754,375,-15
126,-21,-5,752.2423706054688,345.3931579589844,767.640625,363.3023376464844,759,354,-21
127,-16,5,750.3587036132812,322.1763610839844,781.4200439453125,357.4990539550781,765,339,-15
128,-11,4,759.1701049804688,318.4341735839844,781.220947265625,340.61199951171875,770,329,-10
129,-8,3,759.9135131835938,308.6136779785156,783.6926879882812,333.7797546386719,771,321,-8
130,-5,2,765.906005859375,307.28350830078125,784.6375122070312,327.1855163574219,775,317,-4
131,-2,2,770.2322387695312,306.55682373046875,785.7097778320312,323.9264831542969,777,315,-2
132,-2,0,772.185791015625,305.4335632324219,786.8953857421875,321.47882080078125,779,313,-2
133,-1,1,773.191650390625,305.0757751464844,787.7941284179688,320.9098815917969,780,312,-1
134,2,3,772.8424072265625,305.89739990234375,788.373779296875,322.74383544921875,780,314,2
135,3,1,774.2340698242188,307.33526611328125,791.8837890625,325.9324951171875,783,316,2
136,5,1,773.6530151367188,309.7884216308594,796.1665649414062,333.8041076660156,784,321,5
137,-5,-10,775.5562133789062,306.865478515625,794.1926879882812,326.12249755859375,784,316,-5
138,-26,-21,775.1162915040389,278.6169681686128,796.7623881524015,301.6673030788491,785,290,-26
139,-14,11,773.8580932617188,261.5993957519531,800.9990844726562,290.5594482421875,787,276,-14
140,-16,-1,774.5392456054688,244.21133422851562,804.9636840820312,276.7833251953125,789,260,-16
141,-15,1,774.0562133789062,227.90753173828125,805.6422729492188,263.2705993652344,789,245,-15
142,-11,3,778.406982421875,221.96617126464844,805.5677490234375,247.3893585205078,791,234,-11
143,-12,0,777.9050903320312,209.17391967773438,803.1685180664062,235.35736083984375,790,222,-12
144,-7,4,778.8004760742188,201.7349395751953,806.0245971679688,229.94796752929688,792,215,-7
145,13,20,793.3799371858695,208.73886551000174,815.0260338342321,231.7892004202381,804,220,5
146,12,0,804.416067924276,213.49954935794185,826.0621645726386,236.5498842681782,815,225,5
147,9,-2,814.1457287555618,217.6966579518298,835.7918254039243,240.74699286206615,824,229,4
148,9,0,822.3619970995951,221.24093057082456,844.0080937479577,244.29126548106092,833,232,3
149,6,-2,828.7068412068759,223.97792214651432,850.3529378552385,247.02825705675068,839,235,3
150,4,-2,832.6604614257812,226.84913635253906,855.1564331054688,248.70675659179688,843,237,2
151,17,12,846.3762817382812,237.39349365234375,866.9163208007812,260.1425476074219,856,248,11
152,19,2,860.1090087890625,253.18560791015625,879.5343017578125,272.4668884277344,869,262,14
153,31,12,878.2263853019388,274.6252866854355,899.8724819503013,297.6756215956718,889,286,24
154,23,-7,893.7091477277042,293.27497778919843,915.3552443760668,316.32531269943473,904,304,18
155,14,-9,900.4398193359375,301.3402404785156,926.3994140625,329.41534423828125,913,315,11
156,28,14,920.0233154296875,330.1015319824219,938.322509765625,348.86993408203125,929,339,24
157,22,-6,930.6690673828125,348.12744140625,952.0279541015625,368.71142578125,941,358,19
158,50,27,954.9248191822246,391.41923560249245,976.5709158305872,414.46957051272875,965,402,44
159,45,-4,976.7430055414133,431.04306830078923,998.3891021897758,454.09340321102553,987,442,40
160,38,-7,995.1674991610467,464.5036429203535,1016.8135958094093,487.5539778305898,1005,476,34
161,29,-9,1009.3954351141194,490.34288292708317,1031.041531762482,513.3932178373195,1020,501,25
162,17,-12,1015.8167724609375,503.03173828125,1041.2080078125,530.10205078125,1028,516,15
163,49,32,1038.80029296875,549.4841918945312,1061.1160888671875,573.5310668945312,1049,561,45
164,46,-3,1060.4569091796875,594.5914916992188,1076.4932861328125,611.81787109375,1068,603,42
165,47,0,1083.9937744140625,636.2703247070312,1098.0062255859375,652.421875,1091,644,41
166,16,-30,1096.2073974609375,634.8762817382812,1117.80908203125,657.0913696289062,1107,645,1
167,16,0,1113.646728515625,640.557373046875,1133.47705078125,660.4409790039062,1123,650,5
168,18,2,1131.88671875,645.7396240234375,1151.7762451171875,667.430419921875,1141,656,6
169,22,3,1153.5234375,657.19189453125,1168.6376953125,674.868896484375,1161,666,10
170,22,0,1167.98046875,666.8377685546875,1191.0693359375,691.76513671875,1179,679,13
171,25,2,1190.4716796875,680.2244262695312,1212.98779296875,702.8883056640625,1201,691,12
172,24,0,1206.6873779296875,694.9984130859375,1232.132080078125,721.1958618164062,1219,708,17
173,31,6,1230.4952392578125,718.0426025390625,1252.668212890625,742.0689697265625,1241,730,22
174,31,0,1253.171630859375,741.1810913085938,1272.9990234375,764.1412353515625,1263,752,22
175,-91,-123,1205.698719178904,661.6441048785462,1227.3448158272668,684.6944397887826,1216,673,-79
176,-70,21,1169.8068608282658,600.7686980681502,1191.4529574766286,623.8190329783866,1180,612,-61
177,-38,32,1151.7286376953125,569.212890625,1171.266357421875,589.3253784179688,1161,579,-33
178,-80,-42,1105.633544921875,500.9700012207031,1126.38818359375,524.564208984375,1116,512,-67
179,-59,21,1068.3764522238432,454.56182846670293,1090.022548872206,477.61216337693924,1079,466,-46
180,-49,9,1037.3000576881122,415.7903267126007,1058.946154336475,438.840661622837,1048,427,-39
181,-38,11,1013.3019516758187,385.84983254488185,1034.9480483241814,408.90016745511815,1024,397,-30
182,-20,17,1001.0467529296875,371.0926208496094,1022.6162109375,392.2857971191406,1011,381,-16
183,-33,-13,974.9920043945312,346.4912109375,998.8834228515625,370.24566650390625,986,358,-23
184,-24,9,957.4484252929688,332.86224365234375,977.2410278320312,354.0619201660156,967,343,-15
185,-21,2,943.3707885742188,322.14825439453125,957.2137451171875,338.71783447265625,950,330,-13
186,-21,0,920.6277465820312,308.389404296875,941.8328247070312,331.5933837890625,931,319,-11
187,-17,4,905.1663818359375,301.0418701171875,926.5862426757812,322.8518371582031,915,311,-8
188,-14,3,894.2199096679688,298.21356201171875,908.892333984375,316.2496337890625,901,307,-4
189,-18,-3,873.1094568438147,295.1903742976818,894.7555534921772,318.2407092079181,883,306,-1
190,15,33,858.062431768512,294.93959054642676,879.7085284168746,317.98992545666306,868,306,0
191,12,-3,845.3558844446269,294.72781475769534,867.0019810929895,317.77814966793164,856,306,0
192,10,-2,835.5435148218182,294.5642752639818,857.1896114701808,317.6146101742181,846,306,0
193,5,-5,827.8225708007812,294.3569030761719,854.2157592773438,318.9554748535156,841,306,0
194,14,9,821.466796875,305.30133056640625,835.5289306640625,320.6351623535156,828,312,6
195,10,-4,808.7933959960938,305.5443420410156,830.7799682617188,329.2033996582031,819,317,5
196,-6,-17,797.4065551757812,295.7423400878906,829.3342895507812,332.3064880371094,813,314,-3
197,-25,-18,793.5192417009032,279.2357162964245,815.1653383492658,302.28605120666083,804,290,-24
198,-19,6,786.8335033806864,261.28978712110546,808.4796000290489,284.34012203134176,797,272,-18
199,-9,9,782.7802734375,251.4473876953125,806.553955078125,276.09539794921875,794,263,-9
200,-15,-5,774.7024536132812,237.8655548095703,798.2743530273438,262.94573974609375,786,250,-13
201,-13,1,775.2885131835938,230.65576171875,788.0502319335938,244.94888305664062,781,237,-13
202,-13,0,765.0053788005649,213.83879357556074,786.6514754489275,236.8891284857971,775,225,-12
203,-6,7,761.6795654296875,206.5869140625,784.3253173828125,232.01806640625,773,219,-6
204,-4,2,761.7845458984375,203.572509765625,783.69091796875,226.52088928222656,772,215,-4
205,10,14,774.065185546875,211.2345428466797,789.8155517578125,228.8525848388672,781,220,5
206,24,14,788.756543979079,226.22866519021946,810.4026406274415,249.27900010045582,799,237,17
207,24,0,805.8456067289856,242.55821404013008,827.4917033773481,265.6085489503664,816,254,17
208,21,-2,821.3006058805839,257.32632434054636,842.9467025289465,280.37665925078267,832,268,14
209,18,-2,834.9260243770824,270.346168681645,856.572121025445,293.3965035918813,845,281,13
210,16,-2,846.4320878060369,281.340851513757,868.0781844543994,304.3911864239933,857,292,11
211,12,-3,855.3174084514144,289.8312690193399,876.963505099777,312.8816039295762,866,301,9
212,7,-5,861.3180541992188,296.8468322753906,880.9484252929688,317.0999450683594,871,306,5
213,25,18,872.6753540039062,307.2160339355469,902.4592895507812,345.11602783203125,887,326,20
214,22,-3,890.4113159179688,333.6330261230469,910.6349487304688,356.2302551269531,900,344,18
215,26,4,901.673583984375,353.40875244140625,926.6788330078125,380.883544921875,914,367,23
216,48,21,924.2268619686237,400.1347773552924,945.8729586169862,423.1851122655287,935,411,44
217,43,-4,942.7848595614969,439.50782630233414,964.4309562098595,462.55816121257044,953,451,40
218,36,-7,958.4562679276219,472.756625133167,980.1023645759844,495.8069600434033,969,484,33
219,27,-8,970.5581904624194,498.4323256461832,992.2042871107819,521.4826605564195,981,509,25
220,16,-11,978.3241577148438,514.1511840820312,998.6768798828125,534.2971801757812,988,524,15
221,42,25,992.3096923828125,549.7805786132812,1018.611328125,577.2393798828125,1005,563,39
222,45,2,1011.4015502929688,596.2706298828125,1029.9793701171875,616.1347045898438,1020,606,43
223,38,-6,1026.8411865234375,629.7730102539062,1048.3026123046875,652.4857788085938,1037,641,35
224,-17,-55,1039.8116455078125,627.0977783203125,1069.453857421875,654.3651123046875,1054,640,-1
225,15,32,1062.0400390625,634.454345703125,1076.314208984375,651.6767578125,1069,643,3
226,14,0,1072.1134033203125,635.7744140625,1093.8907470703125,658.15283203125,1083,646,3
227,18,3,1088.1328125,644.526123046875,1109.74072265625,667.7761840820312,1098,656,10
228,19,1,1099.1839599609375,647.4859008789062,1131.7962646484375,684.6515502929688,1115,666,10
229,18,-1,1118.38671875,664.9456787109375,1142.5416259765625,690.9589233398438,1130,677,11
230,22,4,1138.497802734375,682.0283203125,1157.8106689453125,700.3707275390625,1148,691,14
231,24,1,1150.2239990234375,694.5223388671875,1178.392822265625,724.7576293945312,1164,709,18
232,25,1,1166.3819580078125,717.3259887695312,1191.453125,743.8390502929688,1178,730,21
233,36,10,1188.10107421875,744.6989135742188,1215.1212158203125,771.3345336914062,1201,758,28
234,10,-25,1197.2878643792926,754.8786384671693,1218.9339610276554,777.9289733774057,1208,766,8
235,6,-4,1203.3966064453125,760.9940185546875,1221.6075439453125,781.090576171875,1212,771,5
236,-194,-201,1016.2950439453125,706.7120361328125,1035.440185546875,726.7615966796875,1025,716,-55
237,-145,49,1110.82373046875,596.1078491210938,1131.853759765625,619.4249267578125,1121,607,-109
238,-63,81,1079.63232421875,544.3258666992188,1097.359130859375,563.0597534179688,1088,553,-54
239,-57,5,1046.068359375,491.586181640625,1069.5260009765625,517.0936889648438,1057,504,-49
240,-47,10,1017.2247703676591,455.8658760147297,1038.8708670160217,478.916210924966,1028,467,-37
241,-42,4,991.0410092039887,422.75748379950994,1012.6871058523512,445.80781870974624,1001,434,-33
242,-37,5,967.9569119376048,393.5685013056527,989.6030085859674,416.618836215889,978,405,-29
243,-31,5,948.4634125331336,368.9196962735528,970.1095091814962,391.9700311837891,959,380,-25
244,-24,7,933.4099588668399,349.88516395171035,955.0560555152025,372.93549886194666,944,361,-19
245,-12,11,924.1116943359375,339.4151916503906,949.6234130859375,363.9381408691406,936,351,-10
246,-21,-8,909.7940063476562,329.7505187988281,928.1690063476562,348.7009582519531,918,339,-12
247,-13,8,893.9967041015625,314.2987365722656,924.6123046875,345.5797424316406,909,329,-10
248,-18,-4,881.0025024414062,309.9469299316406,904.5489501953125,335.2623596191406,892,322,-7
249,-11,6,871.8048706054688,307.9457702636719,891.0401000976562,328.065673828125,881,318,-4
250,-11,0,860.7462158203125,306.8101806640625,880.0228271484375,326.90911865234375,870,316,-2
251,-11,0,849.478271484375,304.2738952636719,869.3538208007812,324.2198486328125,859,314,-2
252,9,20,842.9960327148438,307.5209655761719,857.989990234375,324.04998779296875,850,315,1
253,8,0,830.4376831054688,303.45501708984375,854.3206787109375,329.74908447265625,842,316,1
254,9,1,823.6148071289062,308.04937744140625,843.4462280273438,329.0045166015625,833,318,2
255,8,0,814.6472778320312,309.66058349609375,836.27880859375,332.8258056640625,825,321,3
256,-7,-16,805.9465942382812,305.41754150390625,830.4298095703125,332.2576904296875,818,318,-3
257,-24,-17,799.1158898911003,284.39453287369656,820.7619865394629,307.44486778393286,809,295,-23
258,-18,5,792.308679659464,265.7486961522581,813.9547763078266,288.7990310624944,803,277,-18
259,-16,2,787.0519516758187,251.34983254488182,808.6980483241813,274.40016745511815,797,262,-15
260,-7,8,783.7244262695312,242.52662658691406,807.8617553710938,267.71551513671875,795,255,-7
261,-14,-6,780.898681640625,227.93930053710938,805.950439453125,255.78634643554688,793,241,-14
262,-10,4,777.7890014648438,224.0646514892578,796.2991333007812,243.72679138183594,787,233,-8
263,-11,-1,772.5983276367188,212.00564575195312,792.4671020507812,234.49063110351562,782,223,-10
264,-3,8,774.4129028320312,211.16693115234375,791.7756958007812,230.7861328125,783,220,-3
265,20,23,785.0643353874859,224.62944029612666,806.7104320358485,247.67977520636302,795,236,16
266,19,0,797.0610989242973,239.66763684227053,818.7071955726599,262.71797175250686,807,251,15
267,17,-1,808.0954338833258,253.4994088331653,829.7415305316883,276.5497437434016,818,265,14
268,15,-2,818.0746609436962,266.0085807820805,839.7207575920588,289.0589156923168,828,277,12
269,14,-1,826.8725355754182,277.0369025035347,848.5186322237807,300.087237413771,837,288,11
270,12,-2,834.3019516758187,286.34983254488185,855.9480483241813,309.40016745511815,845,297,9
271,9,-2,840.0391653343034,293.5415510745317,861.685261982666,316.591885984768,850,305,8
272,5,-3,847.3969116210938,301.5042419433594,861.1536254882812,316.595703125,854,309,4
273,21,15,854.6737060546875,315.5105895996094,877.7993774414062,339.4126281738281,866,327,18
274,23,1,860.7237548828125,334.6683654785156,887.8944091796875,364.3062744140625,874,349,22
275,24,0,871.1568603515625,358.4263916015625,897.2149658203125,385.4127502441406,884,371,22
276,45,21,889.2990752452556,403.2849509400907,910.9451718936182,426.335285850327,900,414,43
277,39,-6,902.9134957085281,440.2806587207226,924.5595923568907,463.3309936309589,913,451,37
278,31,-8,913.4269516758187,468.84983254488185,935.0730483241813,491.90016745511815,924,480,29
279,17,-13,920.8515014648438,485.2569580078125,940.1006469726562,506.91943359375,930,496,16
280,30,12,926.7568359375,514.237548828125,949.29345703125,537.5137329101562,938,525,29
281,42,12,943.2990752452556,553.4296605213123,964.9451718936182,576.4799954315487,954,564,39
282,36,-5,956.9134957085281,587.1697460172486,978.5595923568907,610.220080927485,967,598,34
283,28,-8,967.4269516758187,613.2248325448818,989.0730483241813,636.2751674551182,978,624,26
284,16,-12,969.799072265625,625.9237060546875,998.7041015625,652.67041015625,984,639,15
285,8,-7,984.9064331054688,634.6653442382812,1000.9644165039062,652.5020751953125,992,643,4
286,12,3,994.3551635742188,637.2032470703125,1014.7739868164062,656.88671875,1004,647,4
287,13,0,1002.2319946289062,645.3168334960938,1024.5404052734375,669.3681030273438,1013,657,10
288,16,2,1017.8904418945312,659.37109375,1035.3564453125,676.2596435546875,1026,667,10
289,17,1,1023.0770874023438,668.9488525390625,1048.0672607421875,695.3860473632812,1035,682,15
290,19,2,1039.394287109375,688.7862548828125,1056.8529052734375,707.1643676757812,1048,697,15
291,24,4,1049.5301513671875,707.9083862304688,1070.72802734375,728.3722534179688,1060,718,21
292,26,2,1065.015869140625,733.342041015625,1080.989990234375,749.4093627929688,1073,741,23
293,26,0,1072.753173828125,755.0476684570312,1094.2164306640625,776.5870971679688,1083,765,24
294,34,8,1088.34326171875,786.4373168945312,1108.3121337890625,807.3424682617188,1098,796,31
295,-45,-80,1100.75233047336,740.5164631052244,1122.3984271217228,763.5667980154608,1111,752,-44
296,-25,20,1108.0057373046875,716.2755126953125,1131.05615234375,740.66015625,1119,728,-24
297,-63,-38,1115.50927734375,651.7556762695312,1142.12548828125,680.2218017578125,1128,665,-63
298,-64,0,1121.72900390625,590.2052612304688,1143.5994873046875,612.1036376953125,1132,601,-64
299,-58,5,1128.2373046875,531.2802124023438,1150.9892578125,555.0681762695312,1139,543,-58
300,-40,18,1135.449462890625,495.54925537109375,1150.1343994140625,511.2749938964844,1142,503,-40
301,-44,-4,1136.4341658832436,448.3656760439963,1158.0802625316064,471.4160109542326,1147,459,-44
302,-36,8,1140.8736508169195,411.96189958785453,1162.5197474652823,435.01223449809083,1151,423,-36
303,-28,7,1144.3019516758186,383.84983254488185,1165.9480483241814,406.90016745511815,1155,395,-28
