single_centre_point,clean_centre_point,complete_centre_point,velocity_vector,velocity,velocity_delta,frame
"(678, 727)","(678, 727)","(678, 727)",17,17,9.0,115
"(670, 735)","(670, 735)","(670, 735)",11,11,-6.0,116
"(658, 747)","(658, 747)","(658, 747)",16,16,5.0,117
"(674, 666)","(674, 666)","(674, 666)",-82,82,-98.0,118
"(690, 605)","(690, 605)","(690, 605)",-63,63,19.0,119
"(706, 546)","(706, 546)","(706, 546)",-61,61,2.0,120
"(720, 497)","(720, 497)","(720, 497)",-50,50,11.0,121
,,"(729, 460)",-38,38,12.0,122
,,"(739, 427)",-34,34,4.0,123
,,"(747, 397)",-31,31,3.0,124
"(754, 375)","(754, 375)","(754, 375)",-23,23,8.0,125
"(759, 354)","(759, 354)","(759, 354)",-21,21,2.0,126
"(764, 342)","(764, 342)","(764, 342)",-13,13,8.0,127
"(770, 329)","(770, 329)","(770, 329)",-14,14,-1.0,128
"(771, 320)","(771, 320)","(771, 320)",-9,9,5.0,129
"(774, 317)","(774, 317)","(774, 317)",-4,4,5.0,130
"(777, 314)","(777, 314)","(777, 314)",-4,4,0.0,131
"(779, 313)","(779, 313)","(779, 313)",-2,2,2.0,132
"(780, 312)","(780, 312)","(780, 312)",-1,1,1.0,133
"(780, 313)","(780, 313)","(780, 313)",1,1,2.0,134
"(782, 316)","(782, 316)","(782, 316)",3,3,2.0,135
"(784, 321)","(784, 321)","(784, 321)",5,5,2.0,136
"(784, 316)","(784, 316)","(784, 316)",-5,5,-10.0,137
,,"(784, 292)",-24,24,-19.0,138
"(786, 275)","(786, 275)","(786, 275)",-17,17,7.0,139
"(788, 260)","(788, 260)","(788, 260)",-15,15,2.0,140
"(789, 245)","(789, 245)","(789, 245)",-15,15,0.0,141
"(791, 234)","(791, 234)","(791, 234)",-11,11,4.0,142
"(790, 222)","(790, 222)","(790, 222)",-12,12,-1.0,143
"(792, 215)","(792, 215)","(792, 215)",-7,7,5.0,144
,,"(801, 218)",9,9,16.0,145
,,"(811, 222)",10,10,1.0,146
,,"(820, 226)",9,9,-1.0,147
,,"(829, 230)",9,9,0.0,148
,,"(836, 233)",7,7,-2.0,149
"(843, 237)","(843, 237)","(843, 237)",8,8,1.0,150
"(856, 248)","(856, 248)","(856, 248)",17,17,9.0,151
"(869, 262)","(869, 262)","(869, 262)",19,19,2.0,152
,,"(885, 282)",25,25,6.0,153
