frame,multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,centre_point,x,y,x_diff,y_diff,velocity
203,"{1: [761, 206, 784, 232]}","[761, 206, 784, 232]","[761, 206, 784, 232]","[761, 206, 784, 232]","(772, 219)",772,219,-3,-7,7.62
204,"{1: [761, 203, 783, 226]}","[761, 203, 783, 226]","[761, 203, 783, 226]","[761, 203, 783, 226]","(772, 214)",772,214,0,-5,5.0
205,"{1: [774, 211, 789, 228]}","[774, 211, 789, 228]","[774, 211, 789, 228]","[774, 211, 789, 228]","(781, 219)",781,219,9,5,10.3
206,{},,,"(787, 224, 804, 243)","(795, 233)",795,233,14,14,19.8
207,{},,,"(802, 238, 819, 257)","(810, 247)",810,247,15,14,20.52
208,{},,,"(816, 252, 833, 271)","(824, 261)",824,261,14,14,19.8
209,{},,,"(829, 265, 846, 284)","(837, 274)",837,274,13,13,18.38
210,{},,,"(841, 277, 858, 296)","(849, 286)",849,286,12,12,16.97
211,{},,,"(852, 288, 869, 307)","(860, 297)",860,297,11,11,15.56
212,"{1: [861, 296, 880, 317]}","[861, 296, 880, 317]","[861, 296, 880, 317]","[861, 296, 880, 317]","(870, 306)",870,306,10,9,13.45
213,"{1: [872, 310, 897, 336], 2: [875, 312, 902, 339], 3: [872, 307, 902, 345]}","[872, 310, 897, 336]","[872, 310, 897, 336]","[872, 310, 897, 336]","(884, 323)",884,323,14,17,22.02
214,"{1: [890, 333, 910, 356]}","[890, 333, 910, 356]","[890, 333, 910, 356]","[890, 333, 910, 356]","(900, 344)",900,344,16,21,26.4
215,"{1: [901, 353, 926, 380]}","[901, 353, 926, 380]","[901, 353, 926, 380]","[901, 353, 926, 380]","(913, 366)",913,366,13,22,25.55
216,{},,,"(919, 391, 941, 414)","(930, 402)",930,402,17,36,39.81
217,{},,,"(936, 426, 958, 450)","(947, 438)",947,438,17,36,39.81
218,{},,,"(951, 459, 974, 483)","(962, 471)",962,471,15,33,36.25
219,{},,,"(965, 489, 988, 512)","(976, 500)",976,500,14,29,32.2
220,"{1: [978, 514, 998, 534]}","[978, 514, 998, 534]","[978, 514, 998, 534]","[978, 514, 998, 534]","(988, 524)",988,524,12,24,26.83
221,"{1: [999, 558, 1022, 581], 2: [992, 549, 1018, 577]}","[992, 549, 1018, 577]","[992, 549, 1018, 577]","[992, 549, 1018, 577]","(1005, 563)",1005,563,17,39,42.54
222,"{1: [1011, 596, 1029, 616]}","[1011, 596, 1029, 616]","[1011, 596, 1029, 616]","[1011, 596, 1029, 616]","(1020, 606)",1020,606,15,43,45.54
223,"{1: [1026, 629, 1048, 652]}","[1026, 629, 1048, 652]","[1026, 629, 1048, 652]","[1026, 629, 1048, 652]","(1037, 640)",1037,640,17,34,38.01
224,"{1: [1039, 627, 1069, 654], 2: [1041, 626, 1064, 651]}","[1039, 627, 1069, 654]","[1039, 627, 1069, 654]","[1039, 627, 1069, 654]","(1054, 640)",1054,640,17,0,17.0
225,"{1: [1062, 634, 1076, 651]}","[1062, 634, 1076, 651]","[1062, 634, 1076, 651]","[1062, 634, 1076, 651]","(1069, 642)",1069,642,15,2,15.13
226,"{1: [1072, 635, 1093, 658]}","[1072, 635, 1093, 658]","[1072, 635, 1093, 658]","[1072, 635, 1093, 658]","(1082, 646)",1082,646,13,4,13.6
227,"{1: [1088, 644, 1109, 667], 2: [1082, 633, 1117, 671]}","[1088, 644, 1109, 667]","[1088, 644, 1109, 667]","[1088, 644, 1109, 667]","(1098, 655)",1098,655,16,9,18.36
228,"{1: [1107, 652, 1123, 674], 2: [1099, 647, 1131, 684]}","[1099, 647, 1131, 684]","[1099, 647, 1131, 684]","[1099, 647, 1131, 684]","(1115, 665)",1115,665,17,10,19.72
229,"{1: [1118, 664, 1142, 690]}","[1118, 664, 1142, 690]","[1118, 664, 1142, 690]","[1118, 664, 1142, 690]","(1130, 677)",1130,677,15,12,19.21
230,"{1: [1138, 682, 1157, 700], 2: [1133, 675, 1164, 707]}","[1138, 682, 1157, 700]","[1138, 682, 1157, 700]","[1138, 682, 1157, 700]","(1147, 691)",1147,691,17,14,22.02
231,"{1: [1150, 694, 1178, 724]}","[1150, 694, 1178, 724]","[1150, 694, 1178, 724]","[1150, 694, 1178, 724]","(1164, 709)",1164,709,17,18,24.76
232,"{1: [1166, 717, 1191, 743]}","[1166, 717, 1191, 743]","[1166, 717, 1191, 743]","[1166, 717, 1191, 743]","(1178, 730)",1178,730,14,21,25.24
233,"{1: [1184, 741, 1208, 766], 2: [1183, 736, 1214, 775], 3: [1188, 744, 1215, 771]}","[1188, 744, 1215, 771]","[1188, 744, 1215, 771]","[1188, 744, 1215, 771]","(1201, 757)",1201,757,23,27,35.47
234,{},,,"(1195, 752, 1218, 776)","(1206, 764)",1206,764,5,7,8.6
235,"{1: [1203, 760, 1221, 781]}","[1203, 760, 1221, 781]","[1203, 760, 1221, 781]","[1203, 760, 1221, 781]","(1212, 770)",1212,770,6,6,8.49
236,"{1: [1016, 706, 1035, 726]}","[1016, 706, 1035, 726]",,"(1155, 676, 1173, 696)","(1164, 686)",1164,686,-48,-84,96.75
237,"{1: [1110, 596, 1131, 619]}","[1110, 596, 1131, 619]",,"(1112, 601, 1130, 621)","(1121, 611)",1121,611,-43,-75,86.45
238,"{1: [1079, 544, 1097, 563]}","[1079, 544, 1097, 563]","[1079, 544, 1097, 563]","[1079, 544, 1097, 563]","(1088, 553)",1088,553,-33,-58,66.73
239,"{1: [1046, 491, 1069, 517]}","[1046, 491, 1069, 517]","[1046, 491, 1069, 517]","[1046, 491, 1069, 517]","(1057, 504)",1057,504,-31,-49,57.98
240,{},,,"(1021, 461, 1045, 486)","(1033, 473)",1033,473,-24,-31,39.2
241,{},,,"(998, 432, 1022, 457)","(1010, 444)",1010,444,-23,-29,37.01
242,{},,,"(976, 405, 1000, 430)","(988, 417)",988,417,-22,-27,34.83
243,{},,,"(956, 379, 980, 404)","(968, 391)",968,391,-20,-26,32.8
244,{},,,"(938, 356, 962, 381)","(950, 368)",950,368,-18,-23,29.21
245,"{1: [924, 339, 949, 363]}","[924, 339, 949, 363]","[924, 339, 949, 363]","[924, 339, 949, 363]","(936, 351)",936,351,-14,-17,22.02
246,"{1: [909, 329, 928, 348]}","[909, 329, 928, 348]","[909, 329, 928, 348]","[909, 329, 928, 348]","(918, 338)",918,338,-18,-13,22.2
247,"{1: [898, 318, 917, 338], 2: [893, 314, 924, 345]}","[893, 314, 924, 345]","[893, 314, 924, 345]","[893, 314, 924, 345]","(908, 329)",908,329,-10,-9,13.45
248,"{1: [881, 309, 904, 335]}","[881, 309, 904, 335]","[881, 309, 904, 335]","[881, 309, 904, 335]","(892, 322)",892,322,-16,-7,17.46
249,"{1: [871, 307, 891, 328]}","[871, 307, 891, 328]","[871, 307, 891, 328]","[871, 307, 891, 328]","(881, 317)",881,317,-11,-5,12.08
250,"{1: [860, 306, 880, 326]}","[860, 306, 880, 326]","[860, 306, 880, 326]","[860, 306, 880, 326]","(870, 316)",870,316,-11,-1,11.05
251,"{1: [849, 304, 869, 324], 2: [844, 294, 877, 331]}","[849, 304, 869, 324]","[849, 304, 869, 324]","[849, 304, 869, 324]","(859, 314)",859,314,-11,-2,11.18
252,"{1: [842, 307, 857, 324]}","[842, 307, 857, 324]","[842, 307, 857, 324]","[842, 307, 857, 324]","(849, 315)",849,315,-10,1,10.05
253,"{1: [830, 303, 854, 329]}","[830, 303, 854, 329]","[830, 303, 854, 329]","[830, 303, 854, 329]","(842, 316)",842,316,-7,1,7.07
254,"{1: [823, 308, 843, 329]}","[823, 308, 843, 329]","[823, 308, 843, 329]","[823, 308, 843, 329]","(833, 318)",833,318,-9,2,9.22
255,"{1: [814, 309, 836, 332]}","[814, 309, 836, 332]","[814, 309, 836, 332]","[814, 309, 836, 332]","(825, 320)",825,320,-8,2,8.25
256,"{1: [805, 305, 830, 332]}","[805, 305, 830, 332]","[805, 305, 830, 332]","[805, 305, 830, 332]","(817, 318)",817,318,-8,-2,8.25
257,{},,,"(798, 286, 822, 312)","(810, 299)",810,299,-7,-19,20.25
258,{},,,"(792, 268, 816, 294)","(804, 281)",804,281,-6,-18,18.97
259,{},,,"(786, 253, 811, 279)","(798, 266)",798,266,-6,-15,16.16
260,"{1: [783, 242, 807, 267]}","[783, 242, 807, 267]","[783, 242, 807, 267]","[783, 242, 807, 267]","(795, 254)",795,254,-3,-12,12.37
261,"{1: [780, 227, 805, 255]}","[780, 227, 805, 255]","[780, 227, 805, 255]","[780, 227, 805, 255]","(792, 241)",792,241,-3,-13,13.34
262,"{1: [777, 224, 796, 243]}","[777, 224, 796, 243]","[777, 224, 796, 243]","[777, 224, 796, 243]","(786, 233)",786,233,-6,-8,10.0
263,"{1: [772, 212, 792, 234]}","[772, 212, 792, 234]","[772, 212, 792, 234]","[772, 212, 792, 234]","(782, 223)",782,223,-4,-10,10.77
264,"{1: [774, 211, 791, 230]}","[774, 211, 791, 230]","[774, 211, 791, 230]","[774, 211, 791, 230]","(782, 220)",782,220,0,-3,3.0
265,{},,,"(784, 224, 800, 241)","(792, 232)",792,232,10,12,15.62
266,{},,,"(795, 237, 810, 254)","(802, 245)",802,245,10,13,16.4
267,{},,,"(805, 249, 820, 266)","(812, 257)",812,257,10,12,15.62
268,{},,,"(814, 261, 830, 278)","(822, 269)",822,269,10,12,15.62
269,{},,,"(824, 272, 839, 289)","(831, 280)",831,280,9,11,14.21
270,{},,,"(832, 282, 848, 299)","(840, 290)",840,290,9,10,13.45
271,{},,,"(840, 292, 855, 309)","(847, 300)",847,300,7,10,12.21
272,"{1: [847, 301, 861, 316]}","[847, 301, 861, 316]","[847, 301, 861, 316]","[847, 301, 861, 316]","(854, 308)",854,308,7,8,10.63
273,"{1: [854, 315, 877, 339]}","[854, 315, 877, 339]","[854, 315, 877, 339]","[854, 315, 877, 339]","(865, 327)",865,327,11,19,21.95
274,"{1: [860, 334, 887, 364]}","[860, 334, 887, 364]","[860, 334, 887, 364]","[860, 334, 887, 364]","(873, 349)",873,349,8,22,23.41
275,"{1: [871, 358, 897, 385]}","[871, 358, 897, 385]","[871, 358, 897, 385]","[871, 358, 897, 385]","(884, 371)",884,371,11,22,24.6
276,{},,,"(885, 395, 908, 419)","(896, 407)",896,407,12,36,37.95
277,{},,,"(898, 429, 921, 453)","(909, 441)",909,441,13,34,36.4
278,{},,,"(909, 459, 932, 483)","(920, 471)",920,471,11,30,31.95
279,"{1: [920, 485, 940, 506]}","[920, 485, 940, 506]","[920, 485, 940, 506]","[920, 485, 940, 506]","(930, 495)",930,495,10,24,26.0
280,"{1: [926, 514, 949, 537]}","[926, 514, 949, 537]","[926, 514, 949, 537]","[926, 514, 949, 537]","(937, 525)",937,525,7,30,30.81
281,{},,,"(937, 545, 963, 570)","(950, 557)",950,557,13,32,34.54
282,{},,,"(949, 576, 975, 601)","(962, 588)",962,588,12,31,33.24
283,{},,,"(961, 604, 987, 629)","(974, 616)",974,616,12,28,30.46
284,"{1: [969, 625, 998, 652]}","[969, 625, 998, 652]","[969, 625, 998, 652]","[969, 625, 998, 652]","(983, 638)",983,638,9,22,23.77
285,"{1: [984, 634, 1000, 652]}","[984, 634, 1000, 652]","[984, 634, 1000, 652]","[984, 634, 1000, 652]","(992, 643)",992,643,9,5,10.3
286,"{1: [994, 637, 1014, 656], 2: [990, 628, 1020, 664]}","[994, 637, 1014, 656]","[994, 637, 1014, 656]","[994, 637, 1014, 656]","(1004, 646)",1004,646,12,3,12.37
287,"{1: [1002, 645, 1024, 669]}","[1002, 645, 1024, 669]","[1002, 645, 1024, 669]","[1002, 645, 1024, 669]","(1013, 657)",1013,657,9,11,14.21
288,"{1: [1017, 659, 1035, 676], 2: [1010, 650, 1044, 686]}","[1017, 659, 1035, 676]","[1017, 659, 1035, 676]","[1017, 659, 1035, 676]","(1026, 667)",1026,667,13,10,16.4
289,"{1: [1023, 668, 1048, 695]}","[1023, 668, 1048, 695]","[1023, 668, 1048, 695]","[1023, 668, 1048, 695]","(1035, 681)",1035,681,9,14,16.64
290,"{1: [1039, 688, 1056, 707]}","[1039, 688, 1056, 707]","[1039, 688, 1056, 707]","[1039, 688, 1056, 707]","(1047, 697)",1047,697,12,16,20.0
291,"{1: [1049, 707, 1070, 728]}","[1049, 707, 1070, 728]","[1049, 707, 1070, 728]","[1049, 707, 1070, 728]","(1059, 717)",1059,717,12,20,23.32
292,"{1: [1065, 733, 1080, 749]}","[1065, 733, 1080, 749]","[1065, 733, 1080, 749]","[1065, 733, 1080, 749]","(1072, 741)",1072,741,13,24,27.29
293,"{1: [1072, 755, 1094, 776]}","[1072, 755, 1094, 776]","[1072, 755, 1094, 776]","[1072, 755, 1094, 776]","(1083, 765)",1083,765,11,24,26.4
294,"{1: [1088, 786, 1108, 807]}","[1088, 786, 1108, 807]","[1088, 786, 1108, 807]","[1088, 786, 1108, 807]","(1098, 796)",1098,796,15,31,34.44
295,{},,,"(1099, 746, 1120, 768)","(1109, 757)",1109,757,11,-39,40.52
296,"{1: [1108, 716, 1131, 740]}","[1108, 716, 1131, 740]","[1108, 716, 1131, 740]","[1108, 716, 1131, 740]","(1119, 728)",1119,728,10,-29,30.68
297,"{1: [1115, 651, 1142, 680]}","[1115, 651, 1142, 680]","[1115, 651, 1142, 680]","[1115, 651, 1142, 680]","(1128, 665)",1128,665,9,-63,63.64
298,"{1: [1121, 590, 1143, 612]}","[1121, 590, 1143, 612]","[1121, 590, 1143, 612]","[1121, 590, 1143, 612]","(1132, 601)",1132,601,4,-64,64.12
299,"{1: [1128, 531, 1150, 555], 2: [1125, 526, 1154, 560]}","[1128, 531, 1150, 555]","[1128, 531, 1150, 555]","[1128, 531, 1150, 555]","(1139, 543)",1139,543,7,-58,58.42
300,"{1: [1135, 495, 1150, 511]}","[1135, 495, 1150, 511]","[1135, 495, 1150, 511]","[1135, 495, 1150, 511]","(1142, 503)",1142,503,3,-40,40.11
301,{},,,"(1137, 458, 1155, 476)","(1146, 467)",1146,467,4,-36,36.22
302,{},,,"(1141, 424, 1159, 442)","(1150, 433)",1150,433,4,-34,34.23
303,{},,,"(1145, 394, 1162, 412)","(1153, 403)",1153,403,3,-30,30.15
304,"{1: [1147, 370, 1167, 390]}","[1147, 370, 1167, 390]","[1147, 370, 1167, 390]","[1147, 370, 1167, 390]","(1157, 380)",1157,380,4,-23,23.35
305,"{1: [1151, 354, 1170, 373]}","[1151, 354, 1170, 373]","[1151, 354, 1170, 373]","[1151, 354, 1170, 373]","(1160, 363)",1160,363,3,-17,17.26
306,"{1: [1151, 334, 1175, 359]}","[1151, 334, 1175, 359]","[1151, 334, 1175, 359]","[1151, 334, 1175, 359]","(1163, 346)",1163,346,3,-17,17.26
307,"{1: [1156, 329, 1170, 344]}","[1156, 329, 1170, 344]","[1156, 329, 1170, 344]","[1156, 329, 1170, 344]","(1163, 336)",1163,336,0,-10,10.0
308,"{1: [1157, 313, 1179, 337], 2: [1152, 311, 1181, 341]}","[1152, 311, 1181, 341]","[1152, 311, 1181, 341]","[1152, 311, 1181, 341]","(1166, 326)",1166,326,3,-10,10.44
309,"{1: [1157, 308, 1177, 329]}","[1157, 308, 1177, 329]","[1157, 308, 1177, 329]","[1157, 308, 1177, 329]","(1167, 318)",1167,318,1,-8,8.06
310,"{1: [1159, 305, 1177, 324]}","[1159, 305, 1177, 324]","[1159, 305, 1177, 324]","[1159, 305, 1177, 324]","(1168, 314)",1168,314,1,-4,4.12
311,"{1: [1161, 301, 1182, 321], 2: [1158, 292, 1189, 328]}","[1161, 301, 1182, 321]","[1161, 301, 1182, 321]","[1161, 301, 1182, 321]","(1171, 311)",1171,311,3,-3,4.24
312,"{1: [1160, 294, 1189, 326], 2: [1162, 299, 1186, 323]}","[1162, 299, 1186, 323]","[1162, 299, 1186, 323]","[1162, 299, 1186, 323]","(1174, 311)",1174,311,3,0,3.0
313,"{1: [1161, 295, 1189, 325], 2: [1162, 299, 1186, 323]}","[1162, 299, 1186, 323]","[1162, 299, 1186, 323]","[1162, 299, 1186, 323]","(1174, 311)",1174,311,0,0,0.0
314,"{1: [1162, 297, 1189, 327]}","[1162, 297, 1189, 327]","[1162, 297, 1189, 327]","[1162, 297, 1189, 327]","(1175, 312)",1175,312,1,1,1.41
315,"{1: [1162, 300, 1189, 331]}","[1162, 300, 1189, 331]","[1162, 300, 1189, 331]","[1162, 300, 1189, 331]","(1175, 315)",1175,315,0,3,3.0
316,"{1: [1163, 305, 1190, 335]}","[1163, 305, 1190, 335]","[1163, 305, 1190, 335]","[1163, 305, 1190, 335]","(1176, 320)",1176,320,1,5,5.1
317,"{1: [1163, 313, 1189, 339], 2: [1162, 309, 1191, 349]}","[1163, 313, 1189, 339]","[1163, 313, 1189, 339]","[1163, 313, 1189, 339]","(1176, 326)",1176,326,0,6,6.0
318,"{1: [1167, 318, 1189, 340]}","[1167, 318, 1189, 340]","[1167, 318, 1189, 340]","[1167, 318, 1189, 340]","(1178, 329)",1178,329,2,3,3.61
319,"{1: [1166, 298, 1190, 324]}","[1166, 298, 1190, 324]","[1166, 298, 1190, 324]","[1166, 298, 1190, 324]","(1178, 311)",1178,311,0,-18,18.0
320,{},,,"(1166, 279, 1190, 305)","(1178, 292)",1178,292,0,-19,19.0
321,"{1: [1167, 266, 1191, 291]}","[1167, 266, 1191, 291]","[1167, 266, 1191, 291]","[1167, 266, 1191, 291]","(1179, 278)",1179,278,1,-14,14.04
322,"{1: [1167, 251, 1189, 274]}","[1167, 251, 1189, 274]","[1167, 251, 1189, 274]","[1167, 251, 1189, 274]","(1178, 262)",1178,262,-1,-16,16.03
323,"{1: [1166, 237, 1191, 267]}","[1166, 237, 1191, 267]","[1166, 237, 1191, 267]","[1166, 237, 1191, 267]","(1178, 252)",1178,252,0,-10,10.0
324,"{1: [1168, 229, 1190, 251]}","[1168, 229, 1190, 251]","[1168, 229, 1190, 251]","[1168, 229, 1190, 251]","(1179, 240)",1179,240,1,-12,12.04
325,{},,,"(1167, 218, 1190, 241)","(1178, 229)",1178,229,-1,-11,11.05
326,"{1: [1168, 210, 1191, 234]}","[1168, 210, 1191, 234]","[1168, 210, 1191, 234]","[1168, 210, 1191, 234]","(1179, 222)",1179,222,1,-7,7.07
327,"{1: [1168, 205, 1191, 228]}","[1168, 205, 1191, 228]","[1168, 205, 1191, 228]","[1168, 205, 1191, 228]","(1179, 216)",1179,216,0,-6,6.0
328,"{1: [848, 731, 866, 750]}","[848, 731, 866, 750]",,"(1157, 209, 1176, 229)","(1166, 219)",1166,219,-13,3,13.34
329,{},,,"(1146, 213, 1164, 233)","(1155, 223)",1155,223,-11,4,11.7
330,{},,,"(1135, 216, 1153, 236)","(1144, 226)",1144,226,-11,3,11.4
331,{},,,"(1125, 219, 1143, 239)","(1134, 229)",1134,229,-10,3,10.44
332,{},,,"(1115, 222, 1134, 242)","(1124, 232)",1124,232,-10,3,10.44
333,"{1: [1111, 227, 1125, 244]}","[1111, 227, 1125, 244]","[1111, 227, 1125, 244]","[1111, 227, 1125, 244]","(1118, 235)",1118,235,-6,3,6.71
334,"{1: [1091, 231, 1118, 260]}","[1091, 231, 1118, 260]","[1091, 231, 1118, 260]","[1091, 231, 1118, 260]","(1104, 245)",1104,245,-14,10,17.2
335,"{1: [1076, 250, 1095, 269]}","[1076, 250, 1095, 269]","[1076, 250, 1095, 269]","[1076, 250, 1095, 269]","(1085, 259)",1085,259,-19,14,23.6
336,"{1: [1060, 260, 1077, 279]}","[1060, 260, 1077, 279]","[1060, 260, 1077, 279]","[1060, 260, 1077, 279]","(1068, 269)",1068,269,-17,10,19.72
337,"{1: [1039, 269, 1069, 296]}","[1039, 269, 1069, 296]","[1039, 269, 1069, 296]","[1039, 269, 1069, 296]","(1054, 282)",1054,282,-14,13,19.1
338,{},,,"(1018, 291, 1044, 315)","(1031, 303)",1031,303,-23,21,31.14
339,"{1: [1004, 309, 1026, 331]}","[1004, 309, 1026, 331]","[1004, 309, 1026, 331]","[1004, 309, 1026, 331]","(1015, 320)",1015,320,-16,17,23.35
340,"{1: [989, 331, 1004, 347]}","[989, 331, 1004, 347]","[989, 331, 1004, 347]","[989, 331, 1004, 347]","(996, 339)",996,339,-19,19,26.87
341,"{1: [967, 342, 997, 370]}","[967, 342, 997, 370]","[967, 342, 997, 370]","[967, 342, 997, 370]","(982, 356)",982,356,-14,17,22.02
342,{},,,"(945, 378, 968, 401)","(956, 389)",956,389,-26,33,42.01
343,{},,,"(921, 410, 944, 433)","(932, 421)",932,421,-24,32,40.0
344,{},,,"(898, 440, 922, 463)","(910, 451)",910,451,-22,30,37.2
345,{},,,"(878, 467, 902, 490)","(890, 478)",890,478,-20,27,33.6
346,"{1: [867, 492, 884, 509]}","[867, 492, 884, 509]","[867, 492, 884, 509]","[867, 492, 884, 509]","(875, 500)",875,500,-15,22,26.63
347,"{1: [842, 524, 861, 545]}","[842, 524, 861, 545]","[842, 524, 861, 545]","[842, 524, 861, 545]","(851, 534)",851,534,-24,34,41.62
348,"{1: [822, 563, 837, 579]}","[822, 563, 837, 579]","[822, 563, 837, 579]","[822, 563, 837, 579]","(829, 571)",829,571,-22,37,43.05
349,"{1: [800, 592, 816, 609]}","[800, 592, 816, 609]","[800, 592, 816, 609]","[800, 592, 816, 609]","(808, 600)",808,600,-21,29,35.81
350,"{1: [778, 592, 801, 616], 2: [775, 585, 805, 620]}","[775, 585, 805, 620]","[775, 585, 805, 620]","[775, 585, 805, 620]","(790, 602)",790,602,-18,2,18.11
351,"{1: [758, 593, 782, 620]}","[758, 593, 782, 620]","[758, 593, 782, 620]","[758, 593, 782, 620]","(770, 606)",770,606,-20,4,20.4
352,"{1: [737, 597, 762, 624]}","[737, 597, 762, 624]","[737, 597, 762, 624]","[737, 597, 762, 624]","(749, 610)",749,610,-21,4,21.38
353,"{1: [725, 610, 739, 627]}","[725, 610, 739, 627]","[725, 610, 739, 627]","[725, 610, 739, 627]","(732, 618)",732,618,-17,8,18.79
354,{},,,"(699, 623, 714, 640)","(706, 631)",706,631,-26,13,29.07
355,"{1: [679, 634, 695, 652]}","[679, 634, 695, 652]","[679, 634, 695, 652]","[679, 634, 695, 652]","(687, 643)",687,643,-19,12,22.47
356,"{1: [655, 644, 678, 669], 2: [651, 635, 685, 673]}","[655, 644, 678, 669]","[655, 644, 678, 669]","[655, 644, 678, 669]","(666, 656)",666,656,-21,13,24.7
357,"{1: [632, 654, 661, 685], 2: [634, 660, 656, 682]}","[634, 660, 656, 682]","[634, 660, 656, 682]","[634, 660, 656, 682]","(645, 671)",645,671,-21,15,25.81
358,"{1: [609, 677, 636, 703]}","[609, 677, 636, 703]","[609, 677, 636, 703]","[609, 677, 636, 703]","(622, 690)",622,690,-23,19,29.83
359,{},,,"(586, 707, 607, 729)","(596, 718)",596,718,-26,28,38.21
360,{},,,"(562, 735, 583, 757)","(572, 746)",572,746,-24,28,36.88
361,{},,,"(540, 761, 561, 783)","(550, 772)",550,772,-22,26,34.06
362,{},,,"(520, 784, 541, 806)","(530, 795)",530,795,-20,23,30.48
363,"{1: [508, 804, 523, 822]}","[508, 804, 523, 822]","[508, 804, 523, 822]","[508, 804, 523, 822]","(515, 813)",515,813,-15,18,23.43
364,{},,,"(563, 737, 587, 763)","(575, 750)",575,750,60,-63,87.0
365,"{1: [606, 692, 633, 720], 2: [606, 685, 638, 719]}","[606, 685, 638, 719]","[606, 685, 638, 719]","[606, 685, 638, 719]","(622, 702)",622,702,47,-48,67.18
366,"{1: [649, 649, 671, 674], 2: [646, 646, 676, 678]}","[646, 646, 676, 678]","[646, 646, 676, 678]","[646, 646, 676, 678]","(661, 662)",661,662,39,-40,55.87
367,"{1: [697, 602, 718, 626]}","[697, 602, 718, 626]","[697, 602, 718, 626]","[697, 602, 718, 626]","(707, 614)",707,614,46,-48,66.48
368,"{1: [723, 574, 747, 598]}","[723, 574, 747, 598]","[723, 574, 747, 598]","[723, 574, 747, 598]","(735, 586)",735,586,28,-28,39.6
369,"{1: [756, 538, 781, 565]}","[756, 538, 781, 565]","[756, 538, 781, 565]","[756, 538, 781, 565]","(768, 551)",768,551,33,-35,48.1
370,"{1: [788, 515, 806, 535]}","[788, 515, 806, 535]","[788, 515, 806, 535]","[788, 515, 806, 535]","(797, 525)",797,525,29,-26,38.95
371,"{1: [816, 490, 833, 509]}","[816, 490, 833, 509]","[816, 490, 833, 509]","[816, 490, 833, 509]","(824, 499)",824,499,27,-26,37.48
372,{},,,"(834, 471, 856, 493)","(845, 482)",845,482,21,-17,27.02
373,{},,,"(856, 454, 878, 477)","(867, 465)",867,465,22,-17,27.8
374,{},,,"(877, 438, 899, 461)","(888, 449)",888,449,21,-16,26.4
375,{},,,"(897, 423, 919, 445)","(908, 434)",908,434,20,-15,25.0
376,{},,,"(916, 408, 938, 430)","(927, 419)",927,419,19,-15,24.21
377,{},,,"(935, 393, 957, 416)","(946, 404)",946,404,19,-15,24.21
378,{},,,"(953, 379, 975, 402)","(964, 390)",964,390,18,-14,22.8
379,{},,,"(970, 367, 992, 389)","(981, 378)",981,378,17,-12,20.81
380,{},,,"(985, 355, 1007, 378)","(996, 366)",996,366,15,-12,19.21
381,"{1: [995, 345, 1022, 371]}","[995, 345, 1022, 371]","[995, 345, 1022, 371]","[995, 345, 1022, 371]","(1008, 358)",1008,358,12,-8,14.42
382,"{1: [1014, 346, 1028, 363]}","[1014, 346, 1028, 363]","[1014, 346, 1028, 363]","[1014, 346, 1028, 363]","(1021, 354)",1021,354,13,-4,13.6
383,"{1: [1019, 338, 1045, 363]}","[1019, 338, 1045, 363]","[1019, 338, 1045, 363]","[1019, 338, 1045, 363]","(1032, 350)",1032,350,11,-4,11.7
384,"{1: [1028, 334, 1052, 359]}","[1028, 334, 1052, 359]","[1028, 334, 1052, 359]","[1028, 334, 1052, 359]","(1040, 346)",1040,346,8,-4,8.94
385,"{1: [1039, 333, 1062, 357]}","[1039, 333, 1062, 357]","[1039, 333, 1062, 357]","[1039, 333, 1062, 357]","(1050, 345)",1050,345,10,-1,10.05
386,"{1: [1048, 332, 1071, 356]}","[1048, 332, 1071, 356]","[1048, 332, 1071, 356]","[1048, 332, 1071, 356]","(1059, 344)",1059,344,9,-1,9.06
387,"{1: [1059, 333, 1078, 353]}","[1059, 333, 1078, 353]","[1059, 333, 1078, 353]","[1059, 333, 1078, 353]","(1068, 343)",1068,343,9,-1,9.06
388,"{1: [1065, 327, 1093, 359]}","[1065, 327, 1093, 359]","[1065, 327, 1093, 359]","[1065, 327, 1093, 359]","(1079, 343)",1079,343,11,0,11.0
389,"{1: [1074, 333, 1097, 357]}","[1074, 333, 1097, 357]","[1074, 333, 1097, 357]","[1074, 333, 1097, 357]","(1085, 345)",1085,345,6,2,6.32
390,"{1: [1081, 334, 1105, 360]}","[1081, 334, 1105, 360]","[1081, 334, 1105, 360]","[1081, 334, 1105, 360]","(1093, 347)",1093,347,8,2,8.25
391,"{1: [1086, 338, 1117, 366], 2: [1089, 338, 1112, 363]}","[1089, 338, 1112, 363]","[1089, 338, 1112, 363]","[1089, 338, 1112, 363]","(1100, 350)",1100,350,7,3,7.62
392,"{1: [1093, 327, 1118, 354]}","[1093, 327, 1118, 354]","[1093, 327, 1118, 354]","[1093, 327, 1118, 354]","(1105, 340)",1105,340,5,-10,11.18
393,"{1: [1099, 321, 1118, 340], 2: [703, 707, 720, 725]}","[1099, 321, 1118, 340]","[1099, 321, 1118, 340]","[1099, 321, 1118, 340]","(1108, 330)",1108,330,3,-10,10.44
394,"{1: [1103, 308, 1122, 329]}","[1103, 308, 1122, 329]","[1103, 308, 1122, 329]","[1103, 308, 1122, 329]","(1112, 318)",1112,318,4,-12,12.65
