frame,multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,centre_point,x,y,x_diff,y_diff,velocity
55,{},,,"(1102, 375, 1118, 393)","(1110, 384)",1110,384,19,-2,19.1
56,{},,,"(1119, 374, 1135, 392)","(1127, 383)",1127,383,17,-1,17.03
57,"{1: [1134, 374, 1149, 390]}","[1134, 374, 1149, 390]","[1134, 374, 1149, 390]","[1134, 374, 1149, 390]","(1141, 382)",1141,382,14,-1,14.04
58,"{1: [1142, 349, 1167, 375]}","[1142, 349, 1167, 375]","[1142, 349, 1167, 375]","[1142, 349, 1167, 375]","(1154, 362)",1154,362,13,-20,23.85
59,"{1: [1154, 334, 1177, 358]}","[1154, 334, 1177, 358]","[1154, 334, 1177, 358]","[1154, 334, 1177, 358]","(1165, 346)",1165,346,11,-16,19.42
60,"{1: [1166, 319, 1189, 341]}","[1166, 319, 1189, 341]","[1166, 319, 1189, 341]","[1166, 319, 1189, 341]","(1177, 330)",1177,330,12,-16,20.0
61,"{1: [1178, 308, 1195, 328]}","[1178, 308, 1195, 328]","[1178, 308, 1195, 328]","[1178, 308, 1195, 328]","(1186, 318)",1186,318,9,-12,15.0
62,"{1: [1184, 297, 1204, 318]}","[1184, 297, 1204, 318]","[1184, 297, 1204, 318]","[1184, 297, 1204, 318]","(1194, 307)",1194,307,8,-11,13.6
63,{},,,"(1184, 292, 1202, 311)","(1193, 301)",1193,301,-1,-6,6.08
64,{},,,"(1184, 286, 1201, 306)","(1192, 296)",1192,296,-1,-5,5.1
65,{},,,"(1183, 281, 1201, 301)","(1192, 291)",1192,291,0,-5,5.0
66,{},,,"(1183, 277, 1200, 296)","(1191, 286)",1191,286,-1,-5,5.1
67,{},,,"(1182, 272, 1200, 291)","(1191, 281)",1191,281,0,-5,5.0
68,{},,,"(1182, 267, 1200, 286)","(1191, 276)",1191,276,0,-5,5.0
69,{},,,"(1182, 262, 1199, 282)","(1190, 272)",1190,272,-1,-4,4.12
70,{},,,"(1181, 258, 1199, 277)","(1190, 267)",1190,267,0,-5,5.0
71,{},,,"(1181, 253, 1198, 273)","(1189, 263)",1189,263,-1,-4,4.12
72,{},,,"(1180, 249, 1198, 269)","(1189, 259)",1189,259,0,-4,4.0
73,{},,,"(1180, 245, 1197, 265)","(1188, 255)",1188,255,-1,-4,4.12
74,{},,,"(1180, 241, 1197, 261)","(1188, 251)",1188,251,0,-4,4.0
75,{},,,"(1179, 238, 1197, 257)","(1188, 247)",1188,247,0,-4,4.0
76,{},,,"(1179, 234, 1196, 254)","(1187, 244)",1187,244,-1,-3,3.16
77,"{1: [1181, 233, 1196, 251]}","[1181, 233, 1196, 251]","[1181, 233, 1196, 251]","[1181, 233, 1196, 251]","(1188, 242)",1188,242,1,-2,2.24
78,"{1: [1178, 211, 1196, 231]}","[1178, 211, 1196, 231]","[1178, 211, 1196, 231]","[1178, 211, 1196, 231]","(1187, 221)",1187,221,-1,-21,21.02
79,"{1: [1182, 205, 1197, 222]}","[1182, 205, 1197, 222]","[1182, 205, 1197, 222]","[1182, 205, 1197, 222]","(1189, 213)",1189,213,2,-8,8.25
80,"{1: [1178, 261, 1203, 289]}","[1178, 261, 1203, 289]","[1178, 261, 1203, 289]","[1178, 261, 1203, 289]","(1190, 275)",1190,275,1,62,62.01
81,"{1: [1166, 266, 1190, 291]}","[1166, 266, 1190, 291]","[1166, 266, 1190, 291]","[1166, 266, 1190, 291]","(1178, 278)",1178,278,-12,3,12.37
82,"{1: [1158, 272, 1173, 291]}","[1158, 272, 1173, 291]","[1158, 272, 1173, 291]","[1158, 272, 1173, 291]","(1165, 281)",1165,281,-13,3,13.34
83,{},,,"(1137, 276, 1158, 298)","(1147, 287)",1147,287,-18,6,18.97
84,{},,,"(1121, 282, 1141, 305)","(1131, 293)",1131,293,-16,6,17.09
