frame_num,near_player_serve_speed,near_player_number_of_shots,near_player_last_shot_speed,near_player_total_shot_speed,near_player_number_of_net_clearances,near_player_last_net_clearance,near_player_total_net_clearance,near_player_last_distance,near_player_total_distance,far_player_serve_speed,far_player_number_of_shots,far_player_last_shot_speed,far_player_total_shot_speed,far_player_number_of_net_clearances,far_player_last_net_clearance,far_player_total_net_clearance,far_player_last_distance,far_player_total_distance
39,0.0,1,102.54,102.54,0,0.0,0.0,0.12,1.67,142.56,0,0.0,0.0,0,0.0,0.0,0.09,7.95
40,0.0,1,102.54,102.54,0,0.0,0.0,0.08,1.75,142.56,0,0.0,0.0,0,0.0,0.0,0.14,8.09
41,0.0,1,102.54,102.54,0,0.0,0.0,0.19,1.94,142.56,0,0.0,0.0,0,0.0,0.0,0.21,8.3
42,0.0,1,102.54,102.54,0,0.0,0.0,0.24,2.18,142.56,0,0.0,0.0,0,0.0,0.0,0.11,8.41
43,0.0,1,102.54,102.54,0,0.0,0.0,0.12,2.3,142.56,0,0.0,0.0,0,0.0,0.0,0.11,8.52
44,0.0,1,102.54,102.54,0,0.0,0.0,0.06,2.36,142.56,0,0.0,0.0,0,0.0,0.0,0.14,8.66
45,0.0,1,102.54,102.54,0,0.0,0.0,0.06,2.42,142.56,0,0.0,0.0,0,0.0,0.0,0.08,8.74
46,0.0,1,102.54,102.54,0,0.0,0.0,0.0,2.42,142.56,0,0.0,0.0,0,0.0,0.0,0.04,8.78
47,0.0,1,102.54,102.54,0,0.0,0.0,0.0,2.42,142.56,0,0.0,0.0,0,0.0,0.0,0.0,8.78
48,0.0,1,102.54,102.54,0,0.0,0.0,0.0,2.42,142.56,0,0.0,0.0,0,0.0,0.0,0.0,8.78
49,0.0,1,102.54,102.54,0,0.0,0.0,0.04,2.46,142.56,0,0.0,0.0,0,0.0,0.0,0.12,8.9
50,0.0,1,102.54,102.54,0,0.0,0.0,0.04,2.5,142.56,0,0.0,0.0,0,0.0,0.0,0.14,9.04
51,0.0,1,102.54,102.54,1,0.95,0.95,0.06,2.56,142.56,0,0.0,0.0,0,0.0,0.0,0.19,9.23
52,0.0,1,102.54,102.54,1,0.95,0.95,0.06,2.62,142.56,0,0.0,0.0,0,0.0,0.0,0.19,9.42
53,0.0,1,102.54,102.54,1,0.95,0.95,0.04,2.66,142.56,0,0.0,0.0,0,0.0,0.0,0.17,9.59
54,0.0,1,102.54,102.54,1,0.95,0.95,0.09,2.75,142.56,0,0.0,0.0,0,0.0,0.0,0.08,9.67
55,0.0,1,102.54,102.54,1,0.95,0.95,0.09,2.84,142.56,0,0.0,0.0,0,0.0,0.0,0.17,9.84
56,0.0,1,102.54,102.54,1,0.95,0.95,0.06,2.9,142.56,0,0.0,0.0,0,0.0,0.0,0.25,10.09
57,0.0,1,102.54,102.54,1,0.95,0.95,0.04,2.94,142.56,0,0.0,0.0,0,0.0,0.0,0.19,10.28
58,0.0,1,102.54,102.54,1,0.95,0.95,0.12,3.06,142.56,0,0.0,0.0,0,0.0,0.0,0.23,10.51
59,0.0,1,102.54,102.54,1,0.95,0.95,0.12,3.18,142.56,0,0.0,0.0,0,0.0,0.0,0.23,10.74
60,0.0,1,102.54,102.54,1,0.95,0.95,0.14,3.32,142.56,0,0.0,0.0,0,0.0,0.0,0.21,10.95
61,0.0,1,102.54,102.54,1,0.95,0.95,0.23,3.55,142.56,0,0.0,0.0,0,0.0,0.0,0.14,11.09
62,0.0,1,102.54,102.54,1,0.95,0.95,0.19,3.74,142.56,0,0.0,0.0,0,0.0,0.0,0.21,11.3
63,0.0,1,102.54,102.54,1,0.95,0.95,0.17,3.91,142.56,0,0.0,0.0,0,0.0,0.0,0.17,11.47
64,0.0,1,102.54,102.54,1,0.95,0.95,0.26,4.17,142.56,0,0.0,0.0,0,0.0,0.0,0.37,11.84
65,0.0,1,102.54,102.54,1,0.95,0.95,0.17,4.34,142.56,0,0.0,0.0,0,0.0,0.0,0.16,12.0
66,0.0,1,102.54,102.54,1,0.95,0.95,0.16,4.5,142.56,0,0.0,0.0,0,0.0,0.0,0.17,12.17
67,0.0,1,102.54,102.54,1,0.95,0.95,0.09,4.59,142.56,0,0.0,0.0,0,0.0,0.0,0.11,12.28
68,0.0,1,102.54,102.54,1,0.95,0.95,0.04,4.63,142.56,0,0.0,0.0,0,0.0,0.0,0.37,12.65
69,0.0,1,102.54,102.54,1,0.95,0.95,0.0,4.63,142.56,0,0.0,0.0,0,0.0,0.0,0.21,12.86
70,0.0,1,102.54,102.54,1,0.95,0.95,0.0,4.63,142.56,0,0.0,0.0,0,0.0,0.0,0.12,12.98
71,0.0,1,102.54,102.54,1,0.95,0.95,0.04,4.67,142.56,0,0.0,0.0,0,0.0,0.0,0.14,13.12
72,0.0,1,102.54,102.54,1,0.95,0.95,0.04,4.71,142.56,0,0.0,0.0,0,0.0,0.0,0.17,13.29
73,0.0,1,102.54,102.54,1,0.95,0.95,0.08,4.79,142.56,0,0.0,0.0,0,0.0,0.0,0.08,13.37
74,0.0,1,102.54,102.54,1,0.95,0.95,0.12,4.91,142.56,1,75.31,75.31,0,0.0,0.0,0.04,13.41
75,0.0,1,102.54,102.54,1,0.95,0.95,0.08,4.99,142.56,1,75.31,75.31,0,0.0,0.0,0.04,13.45
76,0.0,1,102.54,102.54,1,0.95,0.95,0.06,5.05,142.56,1,75.31,75.31,0,0.0,0.0,0.04,13.49
77,0.0,1,102.54,102.54,1,0.95,0.95,0.04,5.09,142.56,1,75.31,75.31,0,0.0,0.0,0.09,13.58
78,0.0,1,102.54,102.54,1,0.95,0.95,0.0,5.09,142.56,1,75.31,75.31,0,0.0,0.0,0.16,13.74
79,0.0,1,102.54,102.54,1,0.95,0.95,0.04,5.13,142.56,1,75.31,75.31,0,0.0,0.0,0.06,13.8
80,0.0,1,102.54,102.54,1,0.95,0.95,0.0,5.13,142.56,1,75.31,75.31,0,0.0,0.0,0.06,13.86
81,0.0,1,102.54,102.54,1,0.95,0.95,0.0,5.13,142.56,1,75.31,75.31,0,0.0,0.0,0.04,13.9
82,0.0,1,102.54,102.54,1,0.95,0.95,0.0,5.13,142.56,1,75.31,75.31,0,0.0,0.0,0.0,13.9
83,0.0,1,102.54,102.54,1,0.95,0.95,0.04,5.17,142.56,1,75.31,75.31,0,0.0,0.0,0.09,13.99
84,0.0,1,102.54,102.54,1,0.95,0.95,0.06,5.23,142.56,1,75.31,75.31,0,0.0,0.0,0.12,14.11
85,0.0,1,102.54,102.54,1,0.95,0.95,0.04,5.27,142.56,1,75.31,75.31,0,0.0,0.0,0.08,14.19
86,0.0,1,102.54,102.54,1,0.95,0.95,0.09,5.36,142.56,1,75.31,75.31,0,0.0,0.0,0.04,14.23
87,0.0,1,102.54,102.54,1,0.95,0.95,0.12,5.48,142.56,1,75.31,75.31,0,0.0,0.0,0.0,14.23
88,0.0,1,102.54,102.54,1,0.95,0.95,0.14,5.62,142.56,1,75.31,75.31,0,0.0,0.0,0.0,14.23
89,0.0,1,102.54,102.54,1,0.95,0.95,0.09,5.71,142.56,1,75.31,75.31,0,0.0,0.0,0.09,14.32
90,0.0,1,102.54,102.54,1,0.95,0.95,0.06,5.77,142.56,1,75.31,75.31,0,0.0,0.0,0.2,14.52
91,0.0,1,102.54,102.54,1,0.95,0.95,0.09,5.86,142.56,1,75.31,75.31,1,2.15,2.15,0.11,14.63
92,0.0,1,102.54,102.54,1,0.95,0.95,0.06,5.92,142.56,1,75.31,75.31,1,2.15,2.15,0.14,14.77
93,0.0,1,102.54,102.54,1,0.95,0.95,0.0,5.92,142.56,1,75.31,75.31,1,2.15,2.15,0.22,14.99
94,0.0,1,102.54,102.54,1,0.95,0.95,0.04,5.96,142.56,1,75.31,75.31,1,2.15,2.15,0.14,15.13
95,0.0,1,102.54,102.54,1,0.95,0.95,0.0,5.96,142.56,1,75.31,75.31,1,2.15,2.15,0.17,15.3
96,0.0,1,102.54,102.54,1,0.95,0.95,0.08,6.04,142.56,1,75.31,75.31,1,2.15,2.15,0.14,15.44
97,0.0,1,102.54,102.54,1,0.95,0.95,0.08,6.12,142.56,1,75.31,75.31,1,2.15,2.15,0.14,15.58
98,0.0,1,102.54,102.54,1,0.95,0.95,0.04,6.16,142.56,1,75.31,75.31,1,2.15,2.15,0.17,15.75
99,0.0,1,102.54,102.54,1,0.95,0.95,0.04,6.2,142.56,1,75.31,75.31,1,2.15,2.15,0.11,15.86
100,0.0,1,102.54,102.54,1,0.95,0.95,0.09,6.29,142.56,1,75.31,75.31,1,2.15,2.15,0.22,16.08
101,0.0,1,102.54,102.54,1,0.95,0.95,0.12,6.41,142.56,1,75.31,75.31,1,2.15,2.15,0.17,16.25
102,0.0,1,102.54,102.54,1,0.95,0.95,0.12,6.53,142.56,1,75.31,75.31,1,2.15,2.15,0.12,16.37
103,0.0,1,102.54,102.54,1,0.95,0.95,0.04,6.57,142.56,1,75.31,75.31,1,2.15,2.15,0.21,16.58
104,0.0,1,102.54,102.54,1,0.95,0.95,0.06,6.63,142.56,1,75.31,75.31,1,2.15,2.15,0.2,16.78
105,0.0,1,102.54,102.54,1,0.95,0.95,0.0,6.63,142.56,1,75.31,75.31,1,2.15,2.15,0.14,16.92
106,0.0,1,102.54,102.54,1,0.95,0.95,0.04,6.67,142.56,1,75.31,75.31,1,2.15,2.15,0.17,17.09
107,0.0,1,102.54,102.54,1,0.95,0.95,0.0,6.67,142.56,1,75.31,75.31,1,2.15,2.15,0.12,17.21
108,0.0,1,102.54,102.54,1,0.95,0.95,0.04,6.71,142.56,1,75.31,75.31,1,2.15,2.15,0.08,17.29
109,0.0,1,102.54,102.54,1,0.95,0.95,0.0,6.71,142.56,1,75.31,75.31,1,2.15,2.15,0.08,17.37
110,0.0,1,102.54,102.54,1,0.95,0.95,0.0,6.71,142.56,1,75.31,75.31,1,2.15,2.15,0.11,17.48
111,0.0,1,102.54,102.54,1,0.95,0.95,0.0,6.71,142.56,1,75.31,75.31,1,2.15,2.15,0.21,17.69
