Frame,Raw X,Raw Y,Interpolated X,Interpolated Y,Bounce,Hit
268,,,828,277,,
269,,,837,288,,
270,,,845,297,,
271,,,850,305,,
272,854,309,854,309,,
273,866,327,866,327,,
274,874,349,874,349,,
275,884,371,884,371,,
276,,,900,414,,
277,,,913,451,,
278,,,924,480,,
279,930,496,930,496,,
280,938,525,938,525,,
281,,,954,564,,
282,,,967,598,,
283,,,978,624,,
284,984,639,984,639,,
285,992,643,992,643,,
286,1004,647,1004,647,,
287,1013,657,1013,657,,
288,1026,667,1026,667,,
289,1035,682,1035,682,,
290,1048,697,1048,697,,
291,1060,718,1060,718,,
292,1073,741,1073,741,,
293,1083,765,1083,765,,
294,1098,796,1098,796,,
295,,,1111,752,,
296,1119,728,1119,728,,
297,1128,665,1128,665,,
298,1132,601,1132,601,,
299,1139,543,1139,543,,
300,1142,503,1142,503,,
301,,,1147,459,,
302,,,1151,423,,
303,,,1155,395,,
304,1157,380,1157,380,,
305,1160,364,1160,364,,
306,1163,346,1163,346,,
307,1163,337,1163,337,,
308,1168,325,1168,325,,
309,1167,319,1167,319,,
310,1168,315,1168,315,,
311,1172,311,1172,311,,
312,1175,310,1175,310,,
313,1175,310,1175,310,,
314,1176,312,1176,312,,
315,1176,315,1176,315,,
316,1176,320,1176,320,,
317,1176,326,1176,326,,
318,1178,329,1178,329,,
319,1178,311,1178,311,,
320,,,1178,289,,
321,1179,278,1179,278,,
322,1178,262,1178,262,,
323,1179,252,1179,252,,
324,1179,240,1179,240,,
325,,,1179,228,,
326,1179,222,1179,222,,
327,1179,216,1179,216,,
328,857,740,857,740,,
329,,,931,596,,
330,,,996,470,,
331,,,1051,363,,
332,,,1094,281,,
333,1118,236,1118,236,,
334,1104,245,1104,245,,
335,1085,259,1085,259,,
336,1069,269,1069,269,,
337,1054,282,1054,282,,
338,,,1028,306,,
339,1015,320,1015,320,,
340,997,339,997,339,,
341,982,356,982,356,,
342,,,951,397,,
343,,,925,433,,
344,,,902,464,,
345,,,885,488,,
346,876,501,876,501,,
347,852,534,852,534,,
348,830,571,830,571,,
349,808,600,808,600,,
350,789,604,789,604,,
351,770,607,770,607,,
352,749,611,749,611,,
353,732,619,732,619,,
354,,,702,634,,
355,687,643,687,643,,
356,666,657,666,657,,
357,646,670,646,670,,
358,623,690,623,690,,
359,,,592,724,,
360,,,565,755,,
361,,,542,781,,
362,,,524,801,,
363,515,813,515,813,,
364,,,582,743,,
365,620,706,620,706,,
366,660,662,660,662,,
367,708,614,708,614,,
368,735,586,735,586,,
369,769,552,769,552,,
370,797,525,797,525,,
371,824,499,824,499,,
372,,,850,478,,
373,,,876,458,,
374,,,900,440,,
375,,,922,423,,
376,,,942,407,,
377,,,961,393,,
378,,,977,381,,
379,,,991,370,,
380,,,1002,362,,
381,1008,358,1008,358,,
382,1021,354,1021,354,,
383,1032,351,1032,351,,
384,1040,346,1040,346,,
385,1051,345,1051,345,,
386,1060,344,1060,344,,
387,1069,343,1069,343,,
388,1079,343,1079,343,,
389,1085,345,1085,345,,
390,1093,347,1093,347,,
391,1102,352,1102,352,,
392,1105,340,1105,340,,
393,1108,330,1108,330,,
394,1112,319,1112,319,,
395,1116,309,1116,309,,
396,,,1036,406,,
397,,,964,494,,
398,,,900,572,,
399,,,847,637,,
400,,,805,688,,
401,783,716,783,716,,
402,,,845,601,,
403,,,901,497,,
404,,,951,406,,
405,,,993,329,,
406,,,1026,269,,
407,1044,237,1044,237,,
408,,,1036,251,,
409,,,1029,264,,
410,,,1022,276,,
411,,,1017,287,,
412,,,1012,296,,
413,,,1008,303,,
414,1007,307,1007,307,,
415,994,316,994,316,,
416,984,325,984,325,,
417,970,334,970,334,,
418,959,342,959,342,,
419,944,359,944,359,,
420,932,371,932,371,,
421,923,384,923,384,,
422,,,904,412,,
423,,,887,438,,
424,,,873,459,,
425,,,862,475,,
426,857,485,857,485,,
427,846,507,846,507,,
428,833,532,833,532,,
429,822,561,822,561,,
430,809,590,809,590,,
431,797,619,797,619,,
432,783,657,783,657,,
433,,,769,677,,
434,,,758,696,,
435,,,748,711,,
436,,,741,723,,
437,737,730,737,730,,
438,730,733,730,733,,
439,723,738,723,738,,
440,715,743,715,743,,
441,706,750,706,750,,
442,700,764,700,764,,
443,694,777,694,777,,
444,688,791,688,791,,
445,697,743,697,743,,
446,705,696,705,696,,
447,849,724,849,724,,
448,723,598,723,598,,
449,730,560,730,560,,
450,736,524,736,524,,
451,742,497,742,497,,
452,,,745,465,,
453,,,748,438,,
454,,,750,414,,
455,,,752,396,,
456,754,387,754,387,,
457,756,373,756,373,,
458,755,361,755,361,,
459,757,348,757,348,,
460,755,340,755,340,,
461,757,331,757,331,,
462,756,325,756,325,,
463,755,319,755,319,,
464,754,317,754,317,,
465,754,315,754,315,,
466,753,313,753,313,,
467,752,311,752,311,,
468,749,311,749,311,,
469,748,310,748,310,,
470,746,311,746,311,,
471,746,313,746,313,,
472,744,316,744,316,,
473,743,318,743,318,,
474,739,323,739,323,,
475,736,318,736,318,,
476,734,307,734,307,,
477,,,728,293,,
478,,,725,282,,
479,723,277,723,277,,
480,721,267,721,267,,
481,716,261,716,261,,
482,713,257,713,257,,
483,709,252,709,252,,
484,712,249,712,249,,
485,699,252,699,252,,
486,692,256,692,256,,
487,685,262,685,262,,
488,676,269,676,269,,
489,,,665,286,,
490,,,655,301,,
491,,,648,313,,
492,645,320,645,320,,
493,635,338,635,338,,
494,628,357,628,357,,
495,,,615,408,,
496,,,602,455,,
497,,,591,500,,
498,,,581,541,,
499,,,571,578,,
500,,,563,611,,
501,,,556,639,,
502,,,550,660,,
503,548,672,548,672,,
504,540,677,540,677,,
505,534,679,534,679,,
506,530,682,530,682,,
507,520,691,520,691,,
508,,,510,708,,
509,,,502,723,,
510,,,496,734,,
511,493,741,493,741,,
512,486,764,486,764,,
513,476,786,476,786,,
514,470,810,470,810,,
515,459,850,459,850,,
516,457,870,457,870,,
517,,,497,766,,
518,519,710,519,710,,
519,541,657,541,657,,
520,568,596,568,596,,
521,588,552,588,552,,
522,609,508,609,508,,
523,,,630,471,,
524,,,650,439,,
525,,,666,412,,
526,,,679,391,,
527,686,380,686,380,,
528,697,365,697,365,,
529,710,353,710,353,,
530,721,342,721,342,,
531,731,333,731,333,,
532,740,325,740,325,,
533,748,322,748,322,,
534,756,318,756,318,,
535,765,318,765,318,,
536,772,317,772,317,,
537,779,317,779,317,,
538,788,319,788,319,,
539,793,320,793,320,,
540,798,324,798,324,,
541,806,329,806,329,,
542,812,333,812,333,,
543,814,320,814,320,,
544,818,306,818,306,,
545,,,819,285,,
546,821,275,821,275,,
547,823,265,823,265,,
548,828,253,828,253,,
549,828,244,828,244,,
550,830,237,830,237,,
551,833,233,833,233,,
552,828,234,828,234,,
553,817,238,817,238,,
554,803,245,803,245,,
555,792,255,792,255,,
556,778,267,778,267,,
557,768,278,768,278,,
558,,,747,299,,
559,737,311,737,311,,
