multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,frame,centre_point,x,y,x_diff,y_diff,velocity,velocity_vector,y_rolling_mean,y_rolling_mean_delta,velocity_vector_delta,velocity_rolling_mean,acceleration
"{1: [564, 573, 591, 607]}","{1: [564, 573, 591, 607]}","{1: [564, 573, 591, 607]}","{1: [564.0, 573.0, 591.0, 607.0]}",31,"(577, 590)",577,590,-19,2,19.1,19.1,585.6,17.8,48.71,36.8,-5.04
{},{},{},"{1: [531.0, 573.0, 558.0, 603.0]}",32,"(544, 588)",544,588,-33,-2,33.06,-33.06,592.0,6.4,-52.16,30.8,-19.14
"{1: [507, 574, 533, 601]}","{1: [507, 574, 533, 601]}","{1: [507, 574, 533, 601]}","{1: [507.0, 574.0, 533.0, 601.0]}",33,"(520, 587)",520,587,-24,-1,24.02,-24.02,589.4,-2.6,9.04,25.7,-14.73
"{1: [489, 581, 507, 602]}","{1: [489, 581, 507, 602]}","{1: [489, 581, 507, 602]}","{1: [489.0, 581.0, 507.0, 602.0]}",34,"(498, 591)",498,591,-22,4,22.36,22.36,588.8,-0.6,46.38,25.6,9.03
"{1: [462, 590, 477, 606]}","{1: [462, 590, 477, 606]}","{1: [462, 590, 477, 606]}","{1: [462.0, 590.0, 477.0, 606.0]}",35,"(469, 598)",469,598,-29,7,29.83,29.83,590.8,2.0,7.47,25.7,11.89
"{1: [434, 596, 452, 617]}","{1: [434, 596, 452, 617]}","{1: [434, 596, 452, 617]}","{1: [434.0, 596.0, 452.0, 617.0]}",36,"(443, 606)",443,606,-26,8,27.2,27.2,594.0,3.2,-2.63,27.3,1.62
"{1: [414, 610, 428, 627]}","{1: [414, 610, 428, 627]}","{1: [414, 610, 428, 627]}","{1: [414.0, 610.0, 428.0, 627.0]}",37,"(421, 618)",421,618,-22,12,25.06,25.06,600.0,6.0,-2.14,25.7,11.62
{},{},{},"{1: [487.0, 566.0, 505.0, 587.0]}",38,"(496, 576)",496,576,75,-42,85.96,-85.96,597.8,-2.2,-111.02,38.1,-12.39
{},{},{},"{1: [554.0, 529.0, 572.0, 550.0]}",39,"(563, 539)",563,539,67,-37,76.54,-76.54,587.4,-10.4,9.42,48.9,-19.78
"{1: [605, 500, 627, 525]}","{1: [605, 500, 627, 525]}","{1: [605, 500, 627, 525]}","{1: [605.0, 500.0, 627.0, 525.0]}",40,"(616, 512)",616,512,53,-27,59.48,-59.48,570.2,-17.2,17.06,54.8,-17.86
"{1: [649, 480, 672, 506], 2: [646, 478, 676, 509]}","{1: [646, 478, 676, 509]}","{1: [646, 478, 676, 509]}","{1: [646.0, 478.0, 676.0, 509.0]}",41,"(661, 493)",661,493,45,-19,48.85,-48.85,547.6,-22.6,10.63,59.2,-15.21
{},{},{},"{1: [692.0, 467.0, 716.0, 492.0]}",42,"(704, 479)",704,479,43,-14,45.22,-45.22,519.8,-27.8,3.63,63.2,-14.06
{},{},{},"{1: [734.0, 454.0, 758.0, 480.0]}",43,"(746, 467)",746,467,42,-12,43.68,-43.68,498.0,-21.8,1.54,54.8,8.46
