multi_ball_position,single_ball_position,clean_ball_position,complete_ball_position,frame,centre_point,x,y,x_diff,y_diff,velocity,velocity_vector,y_rolling_mean,y_rolling_mean_delta,velocity_vector_delta,velocity_rolling_mean,acceleration
"{1: [743, 363, 765, 387]}","{1: [743, 363, 765, 387]}","{1: [743, 363, 765, 387]}","{1: [743.0, 363.0, 765.0, 387.0]}",125,"(754, 375)",754,375,7,-22,23.09,-23.09,431.2,-34.2,7.96,35.5,7.61
"{1: [752, 345, 767, 363]}","{1: [752, 345, 767, 363]}","{1: [752, 345, 767, 363]}","{1: [752.0, 345.0, 767.0, 363.0]}",126,"(759, 354)",759,354,5,-21,21.59,-21.59,402.6,-28.6,1.5,29.7,5.87
"{1: [753, 330, 776, 354], 2: [750, 322, 781, 357]}","{1: [753, 330, 776, 354]}","{1: [753, 330, 776, 354]}","{1: [753.0, 330.0, 776.0, 354.0]}",127,"(764, 342)",764,342,5,-12,13.0,-13.0,379.0,-23.6,8.59,24.6,5.02
"{1: [759, 318, 781, 340]}","{1: [759, 318, 781, 340]}","{1: [759, 318, 781, 340]}","{1: [759.0, 318.0, 781.0, 340.0]}",128,"(770, 329)",770,329,6,-13,14.32,-14.32,359.4,-19.6,-1.32,20.6,4.03
"{1: [759, 308, 783, 333]}","{1: [759, 308, 783, 333]}","{1: [759, 308, 783, 333]}","{1: [759.0, 308.0, 783.0, 333.0]}",129,"(771, 320)",771,320,1,-9,9.06,-9.06,344.0,-15.4,5.26,16.2,4.4
"{1: [765, 307, 784, 327]}","{1: [765, 307, 784, 327]}","{1: [765, 307, 784, 327]}","{1: [765.0, 307.0, 784.0, 327.0]}",130,"(774, 317)",774,317,3,-3,4.24,-4.24,332.4,-11.6,4.82,12.4,3.77
"{1: [770, 306, 785, 323]}","{1: [770, 306, 785, 323]}","{1: [770, 306, 785, 323]}","{1: [770.0, 306.0, 785.0, 323.0]}",131,"(777, 314)",777,314,3,-3,4.24,-4.24,324.4,-8.0,0.0,9.0,3.47
"{1: [772, 305, 786, 321]}","{1: [772, 305, 786, 321]}","{1: [772, 305, 786, 321]}","{1: [772.0, 305.0, 786.0, 321.0]}",132,"(779, 313)",779,313,2,-1,2.24,-2.24,318.6,-5.8,2.0,6.8,2.15
"{1: [773, 305, 787, 320]}","{1: [773, 305, 787, 320]}","{1: [773, 305, 787, 320]}","{1: [773.0, 305.0, 787.0, 320.0]}",133,"(780, 312)",780,312,1,-1,1.41,-1.41,315.2,-3.4,0.83,4.2,2.58
"{1: [772, 305, 788, 322]}","{1: [772, 305, 788, 322]}","{1: [772, 305, 788, 322]}","{1: [772.0, 305.0, 788.0, 322.0]}",134,"(780, 313)",780,313,0,1,1.0,1.0,313.8,-1.4,2.41,2.6,2.01
"{1: [774, 307, 791, 325]}","{1: [774, 307, 791, 325]}","{1: [774, 307, 791, 325]}","{1: [774.0, 307.0, 791.0, 325.0]}",135,"(782, 316)",782,316,2,3,3.61,3.61,313.6,-0.2,2.61,2.5,1.57
"{1: [773, 309, 796, 333]}","{1: [773, 309, 796, 333]}","{1: [773, 309, 796, 333]}","{1: [773.0, 309.0, 796.0, 333.0]}",136,"(784, 321)",784,321,2,5,5.39,5.39,315.0,1.4,1.78,2.7,1.93
"{1: [775, 306, 794, 326]}","{1: [775, 306, 794, 326]}","{1: [775, 306, 794, 326]}","{1: [775.0, 306.0, 794.0, 326.0]}",137,"(784, 316)",784,316,0,-5,5.0,-5.0,315.6,0.6,-10.39,3.3,-0.55
{},{},{},"{1: [773.0, 280.0, 796.0, 305.0]}",138,"(784, 292)",784,292,0,-24,24.0,-24.0,311.6,-4.0,-19.0,7.8,-4.52
"{1: [773, 261, 800, 290]}","{1: [773, 261, 800, 290]}","{1: [773, 261, 800, 290]}","{1: [773.0, 261.0, 800.0, 290.0]}",139,"(786, 275)",786,275,2,-17,17.12,-17.12,304.0,-7.6,6.88,11.0,-3.62
"{1: [778, 251, 798, 270], 2: [774, 244, 804, 276]}","{1: [778, 251, 798, 270]}","{1: [778, 251, 798, 270]}","{1: [778.0, 251.0, 798.0, 270.0]}",140,"(788, 260)",788,260,2,-15,15.13,-15.13,292.8,-11.2,1.99,13.3,-3.75
"{1: [776, 235, 799, 260], 2: [774, 227, 805, 263]}","{1: [774, 227, 805, 263]}","{1: [774, 227, 805, 263]}","{1: [774.0, 227.0, 805.0, 263.0]}",141,"(789, 245)",789,245,1,-15,15.03,-15.03,277.6,-15.2,0.1,15.3,-4.08
"{1: [778, 221, 805, 247]}","{1: [778, 221, 805, 247]}","{1: [778, 221, 805, 247]}","{1: [778.0, 221.0, 805.0, 247.0]}",142,"(791, 234)",791,234,2,-11,11.18,-11.18,261.2,-16.4,3.85,16.5,-1.24
"{1: [777, 209, 803, 235]}","{1: [777, 209, 803, 235]}","{1: [777, 209, 803, 235]}","{1: [777.0, 209.0, 803.0, 235.0]}",143,"(790, 222)",790,222,-1,-12,12.04,-12.04,247.2,-14.0,-0.86,14.1,2.39
"{1: [778, 201, 806, 229]}","{1: [778, 201, 806, 229]}","{1: [778, 201, 806, 229]}","{1: [778.0, 201.0, 806.0, 229.0]}",144,"(792, 215)",792,215,2,-7,7.28,-7.28,235.2,-12.0,4.76,12.1,1.97
{},{},{},"{1: [789.0, 206.0, 814.0, 231.0]}",145,"(801, 218)",801,218,9,3,9.49,9.49,226.8,-8.4,16.77,11.0,4.92
{},{},{},"{1: [798.0, 210.0, 824.0, 235.0]}",146,"(811, 222)",811,222,10,4,10.77,10.77,222.2,-4.6,1.28,10.2,5.16
{},{},{},"{1: [808.0, 214.0, 833.0, 239.0]}",147,"(820, 226)",820,226,9,4,9.85,9.85,220.6,-1.6,-0.92,9.9,4.21
{},{},{},"{1: [816.0, 218.0, 842.0, 243.0]}",148,"(829, 230)",829,230,9,4,9.85,9.85,222.2,1.6,0.0,9.4,4.38
{},{},{},"{1: [824.0, 221.0, 849.0, 246.0]}",149,"(836, 233)",836,233,7,3,7.62,7.62,225.8,3.6,-2.23,9.5,2.98
"{1: [832, 226, 855, 248]}","{1: [832, 226, 855, 248]}","{1: [832, 226, 855, 248]}","{1: [832.0, 226.0, 855.0, 248.0]}",150,"(843, 237)",843,237,7,4,8.06,8.06,229.6,3.8,0.44,9.2,-0.29
"{1: [846, 237, 866, 260]}","{1: [846, 237, 866, 260]}","{1: [846, 237, 866, 260]}","{1: [846.0, 237.0, 866.0, 260.0]}",151,"(856, 248)",856,248,13,11,17.03,17.03,234.8,5.2,8.97,10.5,1.25
"{1: [860, 253, 879, 272]}","{1: [860, 253, 879, 272]}","{1: [860, 253, 879, 272]}","{1: [860.0, 253.0, 879.0, 272.0]}",152,"(869, 262)",869,262,13,14,19.1,19.1,242.0,7.2,2.07,12.3,1.85
{},{},{},"{1: [874.0, 270.0, 897.0, 294.0]}",153,"(885, 282)",885,282,16,20,25.61,25.61,252.4,10.4,6.51,15.5,3.15
{},{},{},"{1: [889.0, 289.0, 912.0, 312.0]}",154,"(900, 300)",900,300,15,18,23.43,23.43,265.8,13.4,-2.18,18.6,3.16
"{1: [900, 301, 926, 329]}","{1: [900, 301, 926, 329]}","{1: [900, 301, 926, 329]}","{1: [900.0, 301.0, 926.0, 329.0]}",155,"(913, 315)",913,315,13,15,19.85,19.85,281.4,15.6,-3.58,21.0,2.36
"{1: [920, 330, 938, 348]}","{1: [920, 330, 938, 348]}","{1: [920, 330, 938, 348]}","{1: [920.0, 330.0, 938.0, 348.0]}",156,"(929, 339)",929,339,16,24,28.84,28.84,299.6,18.2,8.99,23.4,2.36
"{1: [930, 348, 952, 368]}","{1: [930, 348, 952, 368]}","{1: [930, 348, 952, 368]}","{1: [930.0, 348.0, 952.0, 368.0]}",157,"(941, 358)",941,358,12,19,22.47,22.47,318.8,19.2,-6.37,24.0,0.67
{},{},{},"{1: [949.0, 383.0, 973.0, 406.0]}",158,"(961, 394)",961,394,20,36,41.18,41.18,341.2,22.4,18.71,27.2,3.11
{},{},{},"{1: [968.0, 418.0, 992.0, 442.0]}",159,"(980, 430)",980,430,19,36,40.71,40.71,367.2,26.0,-0.47,30.6,3.46
{},{},{},"{1: [987.0, 451.0, 1011.0, 475.0]}",160,"(999, 463)",999,463,19,33,38.08,38.08,396.8,29.6,-2.63,34.3,3.65
{},{},{},"{1: [1003.0, 481.0, 1027.0, 504.0]}",161,"(1015, 492)",1015,492,16,29,33.12,33.12,427.4,30.6,-4.96,35.1,0.86
"{1: [1018, 506, 1045, 531], 2: [1015, 503, 1041, 530]}","{1: [1015, 503, 1041, 530]}","{1: [1015, 503, 1041, 530]}","{1: [1015.0, 503.0, 1041.0, 530.0]}",162,"(1028, 516)",1028,516,13,24,27.29,27.29,459.0,31.6,-5.83,36.1,0.96
"{1: [1038, 549, 1061, 573]}","{1: [1038, 549, 1061, 573]}","{1: [1038, 549, 1061, 573]}","{1: [1038.0, 549.0, 1061.0, 573.0]}",163,"(1049, 561)",1049,561,21,45,49.66,49.66,492.4,33.4,22.37,37.8,1.7
"{1: [1060, 594, 1076, 611], 2: [1106, 683, 1123, 701]}","{1: [1060, 594, 1076, 611]}","{1: [1060, 594, 1076, 611]}","{1: [1060.0, 594.0, 1076.0, 611.0]}",164,"(1068, 602)",1068,602,19,41,45.19,45.19,526.8,34.4,-4.47,38.7,0.9
"{1: [1083, 636, 1098, 652]}","{1: [1083, 636, 1098, 652]}","{1: [1083, 636, 1098, 652]}","{1: [1083.0, 636.0, 1098.0, 652.0]}",165,"(1090, 644)",1090,644,22,42,47.41,47.41,563.0,36.2,2.22,40.5,1.87
"{1: [1096, 634, 1117, 657]}","{1: [1096, 634, 1117, 657]}","{1: [1096, 634, 1117, 657]}","{1: [1096.0, 634.0, 1117.0, 657.0]}",166,"(1106, 645)",1106,645,16,1,16.03,16.03,593.6,30.6,-31.38,37.1,-3.42
"{1: [1113, 640, 1133, 660], 2: [1107, 629, 1141, 667]}","{1: [1113, 640, 1133, 660]}","{1: [1113, 640, 1133, 660]}","{1: [1113.0, 640.0, 1133.0, 660.0]}",167,"(1123, 650)",1123,650,17,5,17.72,17.72,620.4,26.8,1.69,35.2,-1.91
"{1: [1131, 645, 1151, 667]}","{1: [1131, 645, 1151, 667]}","{1: [1131, 645, 1151, 667]}","{1: [1131.0, 645.0, 1151.0, 667.0]}",168,"(1141, 656)",1141,656,18,6,18.97,18.97,639.4,19.0,1.25,29.1,-6.14
"{1: [1153, 657, 1168, 674]}","{1: [1153, 657, 1168, 674]}","{1: [1153, 657, 1168, 674]}","{1: [1153.0, 657.0, 1168.0, 674.0]}",169,"(1160, 665)",1160,665,19,9,21.02,21.02,652.0,12.6,2.05,24.2,-4.83
"{1: [1167, 666, 1191, 691]}","{1: [1167, 666, 1191, 691]}","{1: [1167, 666, 1191, 691]}","{1: [1167.0, 666.0, 1191.0, 691.0]}",170,"(1179, 678)",1179,678,19,13,23.02,23.02,658.8,6.8,2.0,19.4,-4.88
"{1: [1190, 680, 1212, 702]}","{1: [1190, 680, 1212, 702]}","{1: [1190, 680, 1212, 702]}","{1: [1190.0, 680.0, 1212.0, 702.0]}",171,"(1201, 691)",1201,691,22,13,25.55,25.55,668.0,9.2,2.53,21.3,1.9
"{1: [1206, 694, 1232, 721], 2: [1208, 697, 1237, 724]}","{1: [1208, 697, 1237, 724]}","{1: [1208, 697, 1237, 724]}","{1: [1208.0, 697.0, 1237.0, 724.0]}",172,"(1222, 710)",1222,710,21,19,28.32,28.32,680.0,12.0,2.77,23.4,2.12
"{1: [1230, 718, 1252, 742]}","{1: [1230, 718, 1252, 742]}","{1: [1230, 718, 1252, 742]}","{1: [1230.0, 718.0, 1252.0, 742.0]}",173,"(1241, 730)",1241,730,19,20,27.59,27.59,694.8,14.8,-0.73,25.1,1.72
"{1: [1253, 741, 1272, 764]}","{1: [1253, 741, 1272, 764]}","{1: [1253, 741, 1272, 764]}","{1: [1253.0, 741.0, 1272.0, 764.0]}",174,"(1262, 752)",1262,752,21,22,30.41,30.41,712.2,17.4,2.82,27.0,1.88
{},{},{},"{1: [1213.0, 674.0, 1232.0, 696.0]}",175,"(1222, 685)",1222,685,-40,-67,78.03,-78.03,713.6,1.4,-108.44,38.0,-20.21
{},{},{},"{1: [1178.0, 614.0, 1197.0, 636.0]}",176,"(1187, 625)",1187,625,-35,-60,69.46,-69.46,700.4,-13.2,8.57,46.8,-19.0
"{1: [1151, 569, 1171, 589]}","{1: [1151, 569, 1171, 589]}","{1: [1151, 569, 1171, 589]}","{1: [1151.0, 569.0, 1171.0, 589.0]}",177,"(1161, 579)",1161,579,-26,-46,52.84,-52.84,674.2,-26.2,16.62,51.7,-16.23
"{1: [1105, 500, 1126, 524]}","{1: [1105, 500, 1126, 524]}","{1: [1105, 500, 1126, 524]}","{1: [1105.0, 500.0, 1126.0, 524.0]}",178,"(1115, 512)",1115,512,-46,-67,81.27,-81.27,630.6,-43.6,-28.43,62.4,-21.77
{},{},{},"{1: [1074.0, 462.0, 1095.0, 485.0]}",179,"(1084, 473)",1084,473,-31,-39,49.82,-49.82,574.8,-55.8,31.45,66.3,-16.05
{},{},{},"{1: [1045.0, 426.0, 1066.0, 449.0]}",180,"(1055, 437)",1055,437,-29,-36,46.23,-46.23,525.2,-49.6,3.59,59.9,6.36
{},{},{},"{1: [1020.0, 394.0, 1041.0, 417.0]}",181,"(1030, 405)",1030,405,-25,-32,40.61,-40.61,481.2,-44.0,5.62,54.2,5.77
"{1: [1001, 371, 1022, 392]}","{1: [1001, 371, 1022, 392]}","{1: [1001, 371, 1022, 392]}","{1: [1001.0, 371.0, 1022.0, 392.0]}",182,"(1011, 381)",1011,381,-19,-24,30.61,-30.61,441.6,-39.6,10.0,49.7,4.45
"{1: [974, 346, 998, 370]}","{1: [974, 346, 998, 370]}","{1: [974, 346, 998, 370]}","{1: [974.0, 346.0, 998.0, 370.0]}",183,"(986, 358)",986,358,-25,-23,33.97,-33.97,410.8,-30.8,-3.36,40.2,9.46
"{1: [957, 332, 977, 354]}","{1: [957, 332, 977, 354]}","{1: [957, 332, 977, 354]}","{1: [957.0, 332.0, 977.0, 354.0]}",184,"(967, 343)",967,343,-19,-15,24.21,-24.21,384.8,-26.0,9.76,35.1,5.12
"{1: [943, 322, 957, 338]}","{1: [943, 322, 957, 338]}","{1: [943, 322, 957, 338]}","{1: [943.0, 322.0, 957.0, 338.0]}",185,"(950, 330)",950,330,-17,-13,21.4,-21.4,363.4,-21.4,2.81,30.2,4.97
"{1: [920, 308, 941, 331], 2: [915, 297, 949, 335]}","{1: [920, 308, 941, 331]}","{1: [920, 308, 941, 331]}","{1: [920.0, 308.0, 941.0, 331.0]}",186,"(930, 319)",930,319,-20,-11,22.83,-22.83,346.2,-17.2,-1.43,26.6,3.56
"{1: [905, 301, 926, 322]}","{1: [905, 301, 926, 322]}","{1: [905, 301, 926, 322]}","{1: [905.0, 301.0, 926.0, 322.0]}",187,"(915, 311)",915,311,-15,-8,17.0,-17.0,332.2,-14.0,5.83,23.9,2.72
"{1: [894, 298, 908, 316]}","{1: [894, 298, 908, 316]}","{1: [894, 298, 908, 316]}","{1: [894.0, 298.0, 908.0, 316.0]}",188,"(901, 307)",901,307,-14,-4,14.56,-14.56,322.0,-10.2,2.44,20.0,3.88
{},{},{},"{1: [876.0, 296.0, 896.0, 317.0]}",189,"(886, 306)",886,306,-15,-1,15.03,-15.03,314.6,-7.4,-0.47,18.2,1.84
{},{},{},"{1: [862.0, 296.0, 883.0, 317.0]}",190,"(872, 306)",872,306,-14,0,14.0,14.0,309.8,-4.8,29.03,16.7,7.08
{},{},{},"{1: [850.0, 295.0, 870.0, 316.0]}",191,"(860, 305)",860,305,-12,-1,12.04,-12.04,307.0,-2.8,-26.04,14.5,2.16
{},{},{},"{1: [838.0, 295.0, 859.0, 316.0]}",192,"(848, 305)",848,305,-12,0,12.0,12.0,305.8,-1.2,24.04,13.5,5.8
"{1: [827, 294, 854, 318]}","{1: [827, 294, 854, 318]}","{1: [827, 294, 854, 318]}","{1: [827.0, 294.0, 854.0, 318.0]}",193,"(840, 306)",840,306,-8,1,8.06,8.06,305.6,-0.2,-3.94,12.2,4.52
"{1: [821, 305, 835, 320]}","{1: [821, 305, 835, 320]}","{1: [821, 305, 835, 320]}","{1: [821.0, 305.0, 835.0, 320.0]}",194,"(828, 312)",828,312,-12,6,13.42,13.42,306.8,1.2,5.36,11.9,5.69
"{1: [808, 305, 830, 329]}","{1: [808, 305, 830, 329]}","{1: [808, 305, 830, 329]}","{1: [808.0, 305.0, 830.0, 329.0]}",195,"(819, 317)",819,317,-9,5,10.3,10.3,309.0,2.2,-3.12,11.2,-0.74
"{1: [801, 305, 822, 326], 2: [797, 295, 829, 332]}","{1: [797, 295, 829, 332]}","{1: [797, 295, 829, 332]}","{1: [797.0, 295.0, 829.0, 332.0]}",196,"(813, 313)",813,313,-6,-4,7.21,-7.21,310.6,1.6,-17.51,10.2,0.97
{},{},{},"{1: [791.0, 278.0, 819.0, 309.0]}",197,"(805, 293)",805,293,-8,-20,21.54,-21.54,308.2,-2.4,-14.33,12.1,-6.71
{},{},{},"{1: [785.0, 260.0, 813.0, 291.0]}",198,"(799, 275)",799,275,-6,-18,18.97,-18.97,302.0,-6.2,2.57,14.3,-5.41
"{1: [782, 251, 806, 276]}","{1: [782, 251, 806, 276]}","{1: [782, 251, 806, 276]}","{1: [782.0, 251.0, 806.0, 276.0]}",199,"(794, 263)",794,263,-5,-12,13.0,-13.0,292.2,-9.8,5.97,14.2,-5.28
"{1: [774, 237, 798, 262]}","{1: [774, 237, 798, 262]}","{1: [774, 237, 798, 262]}","{1: [774.0, 237.0, 798.0, 262.0]}",200,"(786, 249)",786,249,-8,-14,16.12,-16.12,278.6,-13.6,-3.12,15.4,-5.28
"{1: [775, 230, 788, 244]}","{1: [775, 230, 788, 244]}","{1: [775, 230, 788, 244]}","{1: [775.0, 230.0, 788.0, 244.0]}",201,"(781, 237)",781,237,-5,-12,13.0,-13.0,263.4,-15.2,3.12,16.5,-1.16
{},{},{},"{1: [766.0, 216.0, 784.0, 236.0]}",202,"(775, 226)",775,226,-6,-11,12.53,-12.53,250.0,-13.4,0.47,14.7,1.8
"{1: [761, 206, 784, 232]}","{1: [761, 206, 784, 232]}","{1: [761, 206, 784, 232]}","{1: [761.0, 206.0, 784.0, 232.0]}",203,"(772, 219)",772,219,-3,-7,7.62,-7.62,238.8,-11.2,4.91,12.5,2.27
"{1: [761, 203, 783, 226]}","{1: [761, 203, 783, 226]}","{1: [761, 203, 783, 226]}","{1: [761.0, 203.0, 783.0, 226.0]}",204,"(772, 214)",772,214,0,-5,5.0,-5.0,229.0,-9.8,2.62,10.9,1.6
"{1: [774, 211, 789, 228]}","{1: [774, 211, 789, 228]}","{1: [774, 211, 789, 228]}","{1: [774.0, 211.0, 789.0, 228.0]}",205,"(781, 219)",781,219,9,5,10.3,10.3,223.0,-6.0,15.3,9.7,5.28
{},{},{},"{1: [787.0, 224.0, 804.0, 243.0]}",206,"(795, 233)",795,233,14,14,19.8,19.8,222.2,-0.8,9.5,11.1,6.56
{},{},{},"{1: [802.0, 238.0, 819.0, 257.0]}",207,"(810, 247)",810,247,15,14,20.52,20.52,226.4,4.2,0.72,12.6,6.61
{},{},{},"{1: [816.0, 252.0, 833.0, 271.0]}",208,"(824, 261)",824,261,14,14,19.8,19.8,234.8,8.4,-0.72,15.1,5.48
{},{},{},"{1: [829.0, 265.0, 846.0, 284.0]}",209,"(837, 274)",837,274,13,13,18.38,18.38,246.8,12.0,-1.42,17.8,4.68
{},{},{},"{1: [841.0, 277.0, 858.0, 296.0]}",210,"(849, 286)",849,286,12,12,16.97,16.97,260.2,13.4,-1.41,19.1,1.33
{},{},{},"{1: [852.0, 288.0, 869.0, 307.0]}",211,"(860, 297)",860,297,11,11,15.56,15.56,273.0,12.8,-1.41,18.2,-0.85
"{1: [861, 296, 880, 317]}","{1: [861, 296, 880, 317]}","{1: [861, 296, 880, 317]}","{1: [861.0, 296.0, 880.0, 317.0]}",212,"(870, 306)",870,306,10,9,13.45,13.45,284.8,11.8,-2.11,16.8,-1.41
"{1: [872, 310, 897, 336], 2: [875, 312, 902, 339], 3: [872, 307, 902, 345]}","{1: [872, 310, 897, 336]}","{1: [872, 310, 897, 336]}","{1: [872.0, 310.0, 897.0, 336.0]}",213,"(884, 323)",884,323,14,17,22.02,22.02,297.2,12.4,8.57,17.3,0.44
"{1: [890, 333, 910, 356]}","{1: [890, 333, 910, 356]}","{1: [890, 333, 910, 356]}","{1: [890.0, 333.0, 910.0, 356.0]}",214,"(900, 344)",900,344,16,21,26.4,26.4,311.2,14.0,4.38,18.9,1.6
"{1: [901, 353, 926, 380]}","{1: [901, 353, 926, 380]}","{1: [901, 353, 926, 380]}","{1: [901.0, 353.0, 926.0, 380.0]}",215,"(913, 366)",913,366,13,22,25.55,25.55,327.2,16.0,-0.85,20.6,1.72
{},{},{},"{1: [919.0, 391.0, 941.0, 414.0]}",216,"(930, 402)",930,402,17,36,39.81,39.81,348.2,21.0,14.26,25.4,4.85
{},{},{},"{1: [936.0, 426.0, 958.0, 450.0]}",217,"(947, 438)",947,438,17,36,39.81,39.81,374.6,26.4,0.0,30.7,5.27
{},{},{},"{1: [951.0, 459.0, 974.0, 483.0]}",218,"(962, 471)",962,471,15,33,36.25,36.25,404.2,29.6,-3.56,33.6,2.85
{},{},{},"{1: [965.0, 489.0, 988.0, 512.0]}",219,"(976, 500)",976,500,14,29,32.2,32.2,435.4,31.2,-4.05,34.7,1.16
"{1: [978, 514, 998, 534]}","{1: [978, 514, 998, 534]}","{1: [978, 514, 998, 534]}","{1: [978.0, 514.0, 998.0, 534.0]}",220,"(988, 524)",988,524,12,24,26.83,26.83,467.0,31.6,-5.37,35.0,0.26
"{1: [999, 558, 1022, 581], 2: [992, 549, 1018, 577]}","{1: [992, 549, 1018, 577]}","{1: [992, 549, 1018, 577]}","{1: [992.0, 549.0, 1018.0, 577.0]}",221,"(1005, 563)",1005,563,17,39,42.54,42.54,499.2,32.2,15.71,35.5,0.55
"{1: [1011, 596, 1029, 616]}","{1: [1011, 596, 1029, 616]}","{1: [1011, 596, 1029, 616]}","{1: [1011.0, 596.0, 1029.0, 616.0]}",222,"(1020, 606)",1020,606,15,43,45.54,45.54,532.8,33.6,3.0,36.7,1.15
"{1: [1026, 629, 1048, 652]}","{1: [1026, 629, 1048, 652]}","{1: [1026, 629, 1048, 652]}","{1: [1026.0, 629.0, 1048.0, 652.0]}",223,"(1037, 640)",1037,640,17,34,38.01,38.01,566.6,33.8,-7.53,37.0,0.35
"{1: [1039, 627, 1069, 654], 2: [1041, 626, 1064, 651]}","{1: [1039, 627, 1069, 654]}","{1: [1039, 627, 1069, 654]}","{1: [1039.0, 627.0, 1069.0, 654.0]}",224,"(1054, 640)",1054,640,17,0,17.0,17.0,594.6,28.0,-21.01,34.0,-3.04
"{1: [1062, 634, 1076, 651]}","{1: [1062, 634, 1076, 651]}","{1: [1062, 634, 1076, 651]}","{1: [1062.0, 634.0, 1076.0, 651.0]}",225,"(1069, 642)",1069,642,15,2,15.13,15.13,618.2,23.6,-1.87,31.6,-2.34
"{1: [1072, 635, 1093, 658]}","{1: [1072, 635, 1093, 658]}","{1: [1072, 635, 1093, 658]}","{1: [1072.0, 635.0, 1093.0, 658.0]}",226,"(1082, 646)",1082,646,13,4,13.6,13.6,634.8,16.6,-1.53,25.9,-5.79
"{1: [1088, 644, 1109, 667], 2: [1082, 633, 1117, 671]}","{1: [1088, 644, 1109, 667]}","{1: [1088, 644, 1109, 667]}","{1: [1088.0, 644.0, 1109.0, 667.0]}",227,"(1098, 655)",1098,655,16,9,18.36,18.36,644.6,9.8,4.76,20.4,-5.44
"{1: [1107, 652, 1123, 674], 2: [1099, 647, 1131, 684]}","{1: [1099, 647, 1131, 684]}","{1: [1099, 647, 1131, 684]}","{1: [1099.0, 647.0, 1131.0, 684.0]}",228,"(1115, 665)",1115,665,17,10,19.72,19.72,649.6,5.0,1.36,16.8,-3.66
"{1: [1118, 664, 1142, 690]}","{1: [1118, 664, 1142, 690]}","{1: [1118, 664, 1142, 690]}","{1: [1118.0, 664.0, 1142.0, 690.0]}",229,"(1130, 677)",1130,677,15,12,19.21,19.21,657.0,7.4,-0.51,17.2,0.44
"{1: [1138, 682, 1157, 700], 2: [1133, 675, 1164, 707]}","{1: [1138, 682, 1157, 700]}","{1: [1138, 682, 1157, 700]}","{1: [1138.0, 682.0, 1157.0, 700.0]}",230,"(1147, 691)",1147,691,17,14,22.02,22.02,666.8,9.8,2.81,18.6,1.38
"{1: [1150, 694, 1178, 724]}","{1: [1150, 694, 1178, 724]}","{1: [1150, 694, 1178, 724]}","{1: [1150.0, 694.0, 1178.0, 724.0]}",231,"(1164, 709)",1164,709,17,18,24.76,24.76,679.4,12.6,2.74,20.8,2.23
"{1: [1166, 717, 1191, 743]}","{1: [1166, 717, 1191, 743]}","{1: [1166, 717, 1191, 743]}","{1: [1166.0, 717.0, 1191.0, 743.0]}",232,"(1178, 730)",1178,730,14,21,25.24,25.24,694.4,15.0,0.48,22.2,1.38
"{1: [1184, 741, 1208, 766], 2: [1183, 736, 1214, 775], 3: [1188, 744, 1215, 771]}","{1: [1188, 744, 1215, 771]}","{1: [1188, 744, 1215, 771]}","{1: [1188.0, 744.0, 1215.0, 771.0]}",233,"(1201, 757)",1201,757,23,27,35.47,35.47,712.8,18.4,10.23,25.3,3.15
{},{},{},"{1: [1195.0, 752.0, 1218.0, 776.0]}",234,"(1206, 764)",1206,764,5,7,8.6,8.6,730.2,17.4,-26.87,23.2,-2.12
"{1: [1203, 760, 1221, 781]}","{1: [1203, 760, 1221, 781]}","{1: [1203, 760, 1221, 781]}","{1: [1203.0, 760.0, 1221.0, 781.0]}",235,"(1212, 770)",1212,770,6,6,8.49,8.49,746.0,15.8,-0.11,20.5,-2.71
"{1: [1016, 706, 1035, 726]}",{},{},"{1: [1155.0, 676.0, 1173.0, 696.0]}",236,"(1164, 686)",1164,686,-48,-84,96.75,-96.75,741.4,-4.6,-105.24,34.9,-24.3
"{1: [1110, 596, 1131, 619]}",{},{},"{1: [1112.0, 601.0, 1130.0, 621.0]}",237,"(1121, 611)",1121,611,-43,-75,86.45,-86.45,717.6,-23.8,10.3,47.2,-22.34
"{1: [1079, 544, 1097, 563]}","{1: [1079, 544, 1097, 563]}","{1: [1079, 544, 1097, 563]}","{1: [1079.0, 544.0, 1097.0, 563.0]}",238,"(1088, 553)",1088,553,-33,-58,66.73,-66.73,676.8,-40.8,19.72,53.4,-20.44
"{1: [1046, 491, 1069, 517]}","{1: [1046, 491, 1069, 517]}","{1: [1046, 491, 1069, 517]}","{1: [1046.0, 491.0, 1069.0, 517.0]}",239,"(1057, 504)",1057,504,-31,-49,57.98,-57.98,624.8,-52.0,8.75,63.3,-13.32
{},{},{},"{1: [1021.0, 461.0, 1045.0, 486.0]}",240,"(1033, 473)",1033,473,-24,-31,39.2,-39.2,565.4,-59.4,18.78,69.4,-9.54
{},{},{},"{1: [998.0, 432.0, 1022.0, 457.0]}",241,"(1010, 444)",1010,444,-23,-29,37.01,-37.01,517.0,-48.4,2.19,57.5,11.95
{},{},{},"{1: [976.0, 405.0, 1000.0, 430.0]}",242,"(988, 417)",988,417,-22,-27,34.83,-34.83,478.2,-38.8,2.18,47.2,10.32
{},{},{},"{1: [956.0, 379.0, 980.0, 404.0]}",243,"(968, 391)",968,391,-20,-26,32.8,-32.8,445.8,-32.4,2.03,40.4,6.79
{},{},{},"{1: [938.0, 356.0, 962.0, 381.0]}",244,"(950, 368)",950,368,-18,-23,29.21,-29.21,418.6,-27.2,3.59,34.6,5.75
