frame_num,player_1_last_player_distance,player_1_total_player_distance,player_2_last_player_distance,player_2_total_player_distance,player_1_number_of_shots,player_1_last_shot_speed,player_1_total_shot_speed,player_2_number_of_shots,player_2_last_shot_speed,player_2_total_shot_speed
70,0.0,4.66,0.12,12.8,0,0.0,0.0,0,0.0,0.0
71,0.04,4.7,0.17,12.97,0,0.0,0.0,0,0.0,0.0
72,0.04,4.74,0.17,13.14,0,0.0,0.0,0,0.0,0.0
73,0.08,4.82,0.08,13.22,0,0.0,0.0,0,0.0,0.0
74,0.12,4.94,0.06,13.28,0,0.0,0.0,0,0.0,0.0
75,0.09,5.03,0.04,13.32,0,0.0,0.0,0,0.0,0.0
76,0.06,5.09,0.08,13.4,0,0.0,0.0,0,0.0,0.0
77,0.0,5.09,0.08,13.48,0,0.0,0.0,0,0.0,0.0
78,0.0,5.09,0.16,13.64,0,0.0,0.0,0,0.0,0.0
79,0.0,5.09,0.04,13.68,0,0.0,0.0,0,0.0,0.0
80,0.0,5.09,0.0,13.68,0,0.0,0.0,0,0.0,0.0
81,0.04,5.13,0.04,13.72,0,0.0,0.0,0,0.0,0.0
82,0.04,5.17,0.06,13.78,0,0.0,0.0,0,0.0,0.0
83,0.04,5.21,0.04,13.82,0,0.0,0.0,0,0.0,0.0
84,0.04,5.25,0.09,13.91,0,0.0,0.0,0,0.0,0.0
85,0.04,5.29,0.04,13.95,0,0.0,0.0,0,0.0,0.0
86,0.06,5.35,0.06,14.01,0,0.0,0.0,0,0.0,0.0
87,0.14,5.49,0.0,14.01,0,0.0,0.0,0,0.0,0.0
88,0.14,5.63,0.0,14.01,0,0.0,0.0,0,0.0,0.0
89,0.09,5.72,0.09,14.1,0,0.0,0.0,0,0.0,0.0
90,0.06,5.78,0.16,14.26,0,0.0,0.0,0,0.0,0.0
91,0.09,5.87,0.09,14.35,0,0.0,0.0,0,0.0,0.0
92,0.04,5.91,0.16,14.51,0,0.0,0.0,0,0.0,0.0
93,0.04,5.95,0.23,14.74,0,0.0,0.0,0,0.0,0.0
94,0.04,5.99,0.17,14.91,0,0.0,0.0,0,0.0,0.0
95,0.0,5.99,0.14,15.05,0,0.0,0.0,0,0.0,0.0
96,0.08,6.07,0.09,15.14,0,0.0,0.0,0,0.0,0.0
