player_position_1,player_position_2,frame,player_1_ratio,player_2_ratio
"[452.9410400390625, 597.28759765625, 559.5541381835938, 863.5784301757812]","[964.00390625, 188.8997344970703, 1023.3033447265625, 306.45159912109375]",38,0.4,0.5
"[459.15350341796875, 592.5457153320312, 546.112060546875, 858.499267578125]","[966.6693115234375, 187.0625, 1027.1058349609375, 305.23681640625]",39,0.33,0.51
"[461.34759521484375, 585.764892578125, 555.68408203125, 853.9256591796875]","[970.5921630859375, 185.44911193847656, 1034.3675537109375, 304.0168762207031]",40,0.35,0.54
"[462.3260498046875, 575.4180297851562, 560.7235717773438, 844.026611328125]","[973.4470825195312, 185.57681274414062, 1042.817626953125, 302.8675842285156]",41,0.37,0.59
"[462.6209411621094, 576.645751953125, 561.9656372070312, 833.4778442382812]","[976.9656372070312, 186.22836303710938, 1051.48095703125, 301.3421936035156]",42,0.39,0.65
"[462.6123352050781, 586.76025390625, 557.4461669921875, 828.4158325195312]","[978.5763549804688, 187.62376403808594, 1057.6181640625, 300.49078369140625]",43,0.39,0.7
"[460.0036926269531, 590.9414672851562, 552.6880493164062, 830.5108642578125]","[979.2141723632812, 189.508056640625, 1063.8172607421875, 299.2758483886719]",44,0.39,0.77
"[455.920654296875, 601.893310546875, 550.6832885742188, 831.28369140625]","[979.3986206054688, 190.7349853515625, 1065.73828125, 298.6522216796875]",45,0.41,0.8
"[450.7424621582031, 608.4325561523438, 552.8577880859375, 832.0424194335938]","[979.017578125, 191.3654022216797, 1062.46337890625, 298.1042785644531]",46,0.46,0.78
"[444.7071228027344, 610.4702758789062, 554.8692016601562, 831.291748046875]","[979.1531372070312, 189.74154663085938, 1059.7220458984375, 298.4023742675781]",47,0.5,0.74
"[447.4873962402344, 611.9293823242188, 553.19921875, 831.29443359375]","[979.5811767578125, 188.0770263671875, 1061.7880859375, 298.3106384277344]",48,0.48,0.75
"[451.2633361816406, 614.981201171875, 547.9970703125, 830.0663452148438]","[985.2718505859375, 187.6114501953125, 1067.857177734375, 298.3062744140625]",49,0.45,0.75
"[449.7757263183594, 619.1710205078125, 545.1625366210938, 830.8199462890625]","[994.081787109375, 187.60482788085938, 1075.2750244140625, 297.6726379394531]",50,0.45,0.74
"[448.9314880371094, 624.2305297851562, 546.93603515625, 832.656494140625]","[1009.0023193359375, 187.9351043701172, 1082.08544921875, 296.8714294433594]",51,0.47,0.67
"[448.56494140625, 629.0125122070312, 559.07421875, 833.26904296875]","[1023.4158935546875, 187.55291748046875, 1091.4439697265625, 296.82470703125]",52,0.54,0.62
"[448.7545166015625, 632.06640625, 571.6365356445312, 833.8345336914062]","[1030.53466796875, 186.2969512939453, 1100.10498046875, 295.9678955078125]",53,0.61,0.63
"[446.1554260253906, 633.2882080078125, 580.5732421875, 838.6552734375]","[1035.572998046875, 185.04823303222656, 1107.78759765625, 295.591064453125]",54,0.65,0.65
"[443.882568359375, 632.7371826171875, 585.1240234375, 841.326904296875]","[1041.4276123046875, 183.4020538330078, 1117.3785400390625, 294.4298400878906]",55,0.68,0.68
"[449.4496765136719, 630.833984375, 588.5783081054688, 842.7739868164062]","[1050.9854736328125, 182.59800720214844, 1126.608642578125, 292.710205078125]",56,0.66,0.69
"[460.6811828613281, 627.884033203125, 595.1988525390625, 843.3731079101562]","[1063.7330322265625, 183.37222290039062, 1137.7835693359375, 292.55328369140625]",57,0.62,0.68
"[480.49493408203125, 625.1419677734375, 601.6026000976562, 843.26806640625]","[1082.8165283203125, 185.7216796875, 1149.0372314453125, 292.2870178222656]",58,0.56,0.62
"[505.4514465332031, 623.5868530273438, 606.8890991210938, 843.7837524414062]","[1101.743896484375, 187.50791931152344, 1159.076904296875, 292.385986328125]",59,0.46,0.55
"[530.8611450195312, 623.1837768554688, 613.727783203125, 847.7471313476562]","[1112.4674072265625, 188.96820068359375, 1170.442138671875, 291.709228515625]",60,0.37,0.56
"[547.6989135742188, 624.4907836914062, 621.9910278320312, 855.009521484375]","[1119.7943115234375, 190.24986267089844, 1180.2340087890625, 292.37139892578125]",61,0.32,0.59
"[558.791259765625, 629.0686645507812, 644.2479248046875, 862.2147216796875]","[1129.2913818359375, 192.3086395263672, 1189.3807373046875, 291.72772216796875]",62,0.37,0.6
"[566.6171264648438, 633.9468383789062, 665.94189453125, 868.256591796875]","[1139.724609375, 194.9850616455078, 1198.5789794921875, 290.93243408203125]",63,0.42,0.61
"[570.27099609375, 638.2230224609375, 685.8722534179688, 878.2269287109375]","[1148.3189697265625, 197.55029296875, 1206.84521484375, 294.1141052246094]",64,0.48,0.61
"[572.7765502929688, 644.4839477539062, 697.8546752929688, 886.9143676757812]","[1156.6368408203125, 200.4288330078125, 1215.313232421875, 294.809326171875]",65,0.52,0.62
"[575.4557495117188, 650.8197631835938, 703.9202880859375, 895.1611328125]","[1162.1107177734375, 201.09254455566406, 1224.9239501953125, 295.8915710449219]",66,0.53,0.66
"[580.738525390625, 656.1755981445312, 707.777587890625, 898.0437622070312]","[1164.54638671875, 203.67453002929688, 1235.018798828125, 296.2384033203125]",67,0.53,0.76
"[587.8397216796875, 659.2034301757812, 708.4605712890625, 899.2680053710938]","[1169.1014404296875, 206.09344482421875, 1249.180908203125, 300.0125427246094]",68,0.5,0.85
"[592.0275268554688, 659.2723999023438, 708.2720336914062, 899.1746215820312]","[1174.6640625, 206.93252563476562, 1257.366455078125, 302.6654357910156]",69,0.48,0.86
"[593.04931640625, 656.0874633789062, 708.3589477539062, 898.5107421875]","[1182.6541748046875, 210.4683380126953, 1261.9473876953125, 302.7659606933594]",70,0.48,0.86
"[593.4241333007812, 651.0781860351562, 708.3797607421875, 897.4345092773438]","[1188.1004638671875, 212.52320861816406, 1266.9261474609375, 301.2573547363281]",71,0.47,0.89
"[594.2186889648438, 645.4801635742188, 708.9830322265625, 895.2291870117188]","[1196.043212890625, 214.99827575683594, 1272.69970703125, 302.45648193359375]",72,0.46,0.88
"[594.6768798828125, 640.7371826171875, 709.7240600585938, 891.1419677734375]","[1201.09228515625, 217.6422882080078, 1269.6993408203125, 303.5914306640625]",73,0.46,0.8
"[595.1818237304688, 637.7506713867188, 718.5759887695312, 884.9368896484375]","[1208.5926513671875, 219.53384399414062, 1268.0950927734375, 303.7950134277344]",74,0.5,0.71
"[596.21826171875, 637.0091552734375, 727.9652709960938, 881.403076171875]","[1211.8892822265625, 220.0492706298828, 1269.5648193359375, 303.95166015625]",75,0.54,0.69
"[595.9546508789062, 637.2028198242188, 738.9628295898438, 882.4334106445312]","[1203.3192138671875, 219.74574279785156, 1271.8763427734375, 303.8248291015625]",76,0.58,0.82
"[594.29345703125, 640.1481323242188, 745.2798461914062, 882.6851806640625]","[1196.4456787109375, 218.30686950683594, 1273.9609375, 302.9133605957031]",77,0.62,0.92
"[593.3246459960938, 645.26708984375, 748.6911010742188, 883.7018432617188]","[1211.5670166015625, 215.54872131347656, 1279.03564453125, 302.605712890625]",78,0.65,0.77
"[593.0148315429688, 651.9188842773438, 750.5313110351562, 884.05908203125]","[1201.19140625, 208.63845825195312, 1284.1195068359375, 302.4786376953125]",79,0.68,0.88
"[592.9996948242188, 658.689208984375, 750.7513427734375, 884.0824584960938]","[1198.2030029296875, 196.3219757080078, 1288.1376953125, 302.5289306640625]",80,0.7,0.85
"[592.8563842773438, 662.9092407226562, 750.7996215820312, 884.4487915039062]","[1202.3291015625, 192.73910522460938, 1291.5206298828125, 302.35009765625]",81,0.71,0.81
"[592.5660400390625, 665.01513671875, 751.5833129882812, 884.9005737304688]","[1204.434814453125, 189.77159118652344, 1290.6678466796875, 302.2076721191406]",82,0.72,0.77
"[592.1949462890625, 665.6280517578125, 750.4764404296875, 885.019287109375]","[1207.271240234375, 188.4696502685547, 1289.4190673828125, 301.5943603515625]",83,0.72,0.73
"[590.6478271484375, 664.6271362304688, 749.404296875, 883.1917114257812]","[1198.497314453125, 187.64892578125, 1286.65771484375, 301.13006591796875]",84,0.73,0.78
"[587.0197143554688, 664.4337768554688, 743.4185180664062, 883.2669067382812]","[1196.58251953125, 187.56246948242188, 1285.60595703125, 300.5851135253906]",85,0.71,0.79
"[585.1026000976562, 663.7764892578125, 728.6942749023438, 886.2757568359375]","[1193.4598388671875, 187.45932006835938, 1285.0244140625, 300.395751953125]",86,0.65,0.81
"[581.4629516601562, 664.0560913085938, 701.3367309570312, 889.7501831054688]","[1192.8583984375, 187.6537628173828, 1284.9930419921875, 300.3478698730469]",87,0.53,0.82
"[575.0911254882812, 661.9640502929688, 671.4061889648438, 892.9938354492188]","[1191.7122802734375, 187.1878204345703, 1284.8834228515625, 300.44610595703125]",88,0.42,0.82
"[568.5485229492188, 661.0585327148438, 660.9452514648438, 894.8273315429688]","[1188.4739990234375, 186.30331420898438, 1284.548828125, 299.2958679199219]",89,0.4,0.85
"[554.4674682617188, 660.7615966796875, 654.110107421875, 896.8572998046875]","[1186.2579345703125, 184.34384155273438, 1279.5628662109375, 297.86944580078125]",90,0.42,0.82
"[541.7929077148438, 661.2601928710938, 649.9902954101562, 899.4050903320312]","[1182.095947265625, 182.6867218017578, 1272.2039794921875, 298.1607360839844]",91,0.45,0.78
"[535.6558227539062, 661.3971557617188, 644.705078125, 900.4922485351562]","[1176.833984375, 180.63946533203125, 1261.20849609375, 297.7762145996094]",92,0.46,0.72
"[533.1641235351562, 661.9459228515625, 641.281982421875, 900.6597900390625]","[1172.720703125, 177.8107452392578, 1246.617919921875, 295.5930480957031]",93,0.45,0.63
"[529.9835815429688, 662.7008056640625, 640.0762939453125, 900.8630981445312]","[1168.0645751953125, 175.36288452148438, 1236.966552734375, 294.24176025390625]",94,0.46,0.58
"[526.7752075195312, 662.7141723632812, 636.6618041992188, 900.9277954101562]","[1164.0008544921875, 173.2030029296875, 1229.9747314453125, 292.89630126953125]",95,0.46,0.55
"[516.5404663085938, 661.6910400390625, 633.0040283203125, 901.0139770507812]","[1159.9193115234375, 171.96238708496094, 1222.80859375, 293.0946350097656]",96,0.49,0.52
"[501.4250183105469, 659.5238647460938, 628.04638671875, 901.1294555664062]","[1155.3272705078125, 171.5224609375, 1212.20556640625, 294.6881408691406]",97,0.52,0.46
"[491.9219970703125, 657.0646362304688, 625.1976318359375, 901.07080078125]","[1149.6341552734375, 171.79429626464844, 1203.2537841796875, 295.5639953613281]",98,0.55,0.43
"[486.75146484375, 654.85009765625, 617.152587890625, 900.4204711914062]","[1143.5855712890625, 173.42832946777344, 1197.6536865234375, 294.6188049316406]",99,0.53,0.45
"[485.630126953125, 652.6795654296875, 611.392822265625, 896.8340454101562]","[1137.219482421875, 173.87118530273438, 1189.8563232421875, 296.2232666015625]",100,0.52,0.43
"[484.9301452636719, 651.4100952148438, 606.6375732421875, 891.0949096679688]","[1124.7669677734375, 173.00672912597656, 1185.942626953125, 297.0232849121094]",101,0.51,0.49
"[484.68359375, 650.322265625, 602.589111328125, 885.8026733398438]","[1112.126708984375, 172.4635772705078, 1184.6644287109375, 297.2818298339844]",102,0.5,0.58
"[484.2751770019531, 650.2486572265625, 599.2506713867188, 882.0963745117188]","[1104.839599609375, 172.30775451660156, 1183.35791015625, 295.4725341796875]",103,0.5,0.64
"[482.8733215332031, 651.7423706054688, 596.3545532226562, 881.1429443359375]","[1101.6553955078125, 173.19442749023438, 1178.0260009765625, 293.83856201171875]",104,0.49,0.63
"[481.52099609375, 653.7882080078125, 596.5991821289062, 880.855224609375]","[1096.774169921875, 173.6100311279297, 1168.197021484375, 292.3603210449219]",105,0.51,0.6
"[480.9072265625, 656.6759643554688, 600.0833129882812, 880.8899536132812]","[1091.773681640625, 173.92942810058594, 1153.581298828125, 291.8138427734375]",106,0.53,0.52
"[480.3728332519531, 659.454833984375, 604.7533569335938, 881.3385009765625]","[1087.6612548828125, 172.69627380371094, 1141.0594482421875, 291.5269470214844]",107,0.56,0.45
"[478.5986633300781, 661.162353515625, 613.6836547851562, 881.463623046875]","[1085.775146484375, 171.1181182861328, 1132.792236328125, 291.80364990234375]",108,0.61,0.39
"[473.1906433105469, 661.8358154296875, 623.2604370117188, 881.4910278320312]","[1081.896728515625, 170.1148681640625, 1126.35791015625, 291.76617431640625]",109,0.68,0.37
"[466.2997741699219, 661.9244384765625, 631.8864135742188, 881.626953125]","[1078.3494873046875, 169.29708862304688, 1120.62646484375, 290.0527038574219]",110,0.75,0.35
"[460.1620788574219, 661.7008056640625, 636.6317749023438, 881.5805053710938]","[1074.9017333984375, 168.93331909179688, 1115.7425537109375, 288.4571228027344]",111,0.8,0.34
"[455.44818115234375, 659.9509887695312, 633.640625, 881.2123413085938]","[1071.993896484375, 168.60549926757812, 1110.84033203125, 286.98089599609375]",112,0.81,0.33
"[453.17950439453125, 656.9549560546875, 621.2291870117188, 880.6016235351562]","[1068.203857421875, 167.6608123779297, 1106.306396484375, 285.50494384765625]",113,0.75,0.32
"[469.07781982421875, 652.0173950195312, 597.352294921875, 879.787109375]","[1060.6680908203125, 165.5538787841797, 1101.38427734375, 284.7904357910156]",114,0.56,0.34
"[474.68597412109375, 643.4832763671875, 570.2842407226562, 877.5470581054688]","[1050.1390380859375, 163.34999084472656, 1097.1817626953125, 284.09735107421875]",115,0.41,0.39
"[473.5661926269531, 638.7695922851562, 570.774658203125, 875.3545532226562]","[1042.0396728515625, 161.98471069335938, 1092.8428955078125, 282.3146057128906]",116,0.41,0.42
"[466.4869384765625, 634.6785888671875, 584.123779296875, 873.3067626953125]","[1033.505126953125, 162.1130828857422, 1088.3463134765625, 280.76812744140625]",117,0.49,0.46
"[459.1640625, 630.3649291992188, 582.3035888671875, 868.754638671875]","[1024.2303466796875, 162.9754180908203, 1084.013671875, 279.603271484375]",118,0.52,0.51
"[456.4163513183594, 627.6865234375, 575.4959106445312, 866.357666015625]","[1016.5098876953125, 164.27029418945312, 1081.082763671875, 278.3834228515625]",119,0.5,0.57
"[451.8277893066406, 626.5265502929688, 566.8724365234375, 863.3680419921875]","[1008.4386596679688, 167.89346313476562, 1078.79248046875, 276.2851867675781]",120,0.49,0.65
"[446.9402160644531, 626.593505859375, 558.3923950195312, 861.3805541992188]","[1001.7725219726562, 171.86376953125, 1077.0035400390625, 274.8150634765625]",121,0.47,0.73
"[445.1190490722656, 628.342041015625, 555.35400390625, 857.1832885742188]","[997.4861450195312, 176.5970001220703, 1076.288818359375, 274.2164306640625]",122,0.48,0.81
"[444.82965087890625, 629.8460083007812, 564.446533203125, 854.42041015625]","[996.0797729492188, 181.331787109375, 1076.1064453125, 273.92645263671875]",123,0.53,0.86
"[444.6239013671875, 630.8677978515625, 573.60009765625, 851.717529296875]","[995.8291015625, 185.1875, 1075.72900390625, 273.8993225097656]",124,0.58,0.9
"[444.72589111328125, 633.1285400390625, 575.9332885742188, 849.89013671875]","[994.5776977539062, 186.34426879882812, 1076.3619384765625, 273.8914489746094]",125,0.61,0.93
"[444.7015075683594, 635.6260375976562, 577.1980590820312, 848.80419921875]","[989.9047241210938, 186.46104431152344, 1077.0946044921875, 273.90374755859375]",126,0.62,1.0
"[444.6520080566406, 637.0253295898438, 576.8811645507812, 848.9612426757812]","[981.5303344726562, 184.23843383789062, 1076.691650390625, 274.2069091796875]",127,0.62,1.06
"[445.3290710449219, 636.3692016601562, 571.7340698242188, 848.8775634765625]","[971.8153686523438, 182.55035400390625, 1073.871826171875, 274.2358703613281]",128,0.59,1.11
"[445.07977294921875, 634.4097900390625, 576.437255859375, 844.564697265625]","[963.3567504882812, 180.69204711914062, 1064.0531005859375, 274.4385070800781]",129,0.63,1.07
"[451.4975280761719, 632.3812255859375, 585.3695678710938, 842.4486083984375]","[953.3572998046875, 179.5889434814453, 1050.2176513671875, 274.10394287109375]",130,0.64,1.02
"[464.5487365722656, 630.9829711914062, 602.3938598632812, 847.4219970703125]","[942.2074584960938, 177.58892822265625, 1031.13330078125, 274.17987060546875]",131,0.64,0.92
"[482.27142333984375, 629.61279296875, 626.0655517578125, 850.4973754882812]","[933.2600708007812, 175.556884765625, 1015.3392333984375, 273.9056396484375]",132,0.65,0.83
"[510.1235656738281, 629.28369140625, 645.4898681640625, 853.4708251953125]","[923.0181274414062, 173.2876434326172, 1008.0671997070312, 274.2268981933594]",133,0.6,0.84
"[534.6541137695312, 628.1405639648438, 662.308349609375, 850.8236694335938]","[914.7799682617188, 173.14785766601562, 1000.48193359375, 274.2035827636719]",134,0.57,0.85
"[546.3339233398438, 627.3936157226562, 673.3512573242188, 852.514892578125]","[904.7362060546875, 172.56483459472656, 990.5234985351562, 274.25555419921875]",135,0.56,0.84
"[562.8862915039062, 627.185302734375, 681.0298461914062, 857.28369140625]","[895.8010864257812, 172.09967041015625, 973.9054565429688, 274.48138427734375]",136,0.51,0.76
"[590.1388549804688, 629.3687744140625, 687.43408203125, 860.0736694335938]","[884.1358642578125, 171.91531372070312, 954.3178100585938, 274.4718017578125]",137,0.42,0.68
"[606.478515625, 632.6602172851562, 695.9589233398438, 862.0478515625]","[873.2754516601562, 171.71131896972656, 940.9348754882812, 274.42987060546875]",138,0.39,0.66
"[613.113525390625, 634.2938842773438, 709.2644653320312, 862.76318359375]","[865.5672607421875, 170.4217987060547, 934.6422119140625, 274.3512878417969]",139,0.42,0.66
"[615.3343505859375, 635.3112182617188, 734.4605102539062, 864.8739013671875]","[853.94921875, 169.05145263671875, 932.1716918945312, 273.9420471191406]",140,0.52,0.75
"[616.022216796875, 635.7261352539062, 759.4903564453125, 865.5001831054688]","[846.489990234375, 167.05166625976562, 929.7023315429688, 273.524169921875]",141,0.62,0.78
"[619.3930053710938, 635.12548828125, 770.8358154296875, 866.3822631835938]","[839.809326171875, 164.9646759033203, 925.247802734375, 273.32757568359375]",142,0.65,0.79
"[635.5709838867188, 632.948974609375, 781.9228515625, 871.2646484375]","[836.636962890625, 163.660888671875, 915.8168334960938, 271.2704772949219]",143,0.61,0.74
"[659.285888671875, 631.3782348632812, 795.0988159179688, 872.9082641601562]","[828.3359375, 161.4767303466797, 901.5101318359375, 271.8114318847656]",144,0.56,0.66
"[691.7159423828125, 628.8573608398438, 808.8984375, 871.9143676757812]","[817.0780029296875, 160.78863525390625, 885.5233154296875, 270.9384765625]",145,0.48,0.62
"[727.1596069335938, 627.7528686523438, 823.4600219726562, 871.7645874023438]","[812.8026123046875, 160.76429748535156, 875.1773071289062, 270.30841064453125]",146,0.39,0.57
"[750.8711547851562, 627.6610107421875, 837.91162109375, 874.9488525390625]","[807.934326171875, 160.8512420654297, 868.4584350585938, 268.6595458984375]",147,0.35,0.56
"[769.8377075195312, 629.7630004882812, 849.836669921875, 878.4913940429688]","[793.0189208984375, 159.99378967285156, 861.231689453125, 268.4152526855469]",148,0.32,0.63
"[786.1629638671875, 634.6090698242188, 873.7838745117188, 886.0632934570312]","[778.4527587890625, 161.78118896484375, 852.6272583007812, 268.0686950683594]",149,0.35,0.7
"[802.084228515625, 639.9476928710938, 906.21630859375, 893.396240234375]","[767.8837890625, 164.39794921875, 842.4721069335938, 267.96868896484375]",150,0.41,0.72
"[815.2816772460938, 646.946533203125, 940.73193359375, 898.9829711914062]","[758.3847045898438, 166.0450439453125, 832.6135864257812, 267.9596252441406]",151,0.5,0.73
"[819.5958251953125, 653.2133178710938, 972.414794921875, 901.6659545898438]","[751.5821533203125, 167.26792907714844, 825.2710571289062, 267.8912353515625]",152,0.62,0.73
"[822.3240966796875, 659.4470825195312, 994.2755126953125, 906.908447265625]","[747.66943359375, 168.22097778320312, 821.645263671875, 267.6545715332031]",153,0.69,0.74
"[827.3407592773438, 664.859130859375, 1007.0341186523438, 913.52880859375]","[744.3877563476562, 167.7679443359375, 817.7671508789062, 267.1074523925781]",154,0.72,0.74
"[840.88037109375, 669.75634765625, 1011.003662109375, 917.0880126953125]","[742.6781616210938, 168.25753784179688, 813.79150390625, 266.87921142578125]",155,0.69,0.72
"[864.3326416015625, 672.1420288085938, 1012.2952270507812, 918.0491943359375]","[741.7156372070312, 168.0230712890625, 811.4735717773438, 266.6943359375]",156,0.6,0.71
"[896.2246704101562, 672.595703125, 1014.4396362304688, 918.185302734375]","[741.0025024414062, 167.59649658203125, 809.7269897460938, 265.8626708984375]",157,0.48,0.7
"[929.9641723632812, 671.5032348632812, 1025.549560546875, 917.5111694335938]","[740.7327270507812, 166.8810577392578, 808.6610717773438, 264.7006530761719]",158,0.39,0.69
"[949.0307006835938, 669.938720703125, 1040.5123291015625, 915.8646850585938]","[740.81103515625, 166.5022430419922, 810.59716796875, 264.1023254394531]",159,0.37,0.72
"[962.6192016601562, 669.1080932617188, 1056.5595703125, 911.747802734375]","[740.98046875, 165.16595458984375, 818.0159301757812, 264.1048583984375]",160,0.39,0.78
"[975.7369384765625, 668.9520874023438, 1070.73779296875, 909.40283203125]","[740.7981567382812, 164.27369689941406, 823.0128784179688, 264.0907897949219]",161,0.4,0.82
"[987.00048828125, 670.1980590820312, 1086.1572265625, 907.0361328125]","[742.3700561523438, 164.03973388671875, 826.8325805664062, 264.0804138183594]",162,0.42,0.84
"[998.392578125, 671.5935668945312, 1100.7757568359375, 904.6360473632812]","[747.6408081054688, 163.50779724121094, 827.2918701171875, 264.49713134765625]",163,0.44,0.79
"[1008.6167602539062, 673.9329833984375, 1124.053955078125, 904.4351196289062]","[755.3576049804688, 162.63917541503906, 828.8665771484375, 264.57611083984375]",164,0.5,0.72
