ball_position,frame
"{1: (177, 316, 0.9, 25.52)}",188
"{1: (172, 291, 0.79, 25.0)}",189
"{1: (168, 266, 0.67, 24.51)}",190
"{1: (163, 242, 0.54, 24.06)}",191
"{1: (159, 218, 0.38, 23.63)}",192
"{1: (155, 195, 0.22, 23.23)}",193
"{1: (151, 172, 0.03, 22.86)}",194
"{1: (147, 150)}",195
"{1: (144, 139)}",196
"{1: (141, 128)}",197
"{1: (138, 117)}",198
"{1: (136, 106)}",199
"{1: (133, 96)}",200
"{1: (130, 85)}",201
"{1: (128, 75)}",202
"{1: (125, 65)}",203
"{1: (123, 55, 0.97, 34.76)}",204
"{1: (129, 89, 1.05, 33.79)}",205
"{1: (135, 123, 1.12, 32.79)}",206
"{1: (141, 155, 1.17, 31.86)}",207
"{1: (147, 187, 1.2, 30.97)}",208
"{1: (152, 218, 1.22, 30.14)}",209
"{1: (158, 248, 1.23, 29.36)}",210
"{1: (163, 277, 1.21, 28.62)}",211
"{1: (168, 305, 1.19, 27.92)}",212
"{1: (173, 333, 1.14, 27.26)}",213
"{1: (178, 360, 1.08, 26.64)}",214
"{1: (183, 387, 1.01, 26.06)}",215
"{1: (188, 413, 0.92, 25.51)}",216
"{1: (193, 438, 0.81, 24.99)}",217
"{1: (197, 463, 0.69, 24.51)}",218
"{1: (202, 487, 0.55, 24.05)}",219
"{1: (206, 511, 0.4, 23.63)}",220
"{1: (210, 534, 0.23, 23.23)}",221
"{1: (214, 557, 0.05, 22.86)}",222
"{1: (219, 580)}",223
"{1: (221, 597)}",224
"{1: (223, 613)}",225
"{1: (225, 630)}",226
"{1: (228, 646)}",227
"{1: (230, 662)}",228
"{1: (232, 678)}",229
"{1: (234, 694)}",230
"{1: (236, 710)}",231
"{1: (238, 725)}",232
"{1: (240, 740)}",233
"{1: (242, 755)}",234
"{1: (245, 770, 0.89, 40.04)}",235
"{1: (238, 730, 0.99, 38.75)}",236
"{1: (232, 691, 1.07, 37.45)}",237
"{1: (227, 654, 1.13, 36.24)}",238
"{1: (221, 618, 1.18, 35.1)}",239
"{1: (216, 583, 1.21, 34.04)}",240
"{1: (210, 549, 1.23, 33.04)}",241
"{1: (205, 516, 1.23, 32.1)}",242
"{1: (200, 484, 1.22, 31.22)}",243
"{1: (195, 452, 1.19, 30.39)}",244
"{1: (191, 422, 1.14, 29.61)}",245
"{1: (186, 392, 1.08, 28.87)}",246
"{1: (182, 364, 1.0, 28.18)}",247
"{1: (177, 335, 0.91, 27.54)}",248
"{1: (173, 308, 0.8, 26.92)}",249
"{1: (169, 281, 0.68, 26.35)}",250
"{1: (165, 255, 0.54, 25.81)}",251
"{1: (161, 229, 0.39, 25.31)}",252
"{1: (157, 204, 0.22, 24.84)}",253
"{1: (153, 180, 0.03, 24.4)}",254
"{1: (150, 156)}",255
"{1: (147, 144)}",256
"{1: (144, 133)}",257
"{1: (142, 123)}",258
"{1: (139, 112)}",259
"{1: (137, 101)}",260
"{1: (135, 91)}",261
"{1: (132, 80)}",262
"{1: (130, 70)}",263
"{1: (128, 60, 0.95, 32.38)}",264
"{1: (132, 92, 1.04, 31.57)}",265
"{1: (137, 123, 1.12, 30.69)}",266
"{1: (142, 154, 1.18, 29.86)}",267
"{1: (146, 184, 1.23, 29.08)}",268
"{1: (151, 213, 1.26, 28.34)}",269
"{1: (155, 241, 1.28, 27.64)}",270
"{1: (159, 269, 1.28, 26.98)}",271
"{1: (163, 296, 1.26, 26.36)}",272
"{1: (167, 322, 1.23, 25.77)}",273
"{1: (171, 348, 1.18, 25.21)}",274
"{1: (175, 373, 1.12, 24.69)}",275
"{1: (178, 398, 1.04, 24.19)}",276
"{1: (182, 422, 0.94, 23.73)}",277
"{1: (186, 446, 0.84, 23.29)}",278
"{1: (189, 469, 0.71, 22.88)}",279
"{1: (192, 492, 0.57, 22.5)}",280
"{1: (196, 514, 0.41, 22.14)}",281
"{1: (199, 536, 0.24, 21.81)}",282
"{1: (202, 557, 0.06, 21.5)}",283
"{1: (206, 579)}",284
"{1: (207, 599)}",285
"{1: (209, 620)}",286
"{1: (211, 640)}",287
"{1: (213, 660)}",288
"{1: (215, 679)}",289
"{1: (217, 698)}",290
"{1: (218, 717)}",291
"{1: (220, 735)}",292
"{1: (222, 754)}",293
"{1: (224, 772, 0.74, 32.21)}",294
"{1: (227, 739, 0.88, 31.52)}",295
"{1: (230, 708, 1.01, 30.64)}",296
"{1: (233, 677, 1.12, 29.81)}",297
"{1: (236, 648, 1.21, 29.02)}",298
"{1: (239, 619, 1.29, 28.27)}",299
"{1: (242, 590, 1.35, 27.56)}",300
"{1: (245, 563, 1.4, 26.89)}",301
"{1: (248, 536, 1.43, 26.25)}",302
"{1: (250, 509, 1.44, 25.65)}",303
"{1: (253, 484, 1.44, 25.08)}",304
"{1: (255, 458, 1.42, 24.54)}",305
"{1: (258, 434, 1.39, 24.03)}",306
"{1: (260, 410, 1.34, 23.55)}",307
"{1: (263, 386, 1.28, 23.1)}",308
"{1: (265, 363, 1.2, 22.67)}",309
"{1: (267, 340, 1.11, 22.27)}",310
"{1: (270, 318, 1.0, 21.89)}",311
"{1: (272, 296, 0.87, 21.54)}",312
"{1: (274, 274, 0.73, 21.21)}",313
"{1: (276, 253, 0.57, 20.9)}",314
"{1: (278, 232, 0.4, 20.62)}",315
"{1: (280, 212, 0.22, 20.36)}",316
"{1: (282, 192, 0.02, 20.12)}",317
"{1: (285, 173)}",318
"{1: (286, 158)}",319
"{1: (287, 144)}",320
"{1: (288, 130)}",321
"{1: (289, 116)}",322
"{1: (290, 102)}",323
"{1: (291, 88)}",324
"{1: (292, 75)}",325
"{1: (293, 62)}",326
"{1: (295, 49, 0.96, 28.8)}",327
"{1: (287, 77, 1.07, 28.23)}",328
"{1: (280, 104, 1.17, 27.51)}",329
"{1: (273, 131, 1.25, 26.84)}",330
"{1: (266, 157, 1.32, 26.19)}",331
"{1: (259, 182, 1.37, 25.58)}",332
"{1: (252, 207, 1.41, 25.0)}",333
"{1: (246, 232, 1.42, 24.45)}",334
"{1: (239, 255, 1.43, 23.93)}",335
"{1: (233, 279, 1.42, 23.44)}",336
"{1: (227, 302, 1.39, 22.97)}",337
"{1: (221, 324, 1.34, 22.53)}",338
"{1: (215, 346, 1.28, 22.12)}",339
"{1: (209, 368, 1.21, 21.73)}",340
"{1: (203, 389, 1.12, 21.36)}",341
"{1: (198, 410, 1.01, 21.02)}",342
"{1: (192, 430, 0.89, 20.7)}",343
"{1: (187, 450, 0.76, 20.4)}",344
"{1: (182, 470, 0.6, 20.12)}",345
"{1: (177, 489, 0.44, 19.87)}",346
"{1: (171, 508, 0.25, 19.63)}",347
"{1: (166, 527, 0.06, 19.41)}",348
"{1: (162, 546)}",349
"{1: (158, 563)}",350
"{1: (155, 580)}",351
"{1: (152, 597)}",352
"{1: (149, 613)}",353
"{1: (146, 629)}",354
"{1: (142, 645)}",355
"{1: (139, 661)}",356
