single_centre_point,clean_centre_point,complete_centre_point,velocity_vector,velocity,velocity_delta,frame
"(678, 727)","(678, 727)","(678, 727)",17,17,9.0,115
"(670, 735)","(670, 735)","(670, 735)",11,11,-6.0,116
"(658, 748)","(658, 748)","(658, 748)",17,17,6.0,117
"(675, 666)","(675, 666)","(675, 666)",-83,83,-100.0,118
"(690, 605)","(690, 605)","(690, 605)",-62,62,21.0,119
"(706, 547)","(706, 547)","(706, 547)",-60,60,2.0,120
"(720, 497)","(720, 497)","(720, 497)",-51,51,9.0,121
,,"(729, 461)",-37,37,14.0,122
,,"(739, 428)",-34,34,3.0,123
,,"(747, 398)",-31,31,3.0,124
"(754, 375)","(754, 375)","(754, 375)",-24,24,7.0,125
"(759, 354)","(759, 354)","(759, 354)",-21,21,3.0,126
"(765, 339)","(765, 339)","(765, 339)",-16,16,5.0,127
"(770, 329)","(770, 329)","(770, 329)",-11,11,5.0,128
"(771, 321)","(771, 321)","(771, 321)",-8,8,3.0,129
"(775, 317)","(775, 317)","(775, 317)",-5,5,3.0,130
"(777, 315)","(777, 315)","(777, 315)",-2,2,3.0,131
"(779, 313)","(779, 313)","(779, 313)",-2,2,0.0,132
"(780, 312)","(780, 312)","(780, 312)",-1,1,1.0,133
"(780, 314)","(780, 314)","(780, 314)",2,2,3.0,134
"(783, 316)","(783, 316)","(783, 316)",3,3,1.0,135
"(784, 321)","(784, 321)","(784, 321)",5,5,2.0,136
"(784, 316)","(784, 316)","(784, 316)",-5,5,-10.0,137
,,"(785, 293)",-23,23,-18.0,138
"(787, 276)","(787, 276)","(787, 276)",-17,17,6.0,139
"(789, 260)","(789, 260)","(789, 260)",-16,16,1.0,140
"(789, 245)","(789, 245)","(789, 245)",-15,15,1.0,141
"(791, 234)","(791, 234)","(791, 234)",-11,11,4.0,142
"(790, 222)","(790, 222)","(790, 222)",-12,12,-1.0,143
"(792, 215)","(792, 215)","(792, 215)",-7,7,5.0,144
,,"(802, 219)",10,10,17.0,145
,,"(811, 223)",9,9,-1.0,146
,,"(820, 227)",9,9,0.0,147
,,"(829, 231)",9,9,0.0,148
,,"(837, 234)",8,8,-1.0,149
"(843, 237)","(843, 237)","(843, 237)",6,6,-2.0,150
"(856, 248)","(856, 248)","(856, 248)",17,17,11.0,151
"(869, 262)","(869, 262)","(869, 262)",19,19,2.0,152
,,"(885, 282)",25,25,6.0,153
