single_centre_point,clean_centre_point,complete_centre_point,velocity_vector,velocity,velocity_delta,frame
"(746, 313)","(746, 313)","(746, 313)",2,2,0.0,471
"(744, 316)","(744, 316)","(744, 316)",3,3,1.0,472
"(743, 318)","(743, 318)","(743, 318)",2,2,-1.0,473
"(739, 323)","(739, 323)","(739, 323)",6,6,4.0,474
"(736, 318)","(736, 318)","(736, 318)",-5,5,-11.0,475
"(734, 307)","(734, 307)","(734, 307)",-11,11,-6.0,476
,,"(729, 295)",-13,13,-2.0,477
,,"(725, 285)",-10,10,3.0,478
"(723, 277)","(723, 277)","(723, 277)",-8,8,2.0,479
"(721, 267)","(721, 267)","(721, 267)",-10,10,-2.0,480
"(716, 261)","(716, 261)","(716, 261)",-7,7,3.0,481
"(713, 257)","(713, 257)","(713, 257)",-5,5,2.0,482
"(709, 252)","(709, 252)","(709, 252)",-6,6,-1.0,483
"(712, 249)","(712, 249)","(712, 249)",-4,4,2.0,484
"(699, 252)","(699, 252)","(699, 252)",13,13,17.0,485
"(692, 256)","(692, 256)","(692, 256)",8,8,-5.0,486
"(685, 262)","(685, 262)","(685, 262)",9,9,1.0,487
"(676, 269)","(676, 269)","(676, 269)",11,11,2.0,488
,,"(666, 283)",17,17,6.0,489
,,"(658, 297)",16,16,-1.0,490
,,"(650, 310)",15,15,-1.0,491
"(645, 320)","(645, 320)","(645, 320)",11,11,-4.0,492
"(635, 338)","(635, 338)","(635, 338)",20,20,9.0,493
"(628, 357)","(628, 357)","(628, 357)",20,20,0.0,494
,,"(617, 398)",42,42,22.0,495
,,"(607, 439)",42,42,0.0,496
,,"(597, 478)",40,40,-2.0,497
,,"(587, 516)",39,39,-1.0,498
,,"(578, 552)",37,37,-2.0,499
,,"(569, 587)",36,36,-1.0,500
,,"(561, 620)",33,33,-3.0,501
,,"(553, 649)",30,30,-3.0,502
"(548, 672)","(548, 672)","(548, 672)",23,23,-7.0,503
"(540, 677)","(540, 677)","(540, 677)",9,9,-14.0,504
"(534, 679)","(534, 679)","(534, 679)",6,6,-3.0,505
"(530, 682)","(530, 682)","(530, 682)",5,5,-1.0,506
"(520, 691)","(520, 691)","(520, 691)",13,13,8.0,507
,,"(512, 705)",16,16,3.0,508
,,"(504, 719)",16,16,0.0,509
,,"(498, 731)",13,13,-3.0,510
"(493, 741)","(493, 741)","(493, 741)",11,11,-2.0,511
"(486, 764)","(486, 764)","(486, 764)",24,24,13.0,512
"(478, 786)","(478, 786)","(478, 786)",23,23,-1.0,513
"(470, 810)","(470, 810)","(470, 810)",25,25,2.0,514
"(459, 850)","(459, 850)","(459, 850)",41,41,16.0,515
"(457, 870)","(457, 870)","(457, 870)",20,20,-21.0,516
,,"(492, 779)",-97,97,-117.0,517
"(519, 710)","(519, 710)","(519, 710)",-74,74,23.0,518
"(541, 657)","(541, 657)","(541, 657)",-57,57,17.0,519
"(568, 596)","(568, 596)","(568, 596)",-66,66,-9.0,520
"(588, 552)","(588, 552)","(588, 552)",-48,48,18.0,521
"(609, 508)","(609, 508)","(609, 508)",-48,48,0.0,522
,,"(627, 477)",-35,35,13.0,523
,,"(644, 449)",-32,32,3.0,524
,,"(660, 422)",-31,31,1.0,525
,,"(674, 398)",-27,27,4.0,526
"(686, 380)","(686, 380)","(686, 380)",-21,21,6.0,527
"(697, 365)","(697, 365)","(697, 365)",-18,18,3.0,528
"(710, 353)","(710, 353)","(710, 353)",-17,17,1.0,529
"(721, 342)","(721, 342)","(721, 342)",-15,15,2.0,530
"(731, 333)","(731, 333)","(731, 333)",-13,13,2.0,531
"(741, 327)","(741, 327)","(741, 327)",-11,11,2.0,532
"(748, 322)","(748, 322)","(748, 322)",-8,8,3.0,533
"(756, 318)","(756, 318)","(756, 318)",-8,8,0.0,534
"(765, 318)","(765, 318)","(765, 318)",9,9,17.0,535
"(772, 317)","(772, 317)","(772, 317)",-7,7,-16.0,536
"(779, 317)","(779, 317)","(779, 317)",7,7,14.0,537
"(788, 319)","(788, 319)","(788, 319)",9,9,2.0,538
"(793, 320)","(793, 320)","(793, 320)",5,5,-4.0,539
"(798, 324)","(798, 324)","(798, 324)",6,6,1.0,540
"(806, 329)","(806, 329)","(806, 329)",9,9,3.0,541
"(813, 332)","(813, 332)","(813, 332)",7,7,-2.0,542
"(814, 320)","(814, 320)","(814, 320)",-12,12,-19.0,543
"(818, 306)","(818, 306)","(818, 306)",-14,14,-2.0,544
,,"(819, 288)",-18,18,-4.0,545
"(821, 275)","(821, 275)","(821, 275)",-13,13,5.0,546
"(823, 265)","(823, 265)","(823, 265)",-10,10,3.0,547
"(828, 253)","(828, 253)","(828, 253)",-13,13,-3.0,548
"(828, 244)","(828, 244)","(828, 244)",-9,9,4.0,549
"(830, 237)","(830, 237)","(830, 237)",-7,7,2.0,550
"(833, 233)","(833, 233)","(833, 233)",-5,5,2.0,551
"(828, 234)","(828, 234)","(828, 234)",5,5,10.0,552
"(817, 238)","(817, 238)","(817, 238)",11,11,6.0,553
"(803, 245)","(803, 245)","(803, 245)",15,15,4.0,554
"(792, 255)","(792, 255)","(792, 255)",14,14,-1.0,555
"(778, 267)","(778, 267)","(778, 267)",18,18,4.0,556
"(768, 278)","(768, 278)","(768, 278)",14,14,-4.0,557
,,"(750, 296)",25,25,11.0,558
"(737, 311)","(737, 311)","(737, 311)",19,19,-6.0,559
"(722, 328)","(722, 328)","(722, 328)",22,22,3.0,560
"(708, 352)","(708, 352)","(708, 352)",27,27,5.0,561
,,"(687, 387)",40,40,13.0,562
,,"(668, 421)",38,38,-2.0,563
,,"(649, 452)",36,36,-2.0,564
,,"(633, 481)",33,33,-3.0,565
"(621, 503)","(621, 503)","(621, 503)",25,25,-8.0,566
"(603, 540)","(603, 540)","(603, 540)",41,41,16.0,567
"(579, 589)","(579, 589)","(579, 589)",54,54,13.0,568
,,"(554, 640)",56,56,2.0,569
"(535, 681)","(535, 681)","(535, 681)",45,45,-11.0,570
"(792, 912)",,"(513, 689)",23,23,-22.0,571
"(773, 908)",,"(494, 697)",20,20,-3.0,572
,,"(476, 705)",19,19,-1.0,573
"(463, 711)","(463, 711)","(463, 711)",14,14,-5.0,574
"(444, 719)","(444, 719)","(444, 719)",20,20,6.0,575
"(424, 731)","(424, 731)","(424, 731)",23,23,3.0,576
"(403, 746)","(403, 746)","(403, 746)",25,25,2.0,577
"(383, 763)","(383, 763)","(383, 763)",26,26,1.0,578
"(359, 786)","(359, 786)","(359, 786)",33,33,7.0,579
"(335, 808)","(335, 808)","(335, 808)",32,32,-1.0,580
,,"(308, 843)",44,44,12.0,581
"(288, 870)","(288, 870)","(288, 870)",33,33,-11.0,582
,,"(252, 924)",64,64,31.0,583
,,"(220, 973)",58,58,-6.0,584
"(196, 1011)","(196, 1011)","(196, 1011)",44,44,-14.0,585
"(172, 1046)","(172, 1046)","(172, 1046)",42,42,-2.0,586
,,"(172, 1046)",0,0,-42.0,587
,,"(172, 1046)",0,0,0.0,588
,,"(172, 1046)",0,0,0.0,589
,,"(172, 1046)",0,0,0.0,590
